yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202604,INFO,CARROCERO_UNMAPPED,GRAU,,registros_carrocero_sin_chasis_detectado,26,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202604,INFO,CARROCERO_UNMAPPED,EUROCARROCERA,,registros_carrocero_sin_chasis_detectado,49,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202604,INFO,CARROCERO_UNMAPPED,BERGADANA,,registros_carrocero_sin_chasis_detectado,79,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202604,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,105,100,pool_b00d_private=1118; rate=0.0939
202604,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,163,100,pool_b00d_private=2835; rate=0.0573
202604,WARN,NEW_BRAND,CHANGAN,,monthly_count,360,250,Marca con volumen relevante no vista en outputs historicos previos
202604,WARN,CHANNEL_DRIFT,AUDI,Private,count_vs_same_month_history,255,+/-250 and +/-25%,"actual=1168; media_mismo_mes=913.3; historico=816,1016,908; rel=+27.9%"
202604,WARN,CHANNEL_DRIFT,AUDI,RAC,count_vs_same_month_history,432,+/-250 and +/-25%,"actual=1366; media_mismo_mes=933.7; historico=692,1151,958; rel=+46.3%"
202604,WARN,CHANNEL_DRIFT,BMW,Corporate,count_vs_same_month_history,551,+/-250 and +/-25%,"actual=2453; media_mismo_mes=1901.7; historico=2232,1900,1573; rel=+29.0%"
202604,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,818,+/-250 and +/-25%,"actual=922; media_mismo_mes=103.7; historico=87,222,2; rel=+789.4%"
202604,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,1752,+/-250 and +/-25%,"actual=2286; media_mismo_mes=534.0; historico=197,871; rel=+328.1%"
202604,CRITICAL,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,-1011,+/-250 and +/-25%,"actual=624; media_mismo_mes=1634.7; historico=2394,1090,1420; rel=-61.8%"
202604,WARN,CHANNEL_DRIFT,CUPRA,Corporate,count_vs_same_month_history,252,+/-250 and +/-25%,"actual=1147; media_mismo_mes=895.0; historico=1028,741,916; rel=+28.2%"
202604,CRITICAL,CHANNEL_DRIFT,CUPRA,RAC,count_vs_same_month_history,840,+/-250 and +/-25%,"actual=1581; media_mismo_mes=740.7; historico=1078,766,378; rel=+113.5%"
202604,WARN,CHANNEL_DRIFT,DACIA,Private,count_vs_same_month_history,1064,+/-250 and +/-25%,"actual=4395; media_mismo_mes=3331.0; historico=3989,3467,2537; rel=+31.9%"
202604,WARN,CHANNEL_DRIFT,FIAT,RAC,count_vs_same_month_history,-367,+/-250 and +/-25%,"actual=511; media_mismo_mes=878.0; historico=797,916,921; rel=-41.8%"
202604,CRITICAL,CHANNEL_DRIFT,FORD,RAC,count_vs_same_month_history,611,+/-250 and +/-25%,"actual=1148; media_mismo_mes=536.7; historico=558,831,221; rel=+113.9%"
202604,WARN,CHANNEL_DRIFT,KIA,Corporate,count_vs_same_month_history,359,+/-250 and +/-25%,"actual=1444; media_mismo_mes=1084.7; historico=923,1215,1116; rel=+33.1%"
202604,CRITICAL,CHANNEL_DRIFT,LYNK & CO,RAC,count_vs_same_month_history,-314,+/-250 and +/-25%,"actual=1; media_mismo_mes=314.5; historico=68,561; rel=-99.7%"
202604,CRITICAL,CHANNEL_DRIFT,MAZDA,Corporate,count_vs_same_month_history,475,+/-250 and +/-25%,"actual=704; media_mismo_mes=229.0; historico=273,236,178; rel=+207.4%"
202604,WARN,CHANNEL_DRIFT,MAZDA,Private,count_vs_same_month_history,425,+/-250 and +/-25%,"actual=1371; media_mismo_mes=946.0; historico=875,1203,760; rel=+44.9%"
202604,WARN,CHANNEL_DRIFT,MERCEDES,RAC,count_vs_same_month_history,423,+/-250 and +/-25%,"actual=1270; media_mismo_mes=847.0; historico=945,1257,339; rel=+49.9%"
202604,CRITICAL,CHANNEL_DRIFT,MG,RAC,count_vs_same_month_history,1667,+/-250 and +/-25%,"actual=2168; media_mismo_mes=501.0; historico=87,766,650; rel=+332.7%"
202604,CRITICAL,CHANNEL_DRIFT,MITSUBISHI,RAC,count_vs_same_month_history,-265,+/-250 and +/-25%,"actual=30; media_mismo_mes=295.0; historico=12,802,71; rel=-89.8%"
202604,CRITICAL,CHANNEL_DRIFT,OMODA,Private,count_vs_same_month_history,1026,+/-250 and +/-25%,"actual=1477; media_mismo_mes=451.5; historico=325,578; rel=+227.1%"
202604,CRITICAL,CHANNEL_DRIFT,OMODA,RAC,count_vs_same_month_history,322,+/-250 and +/-25%,"actual=381; media_mismo_mes=58.5; historico=4,113; rel=+551.3%"
202604,WARN,CHANNEL_DRIFT,OPEL,RAC,count_vs_same_month_history,410,+/-250 and +/-25%,"actual=1524; media_mismo_mes=1113.7; historico=1763,679,899; rel=+36.8%"
202604,WARN,CHANNEL_DRIFT,PEUGEOT,RAC,count_vs_same_month_history,696,+/-250 and +/-25%,"actual=3270; media_mismo_mes=2574.0; historico=2920,2929,1873; rel=+27.0%"
202604,WARN,CHANNEL_DRIFT,RENAULT,RAC,count_vs_same_month_history,276,+/-250 and +/-25%,"actual=1323; media_mismo_mes=1046.7; historico=963,1456,721; rel=+26.4%"
202604,WARN,CHANNEL_DRIFT,SEAT,RAC,count_vs_same_month_history,906,+/-250 and +/-25%,"actual=3139; media_mismo_mes=2233.3; historico=2953,1638,2109; rel=+40.6%"
202604,WARN,CHANNEL_DRIFT,SKODA,Corporate,count_vs_same_month_history,437,+/-250 and +/-25%,"actual=1603; media_mismo_mes=1166.0; historico=956,1140,1402; rel=+37.5%"
202604,WARN,CHANNEL_DRIFT,SKODA,Private,count_vs_same_month_history,301,+/-250 and +/-25%,"actual=1202; media_mismo_mes=901.3; historico=1042,1048,614; rel=+33.4%"
