anyo,mes,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,cod_prov,provincia,dealer_estimated,dealer_id,confidence,source_confidence,count
2024,05,ALFA ROMEO,GIULIA,Private,ICE,Gasolina,KKL,REST,Standard,SEDAN,08,Barcelona,J.Güell,osm:node:3616197785,low,community,2
2024,05,ALFA ROMEO,GIULIA,Private,ICE,Gasolina,KKL,REST,Standard,SEDAN,48,Bizkaia,Alfa Romeo,osm:node:4474061813,low,community,1
2024,05,ALFA ROMEO,STELVIO,Private,ICE,Gasolina,KKL,REST,Standard,SAV,30,Murcia,Motor Cartagena,osm:node:2777511027,low,community,1
2024,05,ALFA ROMEO,STELVIO,Private,ICE,Gasolina,KKL,REST,Standard,SAV,46,Valencia,"Alfa Romeo, Lancia, DS Automobiles, Peugeot, Mobycar",osm:node:7599965281,low,community,1
2024,05,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,02,Albacete,Motor Cartagena,osm:node:2777511027,low,community,1
2024,05,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,03,Alicante,Motor Cartagena,osm:node:2777511027,low,community,1
2024,05,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,15,A Coruña,Grupo L-Motor,osm:way:221970519,low,community,1
2024,05,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,17,Girona,J.Güell,osm:node:3616197785,low,community,1
2024,05,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,20,Gipuzkoa,Alfa Romeo,osm:node:13662714348,low,community,1
2024,05,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,02,Albacete,Audi,osm:way:301928497,low,community,1
