anyo,mes,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2023,07,AUDI,A6,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,M Performance,SEDAN,1
2023,07,AUDI,Q3,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,2
2023,07,AUDI,Q7,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,SAV,2
2023,07,BMW,SERIE 3,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,ESTATE,1
2023,07,BMW,SERIE 4,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,CABRIO,1
2023,07,BMW,X1,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2023,07,BMW,X3,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,2
2023,07,BMW,X5,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,SAV,2
2023,07,BMW,Z4,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,ROADSTER,1
2023,07,CITROEN,C3,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2023,07,CITROEN,C3 AIRCROSS,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,1
2023,07,CITROEN,C3 AIRCROSS,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,2
2023,07,CITROEN,C4,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,5
2023,07,CITROEN,C4X,01,Álava,Corporate,BEV,UKL2,REST,Standard,SEDAN,2
2023,07,CITROEN,C5 AIRCROSS,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,3
2023,07,CITROEN,C5X,01,Álava,Corporate,ICE,MKL,REST,Standard,SEDAN,1
2023,07,CITROEN,C5X,01,Álava,Private,ICE,MKL,REST,Standard,SEDAN,2
2023,07,CUPRA,CUPRA LEON,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,2
2023,07,CUPRA,FORMENTOR,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAT,3
2023,07,CUPRA,FORMENTOR,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,1
2023,07,DACIA,DUSTER,01,Álava,Private,ICE,SKL,REST,Standard,PICKUP,2
2023,07,DACIA,JOGGER,01,Álava,Private,ICE,UKL2,REST,Standard,MPV,3
2023,07,DACIA,SANDERO,01,Álava,Corporate,ICE,UKL1,REST,Standard,HACH 5P,12
2023,07,DACIA,SANDERO,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,9
2023,07,DS,DS3 CROSSBACK,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 3P,1
2023,07,DS,DS4,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2023,07,DS,DS7 CROSSBACK,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2023,07,FORD,FOCUS,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,3
2023,07,FORD,FOCUS,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,4
2023,07,FORD,KUGA,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,1
2023,07,FORD,KUGA,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,2
2023,07,FORD,MUSTANG,01,Álava,Corporate,ICE,MKL,REST,Standard,CABRIO,1
2023,07,FORD,PUMA,01,Álava,Corporate,ICE,UKL1,REST,Standard,SAV,3
