anyo,mes,marca,cod_prov,provincia,canal,fuel_type,subseg,hp,count
2025,06,ALLIED VEHICLES LTD,01,Álava,Private,ICE,REST,Standard,1
2025,06,AUDI,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,3
2025,06,AUDI,01,Álava,Private,ICE,FOCUS SEGMENT,M,1
2025,06,AUDI,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,5
2025,06,BMW,01,Álava,Corporate,BEV,FOCUS SEGMENT,Standard,1
2025,06,BMW,01,Álava,Corporate,ICE,FOCUS SEGMENT,M,1
2025,06,BMW,01,Álava,Corporate,PHEV,FOCUS SEGMENT,Standard,3
2025,06,BMW,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,1
2025,06,BYD,01,Álava,Corporate,BEV,REST,Standard,3
2025,06,BYD,01,Álava,Corporate,PHEV,REST,Standard,2
2025,06,BYD,01,Álava,Private,BEV,REST,Standard,5
2025,06,BYD,01,Álava,Private,PHEV,REST,Standard,6
2025,06,CITROEN,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,CITROEN,01,Álava,Corporate,ICE,REST,Standard,26
2025,06,CITROEN,01,Álava,Private,BEV,REST,Standard,1
2025,06,CITROEN,01,Álava,Private,ICE,REST,Standard,5
2025,06,CUPRA,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,CUPRA,01,Álava,Corporate,ICE,REST,Standard,4
2025,06,CUPRA,01,Álava,Private,ICE,REST,Standard,2
2025,06,DACIA,01,Álava,Private,BEV,REST,Standard,2
2025,06,DACIA,01,Álava,Private,ICE,REST,Standard,48
2025,06,DFSK,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,DFSK,01,Álava,Corporate,ICE,,Standard,1
2025,06,DFSK,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,EBRO,01,Álava,Private,ICE,REST,Standard,1
2025,06,EBRO,01,Álava,Private,PHEV,REST,Standard,3
2025,06,EVO,01,Álava,Private,ICE,REST,Standard,1
2025,06,FIAT,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,FORD,01,Álava,Corporate,ICE,REST,Standard,11
2025,06,FORD,01,Álava,Corporate,PHEV,REST,Standard,8
2025,06,FORD,01,Álava,Private,ICE,REST,Standard,5
2025,06,FORD,01,Álava,Private,PHEV,REST,Standard,4
2025,06,HONDA,01,Álava,Corporate,ICE,REST,Standard,1
2025,06,HONDA,01,Álava,Private,ICE,REST,Standard,3
2025,06,HYUNDAI,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,HYUNDAI,01,Álava,Private,BEV,REST,Standard,12
2025,06,HYUNDAI,01,Álava,Private,ICE,REST,Standard,27
2025,06,HYUNDAI,01,Álava,Private,PHEV,REST,Standard,13
2025,06,INEOS,01,Álava,Private,ICE,REST,Standard,1
2025,06,JAECOO,01,Álava,Private,ICE,REST,Standard,1
2025,06,JAECOO,01,Álava,Private,PHEV,REST,Standard,10
2025,06,JEEP,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,JEEP,01,Álava,Corporate,PHEV,REST,Standard,1
2025,06,KIA,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,KIA,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,KIA,01,Álava,Private,BEV,REST,Standard,2
2025,06,KIA,01,Álava,Private,ICE,REST,Standard,19
2025,06,KIA,01,Álava,Private,PHEV,REST,Standard,1
2025,06,LEAPMOTOR,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,LEAPMOTOR,01,Álava,Private,BEV,REST,Standard,1
2025,06,LEXUS,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,1
2025,06,LEXUS,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,2
2025,06,LEXUS,01,Álava,Private,PHEV,FOCUS SEGMENT,Standard,1
2025,06,MAZDA,01,Álava,Corporate,ICE,REST,Standard,10
2025,06,MAZDA,01,Álava,Corporate,PHEV,REST,Standard,1
2025,06,MAZDA,01,Álava,Private,ICE,REST,Standard,10
2025,06,MERCEDES,01,Álava,Corporate,BEV,FOCUS SEGMENT,Standard,2
2025,06,MERCEDES,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,4
2025,06,MERCEDES,01,Álava,Corporate,ICE,REST,Standard,3
2025,06,MERCEDES,01,Álava,Corporate,PHEV,FOCUS SEGMENT,Standard,4
2025,06,MERCEDES,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,4
2025,06,MERCEDES,01,Álava,Private,PHEV,FOCUS SEGMENT,Standard,2
2025,06,MG,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,MG,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,MG,01,Álava,Private,BEV,REST,Standard,3
2025,06,MG,01,Álava,Private,ICE,REST,Standard,10
2025,06,MG,01,Álava,Private,PHEV,REST,Standard,5
2025,06,MINI,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2025,06,MITSUBISHI,01,Álava,Private,ICE,REST,Standard,3
2025,06,MITSUBISHI,01,Álava,Private,PHEV,REST,Standard,5
2025,06,NISSAN,01,Álava,Corporate,ICE,REST,Standard,5
2025,06,NISSAN,01,Álava,Private,ICE,REST,Standard,7
2025,06,OMODA,01,Álava,Private,BEV,REST,Standard,1
2025,06,OMODA,01,Álava,Private,ICE,REST,Standard,8
2025,06,OMODA,01,Álava,Private,PHEV,REST,Standard,2
2025,06,OPEL,01,Álava,Corporate,ICE,REST,Standard,8
2025,06,OPEL,01,Álava,Private,ICE,REST,Standard,8
2025,06,PEUGEOT,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,PEUGEOT,01,Álava,Corporate,ICE,REST,Standard,29
2025,06,PEUGEOT,01,Álava,Private,BEV,REST,Standard,1
2025,06,PEUGEOT,01,Álava,Private,ICE,REST,Standard,14
2025,06,PEUGEOT,01,Álava,Private,PHEV,REST,Standard,1
2025,06,RENAULT,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,RENAULT,01,Álava,Corporate,ICE,REST,Standard,2
2025,06,RENAULT,01,Álava,Corporate,PHEV,REST,Standard,7
2025,06,RENAULT,01,Álava,Private,BEV,REST,Standard,1
2025,06,RENAULT,01,Álava,Private,ICE,REST,Standard,15
2025,06,RENAULT,01,Álava,Private,PHEV,REST,Standard,3
2025,06,SEAT,01,Álava,Corporate,ICE,REST,Standard,1
2025,06,SEAT,01,Álava,Corporate,PHEV,REST,Standard,1
2025,06,SEAT,01,Álava,Private,ICE,REST,Standard,6
2025,06,SERES,01,Álava,Private,BEV,REST,Standard,1
2025,06,SHINERAY,01,Álava,Private,ICE,REST,Standard,2
2025,06,SKODA,01,Álava,Corporate,BEV,REST,Standard,1
2025,06,SKODA,01,Álava,Corporate,ICE,REST,Standard,4
2025,06,SKODA,01,Álava,Private,ICE,REST,Standard,4
2025,06,SKODA,01,Álava,Private,PHEV,REST,Standard,1
2025,06,SSANGYONG,01,Álava,Corporate,ICE,REST,Standard,1
2025,06,SUZUKI,01,Álava,Private,ICE,REST,Standard,4
2025,06,TESLA,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,8
2025,06,TOYOTA,01,Álava,Corporate,ICE,REST,Standard,1
2025,06,TOYOTA,01,Álava,Corporate,PHEV,REST,Standard,2
2025,06,TOYOTA,01,Álava,Private,ICE,REST,Standard,37
2025,06,TOYOTA,01,Álava,Private,PHEV,REST,Standard,7
2025,06,VOLKSWAGEN,01,Álava,Private,ICE,REST,Standard,13
2025,06,VOLKSWAGEN,01,Álava,Private,PHEV,REST,Standard,1
2025,06,VOLVO,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,2
2025,06,VOLVO,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2025,06,VOLVO,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,1
2025,06,VOLVO,01,Álava,Private,PHEV,FOCUS SEGMENT,Standard,1
2025,06,ABARTH,02,Albacete,Corporate,BEV,REST,Standard,1
2025,06,ALFA ROMEO,02,Albacete,Corporate,ICE,REST,Standard,1
2025,06,AUDI,02,Albacete,Corporate,ICE,FOCUS SEGMENT,Standard,3
2025,06,AUDI,02,Albacete,Corporate,PHEV,FOCUS SEGMENT,Standard,2
2025,06,AUDI,02,Albacete,Private,ICE,FOCUS SEGMENT,Standard,9
2025,06,BMW,02,Albacete,Corporate,ICE,FOCUS SEGMENT,Standard,5
2025,06,BMW,02,Albacete,Corporate,PHEV,FOCUS SEGMENT,M,1
2025,06,BMW,02,Albacete,Corporate,PHEV,FOCUS SEGMENT,Standard,1
2025,06,BMW,02,Albacete,Private,ICE,FOCUS SEGMENT,Standard,5
2025,06,BMW,02,Albacete,Private,PHEV,FOCUS SEGMENT,M,1
