anyo,mes,marca,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,count
2025,08,ALFA ROMEO,01,Álava,Corporate,BEV,UKL1,REST,Standard,1
2025,08,AUDI,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,1
2025,08,AUDI,01,Álava,Corporate,ICE,UKL1,FOCUS SEGMENT,Standard,1
2025,08,AUDI,01,Álava,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,3
2025,08,AUDI,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,2
2025,08,BMW,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,M Performance,1
2025,08,BMW,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,1
2025,08,BMW,01,Álava,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,6
2025,08,BMW,01,Álava,Private,BEV,UKL2,FOCUS SEGMENT,Standard,1
2025,08,BMW,01,Álava,Private,ICE,,REST,Standard,1
2025,08,BMW,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,1
2025,08,BYD,01,Álava,Corporate,BEV,KKL,REST,Standard,1
2025,08,BYD,01,Álava,Private,BEV,KKL,REST,Standard,1
2025,08,BYD,01,Álava,Private,BEV,UKL0,REST,Standard,1
2025,08,BYD,01,Álava,Private,BEV,UKL1,REST,Standard,1
2025,08,BYD,01,Álava,Private,PHEV,KKL,REST,Standard,1
2025,08,CITROEN,01,Álava,Corporate,ICE,SKL,REST,Standard,3
2025,08,CITROEN,01,Álava,Corporate,ICE,UKL1,REST,Standard,1
2025,08,CITROEN,01,Álava,Corporate,ICE,UKL2,REST,Standard,2
2025,08,CITROEN,01,Álava,Private,ICE,UKL1,REST,Standard,2
2025,08,CITROEN,01,Álava,Private,ICE,UKL2,REST,Standard,1
2025,08,CUPRA,01,Álava,Private,ICE,UKL2,REST,Standard,2
2025,08,DACIA,01,Álava,Private,BEV,UKL0,REST,Standard,1
2025,08,DACIA,01,Álava,Private,ICE,SKL,REST,Standard,6
2025,08,DACIA,01,Álava,Private,ICE,UKL1,REST,Standard,15
2025,08,DACIA,01,Álava,Private,ICE,UKL2,REST,Standard,7
2025,08,DFSK,01,Álava,Corporate,ICE,,,Standard,5
2025,08,DFSK,01,Álava,Corporate,ICE,UKL2,REST,Standard,2
2025,08,EBRO,01,Álava,Private,PHEV,KKL,REST,Standard,2
2025,08,EBRO,01,Álava,Private,PHEV,UKL2,REST,Standard,1
2025,08,EVO,01,Álava,Private,ICE,UKL2,REST,Standard,1
2025,08,FIAT,01,Álava,Corporate,BEV,UKL1,REST,Standard,1
2025,08,FIAT,01,Álava,Corporate,ICE,UKL0,REST,Standard,1
2025,08,FIAT,01,Álava,Private,ICE,UKL0,REST,Standard,1
2025,08,FORD,01,Álava,Corporate,BEV,SKL,REST,Standard,1
2025,08,FORD,01,Álava,Corporate,BEV,UKL1,REST,Standard,1
