anyo,mes,dia,marca,cod_prov,provincia,canal,fuel_type,count
2026,06,11,AION,01,Álava,Corporate,BEV,4
2026,06,11,BMW,01,Álava,Private,ICE,1
2026,06,11,DACIA,01,Álava,Private,ICE,1
2026,06,11,FIAT,01,Álava,Private,ICE,1
2026,06,11,KIA,01,Álava,Private,ICE,1
2026,06,11,LEAPMOTOR,01,Álava,Private,BEV,1
2026,06,11,MERCEDES,01,Álava,Private,ICE,1
2026,06,11,OMODA,01,Álava,Corporate,ICE,1
2026,06,11,PEUGEOT,01,Álava,Private,BEV,1
2026,06,11,PEUGEOT,01,Álava,Private,ICE,1
2026,06,11,SEAT,01,Álava,Private,ICE,1
2026,06,11,SUZUKI,01,Álava,Private,ICE,1
2026,06,11,TOYOTA,01,Álava,Corporate,BEV,5
2026,06,11,TOYOTA,01,Álava,Corporate,ICE,1
2026,06,11,TOYOTA,01,Álava,Corporate,PHEV,1
2026,06,11,TOYOTA,01,Álava,Private,ICE,6
2026,06,11,BMW,02,Albacete,Corporate,PHEV,1
2026,06,11,BMW,02,Albacete,Private,ICE,1
2026,06,11,DACIA,02,Albacete,Corporate,ICE,1
2026,06,11,DACIA,02,Albacete,Private,ICE,2
2026,06,11,FORD,02,Albacete,Corporate,PHEV,1
2026,06,11,HYUNDAI,02,Albacete,Private,ICE,2
2026,06,11,JEEP,02,Albacete,Corporate,ICE,3
2026,06,11,KIA,02,Albacete,Private,BEV,1
2026,06,11,MG,02,Albacete,Private,ICE,1
2026,06,11,OMODA,02,Albacete,Private,ICE,1
2026,06,11,SEAT,02,Albacete,Private,ICE,1
2026,06,11,SKODA,02,Albacete,Private,PHEV,1
2026,06,11,TESLA,02,Albacete,Private,BEV,2
2026,06,11,ALFA ROMEO,03,Alicante,Private,ICE,1
2026,06,11,AUDI,03,Alicante,Corporate,PHEV,1
2026,06,11,AUDI,03,Alicante,Private,ICE,2
2026,06,11,BMW,03,Alicante,Corporate,BEV,1
2026,06,11,BMW,03,Alicante,Corporate,ICE,1
2026,06,11,BMW,03,Alicante,Private,BEV,1
2026,06,11,BMW,03,Alicante,Private,ICE,2
2026,06,11,BYD,03,Alicante,Private,BEV,4
2026,06,11,BYD,03,Alicante,Private,PHEV,3
2026,06,11,CHANGAN,03,Alicante,Private,BEV,1
2026,06,11,CITROEN,03,Alicante,Private,ICE,2
2026,06,11,DACIA,03,Alicante,Private,ICE,9
2026,06,11,FORD,03,Alicante,Corporate,BEV,1
2026,06,11,FORD,03,Alicante,Private,BEV,1
2026,06,11,FORD,03,Alicante,Private,PHEV,4
2026,06,11,FORD,03,Alicante,RAC,PHEV,3
2026,06,11,HONDA,03,Alicante,Corporate,ICE,1
2026,06,11,HONDA,03,Alicante,Private,ICE,2
2026,06,11,HYUNDAI,03,Alicante,Private,ICE,4
2026,06,11,JAECOO,03,Alicante,Private,ICE,1
2026,06,11,KIA,03,Alicante,Private,BEV,2
2026,06,11,KIA,03,Alicante,Private,ICE,6
2026,06,11,LEXUS,03,Alicante,Private,ICE,1
2026,06,11,LEXUS,03,Alicante,Private,PHEV,1
2026,06,11,MAZDA,03,Alicante,Private,ICE,2
2026,06,11,MERCEDES,03,Alicante,Corporate,ICE,2
2026,06,11,MERCEDES,03,Alicante,Private,ICE,1
2026,06,11,MG,03,Alicante,Private,ICE,1
2026,06,11,MINI,03,Alicante,Private,BEV,1
2026,06,11,OMODA,03,Alicante,Private,ICE,1
2026,06,11,OMODA,03,Alicante,Private,PHEV,1
2026,06,11,OPEL,03,Alicante,Private,ICE,2
2026,06,11,PEUGEOT,03,Alicante,Private,ICE,1
2026,06,11,PEUGEOT,03,Alicante,RAC,ICE,41
2026,06,11,RENAULT,03,Alicante,Private,BEV,1
2026,06,11,RENAULT,03,Alicante,Private,ICE,2
2026,06,11,SEAT,03,Alicante,Private,ICE,1
2026,06,11,SKODA,03,Alicante,Private,ICE,2
2026,06,11,SUZUKI,03,Alicante,Private,ICE,1
2026,06,11,TESLA,03,Alicante,Private,BEV,13
2026,06,11,TOYOTA,03,Alicante,Corporate,ICE,3
2026,06,11,TOYOTA,03,Alicante,Corporate,PHEV,1
2026,06,11,TOYOTA,03,Alicante,Private,ICE,9
2026,06,11,VOLKSWAGEN,03,Alicante,Corporate,ICE,1
2026,06,11,VOLKSWAGEN,03,Alicante,Private,ICE,6
2026,06,11,VOLKSWAGEN,03,Alicante,Private,PHEV,1
2026,06,11,AUDI,04,Almería,Corporate,ICE,1
2026,06,11,CUPRA,04,Almería,Private,ICE,1
2026,06,11,DACIA,04,Almería,Corporate,ICE,2
