anyo,mes,dia,marca,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,count
2026,07,10,BYD,01,Álava,Private,BEV,UKL1,REST,Standard,1
2026,07,10,CUPRA,01,Álava,Private,ICE,UKL2,REST,Standard,1
2026,07,10,FORD,01,Álava,Private,ICE,UKL2,REST,Standard,1
2026,07,10,HYUNDAI,01,Álava,Private,ICE,UKL1,REST,Standard,1
2026,07,10,HYUNDAI,01,Álava,Private,ICE,UKL2,REST,Standard,1
2026,07,10,HYUNDAI,01,Álava,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,KG MOBILITY,01,Álava,Private,ICE,UKL2,REST,Standard,1
2026,07,10,KIA,01,Álava,Private,ICE,UKL2,REST,Standard,1
2026,07,10,MG,01,Álava,Private,ICE,KKL,REST,Standard,1
2026,07,10,MG,01,Álava,Private,ICE,UKL1,REST,Standard,2
2026,07,10,MITSUBISHI,01,Álava,Corporate,PHEV,KKL,REST,Standard,1
2026,07,10,TOYOTA,01,Álava,Private,ICE,UKL1,REST,Standard,1
2026,07,10,AUDI,02,Albacete,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,BMW,02,Albacete,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,DACIA,02,Albacete,Private,ICE,UKL1,REST,Standard,1
2026,07,10,EBRO,02,Albacete,Private,ICE,UKL2,REST,Standard,1
2026,07,10,HYUNDAI,02,Albacete,Private,ICE,UKL2,REST,Standard,2
2026,07,10,KIA,02,Albacete,Private,ICE,UKL2,REST,Standard,1
2026,07,10,MAZDA,02,Albacete,Private,ICE,UKL2,REST,Standard,2
2026,07,10,MG,02,Albacete,Private,ICE,KKL,REST,Standard,1
2026,07,10,OMODA,02,Albacete,Private,PHEV,KKL,REST,Standard,1
2026,07,10,TOYOTA,02,Albacete,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,AUDI,03,Alicante,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,AUDI,03,Alicante,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,BYD,03,Alicante,Corporate,BEV,KKL,REST,Standard,1
2026,07,10,BYD,03,Alicante,Private,BEV,UKL0,REST,Standard,1
2026,07,10,BYD,03,Alicante,Private,BEV,UKL2,REST,Standard,1
2026,07,10,BYD,03,Alicante,Private,PHEV,KKL,REST,Standard,2
2026,07,10,BYD,03,Alicante,Private,PHEV,UKL1,REST,Standard,1
2026,07,10,CITROEN,03,Alicante,Private,ICE,SKL,REST,Standard,1
2026,07,10,CITROEN,03,Alicante,Private,ICE,UKL1,REST,Standard,1
2026,07,10,CITROEN,03,Alicante,RAC,ICE,UKL1,REST,Standard,35
2026,07,10,DACIA,03,Alicante,Private,ICE,UKL1,REST,Standard,5
2026,07,10,DACIA,03,Alicante,Private,ICE,UKL2,REST,Standard,2
2026,07,10,EBRO,03,Alicante,Private,ICE,UKL2,REST,Standard,4
2026,07,10,EBRO,03,Alicante,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,FIAT,03,Alicante,Private,ICE,UKL0,REST,Standard,1
2026,07,10,FORD,03,Alicante,Corporate,ICE,SKL,REST,Standard,1
2026,07,10,FORD,03,Alicante,Private,ICE,SKL,REST,Standard,1
2026,07,10,HYUNDAI,03,Alicante,Private,ICE,UKL1,REST,Standard,2
2026,07,10,HYUNDAI,03,Alicante,Private,ICE,UKL2,REST,Standard,3
2026,07,10,JAECOO,03,Alicante,Private,PHEV,KKL,REST,Standard,1
2026,07,10,KG MOBILITY,03,Alicante,Private,ICE,UKL1,REST,Standard,1
2026,07,10,KIA,03,Alicante,Private,BEV,UKL1,REST,Standard,1
2026,07,10,KIA,03,Alicante,Private,ICE,UKL1,REST,Standard,1
2026,07,10,LEAPMOTOR,03,Alicante,Private,BEV,UKL0,REST,Standard,1
2026,07,10,LEXUS,03,Alicante,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,LEXUS,03,Alicante,Corporate,PHEV,KKL,FOCUS SEGMENT,Standard,1
2026,07,10,LEXUS,03,Alicante,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,MERCEDES,03,Alicante,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,2
2026,07,10,MERCEDES,03,Alicante,Corporate,PHEV,MKL,FOCUS SEGMENT,Standard,1
2026,07,10,MERCEDES,03,Alicante,Private,BEV,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,MERCEDES,03,Alicante,Private,ICE,KKL,FOCUS SEGMENT,Standard,1
2026,07,10,MG,03,Alicante,Private,PHEV,KKL,REST,Standard,1
2026,07,10,MINI,03,Alicante,Corporate,ICE,UKL1,FOCUS SEGMENT,JCW,1
2026,07,10,NISSAN,03,Alicante,Private,ICE,UKL2,REST,Standard,3
2026,07,10,OPEL,03,Alicante,Private,ICE,UKL1,REST,Standard,3
2026,07,10,OPEL,03,Alicante,RAC,BEV,KKL,REST,Standard,1
2026,07,10,OPEL,03,Alicante,RAC,ICE,UKL1,REST,Standard,33
2026,07,10,PEUGEOT,03,Alicante,Corporate,BEV,UKL1,REST,Standard,1
2026,07,10,PEUGEOT,03,Alicante,Private,BEV,SKL,REST,Standard,1
2026,07,10,PEUGEOT,03,Alicante,Private,ICE,UKL1,REST,Standard,2
2026,07,10,PEUGEOT,03,Alicante,RAC,ICE,UKL1,REST,Standard,71
2026,07,10,PORSCHE,03,Alicante,Private,PHEV,MKL,FOCUS SEGMENT,Standard,1
2026,07,10,RENAULT,03,Alicante,Private,BEV,UKL1,REST,Standard,2
2026,07,10,RENAULT,03,Alicante,Private,ICE,UKL1,REST,Standard,5
2026,07,10,RENAULT,03,Alicante,Private,ICE,UKL2,REST,Standard,2
2026,07,10,SEAT,03,Alicante,Private,ICE,UKL2,REST,Standard,2
2026,07,10,SKODA,03,Alicante,Private,ICE,UKL2,REST,Standard,1
2026,07,10,SUBARU,03,Alicante,Private,ICE,UKL2,REST,Standard,1
2026,07,10,SUZUKI,03,Alicante,Private,ICE,UKL1,REST,Standard,1
2026,07,10,TOYOTA,03,Alicante,Private,BEV,UKL1,REST,Standard,1
2026,07,10,TOYOTA,03,Alicante,Private,ICE,UKL0,REST,Standard,2
2026,07,10,TOYOTA,03,Alicante,Private,ICE,UKL1,REST,Standard,8
2026,07,10,TOYOTA,03,Alicante,Private,ICE,UKL2,REST,Standard,1
2026,07,10,VOLKSWAGEN,03,Alicante,Private,ICE,UKL1,REST,Standard,1
2026,07,10,BMW,04,Almería,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,BMW,04,Almería,Private,ICE,KKL,FOCUS SEGMENT,Standard,1
2026,07,10,BMW,04,Almería,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,BYD,04,Almería,Private,PHEV,UKL1,REST,Standard,1
2026,07,10,CHANGAN,04,Almería,Private,BEV,UKL2,REST,Standard,1
2026,07,10,CITROEN,04,Almería,Private,BEV,UKL1,REST,Standard,1
2026,07,10,CITROEN,04,Almería,Private,ICE,SKL,REST,Standard,1
2026,07,10,CITROEN,04,Almería,Private,ICE,UKL2,REST,Standard,1
2026,07,10,KIA,04,Almería,Private,ICE,UKL2,REST,Standard,2
2026,07,10,LEAPMOTOR,04,Almería,Private,BEV,UKL2,REST,Standard,1
2026,07,10,MAZDA,04,Almería,Private,ICE,UKL2,REST,Standard,1
2026,07,10,MERCEDES,04,Almería,Corporate,BEV,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,MG,04,Almería,Private,ICE,KKL,REST,Standard,1
2026,07,10,MG,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,MINI,04,Almería,Corporate,BEV,UKL1,FOCUS SEGMENT,Standard,1
2026,07,10,PEUGEOT,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,RENAULT,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,SEAT,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,SEAT,04,Almería,Private,ICE,UKL2,REST,Standard,1
2026,07,10,SUZUKI,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,TOYOTA,04,Almería,Private,ICE,UKL1,REST,Standard,1
2026,07,10,TOYOTA,04,Almería,Private,ICE,UKL2,REST,Standard,1
2026,07,10,TOYOTA,04,Almería,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,VOLKSWAGEN,04,Almería,Private,ICE,UKL2,REST,Standard,1
2026,07,10,VOLKSWAGEN,04,Almería,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,DACIA,05,Ávila,Private,ICE,UKL1,REST,Standard,1
2026,07,10,EBRO,05,Ávila,Private,ICE,UKL2,REST,Standard,1
2026,07,10,TOYOTA,05,Ávila,Private,BEV,UKL1,REST,Standard,1
2026,07,10,TOYOTA,05,Ávila,Private,ICE,UKL1,REST,Standard,1
2026,07,10,AUDI,06,Badajoz,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,CITROEN,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,JAECOO,06,Badajoz,Private,ICE,UKL1,REST,Standard,1
2026,07,10,KIA,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,MAZDA,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,MERCEDES,06,Badajoz,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,1
2026,07,10,MG,06,Badajoz,Private,PHEV,KKL,REST,Standard,1
2026,07,10,NISSAN,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,RENAULT,06,Badajoz,Private,ICE,UKL1,REST,Standard,1
2026,07,10,SKODA,06,Badajoz,Private,PHEV,KKL,REST,Standard,1
2026,07,10,SUZUKI,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,VOLKSWAGEN,06,Badajoz,Private,ICE,UKL2,REST,Standard,1
2026,07,10,VOLKSWAGEN,06,Badajoz,Private,PHEV,UKL2,REST,Standard,1
2026,07,10,ALPINE,07,Baleares,Corporate,BEV,KKL,REST,Standard,1
