anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,AUDI,Q3,01,Álava,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BMW,X1,01,Álava,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BMW,iX3,01,Álava,Private,BEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BYD,ATTO 2,01,Álava,Private,BEV,UKL1,REST,Standard,SAV,1
2026,07,30,CHANGAN,DEEPAL S07,01,Álava,Corporate,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,CITROEN,BERLINGO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,8
2026,07,30,CITROEN,C3,01,Álava,Corporate,BEV,UKL1,REST,Standard,HACH 5P,1
2026,07,30,CITROEN,C5 AIRCROSS,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,2
2026,07,30,CUPRA,CUPRA LEON,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,30,DACIA,BIGSTER,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,DACIA,JOGGER,01,Álava,Private,ICE,UKL2,REST,Standard,MPV,2
2026,07,30,EBRO,S700,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,30,EVO,EVO 4,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,FIAT,DUCATO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,GEELY,STARRAY,01,Álava,Private,PHEV,UKL2,REST,Standard,HACH 5P,2
2026,07,30,HYUNDAI,I20,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,HYUNDAI,KONA,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,HYUNDAI,TUCSON,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,ISUZU,D-MAX,01,Álava,Corporate,ICE,SKL,REST,Standard,PICKUP,1
2026,07,30,JAECOO,JAECOO 8,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,KIA,EV2,01,Álava,Corporate,BEV,UKL1,REST,Standard,SAV,1
2026,07,30,LEAPMOTOR,B05,01,Álava,Private,BEV,UKL1,REST,Standard,HACH 5P,1
2026,07,30,LEAPMOTOR,B10,01,Álava,Corporate,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,LEXUS,UX,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,MAZDA,CX5,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,MERCEDES,CLASE CLA,01,Álava,Corporate,BEV,UKL2,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,30,MG,MG 3,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,MG,MG 4,01,Álava,Private,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,MINI,ACEMAN,01,Álava,Private,BEV,UKL1,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,NISSAN,LEAF,01,Álava,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,NISSAN,QASHQAI,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAT,2
2026,07,30,NISSAN,QASHQAI,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,1
2026,07,30,OMODA,OMODA 5,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,OMODA,OMODA 9,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,OPEL,ASTRA,01,Álava,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,OPEL,CORSA,01,Álava,Corporate,ICE,UKL1,REST,Standard,HACH 5P,10
2026,07,30,PEUGEOT,2008,01,Álava,Corporate,ICE,UKL1,REST,Standard,SAV,30
2026,07,30,PEUGEOT,2008,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,PEUGEOT,RIFTER,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,10
