processed_date,target_yyyymm,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,delta
202301,202109,MINI,HATCHBACK,Private,ICE,Electrico,UKL1,FOCUS SEGMENT,JCW,HACH 3P,-1
202301,202211,MERCEDES,CLASE GLA,Private,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,SAV,-1
202301,202203,MERCEDES,CLASE GLC,Private,PHEV,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202208,MERCEDES,,Corporate,ICE,Gasolina,,REST,M,,-1
202301,202202,AUDI,Q8,Corporate,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202212,TOYOTA,GR86,Private,ICE,Gasolina,UKL2,REST,Standard,COUPE,-1
202301,202105,PORSCHE,MACAN,Private,ICE,Electrico,KKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202106,FORD,MUSTANG,Private,ICE,Gasolina,MKL,REST,Standard,CABRIO,-1
202301,202109,MINI,COUNTRYMAN,Private,ICE,Electrico,UKL2,FOCUS SEGMENT,JCW,SAV,-1
202301,202105,CITROEN,BERLINGO,Corporate,ICE,Electrico,SKL,REST,Standard,TRANSPORTER,-1
202301,202111,ROLLS-ROYCE,CULLINAN,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,SAV,-1
202301,202103,AUDI,A6 ALLROAD,Corporate,BEV,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,ESTATE,-1
202301,202101,BMW I,,Private,BEV,Electrico,,REST,Standard,,-1
202301,202210,TOYOTA,,Private,ICE,Gasolina,,REST,Standard,,-1
202301,202102,VOLKSWAGEN V W,,Private,BEV,Electrico,,REST,Standard,,-1
202301,202210,VOLKSWAGEN,TRANSPORTER,Private,ICE,Gasolina/Electrico Enchufable,SKL,REST,Standard,TRANSPORTER,-1
202301,202201,LEXUS,RX,Private,BEV,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202102,VOLKSWAGEN,T-ROC,RAC,ICE,Gasolina Mild Hybrid,UKL2,REST,Standard,SAV,-1
202301,202211,BENTLEY,FLYING SPUR,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,SEDAN,-1
202301,202212,HYUNDAI,KONA,Private,ICE,Gasolina/Electrico,UKL1,REST,Standard,SAV,-1
202301,202104,SEAT,LEON,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202301,202205,MERCEDES,EQS,Corporate,BEV,Electrico,GKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202103,MERCEDES,CLASE B,Corporate,BEV,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,MPV,-1
202301,202109,VOLKSWAGEN,GOLF,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202301,202108,VOLKSWAGEN,GOLF,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202301,202211,VOLKSWAGEN,SHARAN,Private,ICE,Diesel,KKL,REST,Standard,MPV,-1
202301,202212,AUDI,A4,Corporate,ICE,Gasolina Mild Hybrid,KKL,FOCUS SEGMENT,Standard,ESTATE,-1
202301,202204,FORD,BRONCO,Private,ICE,Gasolina,MKL,REST,Standard,SUV,-1
202301,202103,VOLKSWAGEN,T-CROSS,Private,ICE,Gasolina,UKL1,REST,Standard,SAV,-1
202301,202106,ALFA ROMEO,GIULIA,Private,ICE,Gasolina,KKL,REST,Standard,SEDAN,-1
202301,202102,TOYOTA,RAV 4,Private,BEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,-1
202301,202108,JEEP,WRANGLER,Private,BEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SUV,-1
202301,202212,PORSCHE,911,Corporate,ICE,Gasolina/Electrico,GKL,FOCUS SEGMENT,Standard,COUPE,-1
202301,202112,DACIA,SPRING,Private,BEV,Electrico,UKL0,REST,Standard,SAV,-1
202301,202205,AUDI,Q3 SPORTBACK,Private,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,SAV,-1
202301,202201,LAND ROVER,DEFENDER,Private,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SUV,-1
202301,202102,AUDI,A5,Private,ICE,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,Standard,SEDAN,-1
202301,202107,AUDI,Q5 SPORTBACK,Corporate,BEV,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,M Performance,SAV,-1
202301,202112,VOLVO,S60,Private,ICE,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,Standard,SEDAN,-1
202301,202103,FERRARI,812,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,COUPE,-1
202301,202112,MERCEDES,CLASE GLC,Private,ICE,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202212,AUDI,Q7,Corporate,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202110,AUDI,Q5,Private,ICE,Gasolina/Electrico Enchufable,KKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202101,MINI,COUNTRYMAN,Private,ICE,Electrico,UKL2,FOCUS SEGMENT,Standard,SAV,-1
202301,202201,MERCEDES,CLASE GLE,Corporate,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,-1
202301,202201,MERCEDES,CLASE G,Private,ICE,Gasolina Mild Hybrid,GKL,FOCUS SEGMENT,M,SAV,-1
202301,202203,JEEP,WRANGLER,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SUV,-1
202301,202103,AUDI,Q2,Corporate,ICE,Gasolina,UKL2,FOCUS SEGMENT,Standard,SAV,-1
202301,202104,TOYOTA,PRIUS,Private,BEV,Gasolina/Electrico,UKL2,REST,Standard,MPV,-1
202301,202203,PORSCHE,911,Private,ICE,Gasolina/Electrico,GKL,FOCUS SEGMENT,Standard,COUPE,-1
202301,202204,MERCEDES,AMG GT,Private,ICE,Gasolina Mild Hybrid,GKL,FOCUS SEGMENT,M Performance,COUPE,-1
202301,202205,DACIA,JOGGER,Private,ICE,Gasolina/Electrico,UKL2,REST,Standard,MPV,-1
202301,202203,PORSCHE,911,Corporate,ICE,Gasolina/Electrico,GKL,FOCUS SEGMENT,M Performance,COUPE,-1
202301,202103,VOLKSWAGEN,GOLF,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202302,202209,PORSCHE,911,Private,ICE,Gasolina/Electrico,GKL,FOCUS SEGMENT,M Performance,COUPE,-1
202302,202109,AUDI,Q7,Private,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,-1
