anyo,mes,marca,canal,dgt,simmix,delta,delta_pct
2023,01,Abarth,Corporate,0,13,-13,-100.0
2023,01,Abarth,Private,0,4,-4,-100.0
2023,01,Abarth,RAC,0,10,-10,-100.0
2023,02,Abarth,Corporate,0,1,-1,-100.0
2023,02,Abarth,Private,0,9,-9,-100.0
2023,02,Abarth,RAC,0,0,0,
2023,03,Abarth,Corporate,0,7,-7,-100.0
2023,03,Abarth,Private,0,5,-5,-100.0
2023,03,Abarth,RAC,0,5,-5,-100.0
2023,04,Abarth,Corporate,0,30,-30,-100.0
2023,04,Abarth,Private,0,6,-6,-100.0
2023,04,Abarth,RAC,0,8,-8,-100.0
2023,05,Abarth,Corporate,0,48,-48,-100.0
2023,05,Abarth,Private,0,1,-1,-100.0
2023,05,Abarth,RAC,0,2,-2,-100.0
2023,06,Abarth,Corporate,0,22,-22,-100.0
2023,06,Abarth,Private,0,6,-6,-100.0
2023,06,Abarth,RAC,0,0,0,
2023,07,Abarth,Corporate,0,7,-7,-100.0
2023,07,Abarth,Private,0,7,-7,-100.0
2023,07,Abarth,RAC,0,47,-47,-100.0
2023,08,Abarth,Corporate,0,8,-8,-100.0
2023,08,Abarth,Private,0,4,-4,-100.0
2023,08,Abarth,RAC,0,0,0,
2023,09,Abarth,Corporate,0,11,-11,-100.0
2023,09,Abarth,Private,0,9,-9,-100.0
2023,09,Abarth,RAC,0,8,-8,-100.0
2023,10,Abarth,Corporate,0,16,-16,-100.0
2023,10,Abarth,Private,0,7,-7,-100.0
2023,10,Abarth,RAC,0,10,-10,-100.0
2023,11,Abarth,Corporate,0,4,-4,-100.0
2023,11,Abarth,Private,0,10,-10,-100.0
2023,11,Abarth,RAC,0,11,-11,-100.0
2023,12,Abarth,Corporate,0,3,-3,-100.0
2023,12,Abarth,Private,0,9,-9,-100.0
2023,12,Abarth,RAC,0,14,-14,-100.0
2024,01,Abarth,Corporate,0,9,-9,-100.0
2024,01,Abarth,Private,0,9,-9,-100.0
2024,01,Abarth,RAC,0,0,0,
2024,02,Abarth,Corporate,0,8,-8,-100.0
2024,02,Abarth,Private,0,11,-11,-100.0
2024,02,Abarth,RAC,0,0,0,
2024,03,Abarth,Corporate,0,7,-7,-100.0
2024,03,Abarth,Private,0,19,-19,-100.0
2024,03,Abarth,RAC,0,3,-3,-100.0
2024,04,Abarth,Corporate,0,3,-3,-100.0
2024,04,Abarth,Private,0,9,-9,-100.0
2024,04,Abarth,RAC,0,0,0,
2024,05,Abarth,Corporate,0,6,-6,-100.0
2024,05,Abarth,Private,0,16,-16,-100.0
2024,05,Abarth,RAC,0,1,-1,-100.0
2024,06,Abarth,Corporate,0,1,-1,-100.0
2024,06,Abarth,Private,0,16,-16,-100.0
2024,06,Abarth,RAC,0,27,-27,-100.0
2024,07,Abarth,Corporate,0,3,-3,-100.0
2024,07,Abarth,Private,0,9,-9,-100.0
2024,07,Abarth,RAC,0,14,-14,-100.0
2024,08,Abarth,Corporate,0,4,-4,-100.0
2024,08,Abarth,Private,0,16,-16,-100.0
2024,08,Abarth,RAC,0,0,0,
2024,09,Abarth,Corporate,0,6,-6,-100.0
2024,09,Abarth,Private,0,9,-9,-100.0
2024,09,Abarth,RAC,0,0,0,
2024,10,Abarth,Corporate,0,10,-10,-100.0
2024,10,Abarth,Private,0,20,-20,-100.0
2024,10,Abarth,RAC,0,0,0,
2024,11,Abarth,Corporate,0,0,0,
2024,11,Abarth,Private,0,5,-5,-100.0
2024,11,Abarth,RAC,0,0,0,
2024,12,Abarth,Corporate,0,0,0,
2024,12,Abarth,Private,0,3,-3,-100.0
2024,12,Abarth,RAC,0,0,0,
2025,02,Abarth,Corporate,0,1,-1,-100.0
2025,02,Abarth,Private,0,0,0,
2025,02,Abarth,RAC,0,0,0,
2025,03,Abarth,Corporate,0,2,-2,-100.0
2025,03,Abarth,Private,0,0,0,
2025,03,Abarth,RAC,0,0,0,
2025,04,Abarth,Corporate,0,0,0,
2025,04,Abarth,Private,0,2,-2,-100.0
2025,04,Abarth,RAC,0,0,0,
2025,05,Abarth,Corporate,0,5,-5,-100.0
2025,05,Abarth,Private,0,1,-1,-100.0
2025,05,Abarth,RAC,0,0,0,
2025,06,Abarth,Corporate,0,4,-4,-100.0
2025,06,Abarth,Private,0,1,-1,-100.0
2025,06,Abarth,RAC,0,0,0,
2025,07,Abarth,Corporate,0,8,-8,-100.0
2025,07,Abarth,Private,0,2,-2,-100.0
2025,07,Abarth,RAC,0,0,0,
2025,08,Abarth,Corporate,0,0,0,
2025,08,Abarth,Private,0,2,-2,-100.0
2025,08,Abarth,RAC,0,0,0,
2025,09,Abarth,Corporate,0,1,-1,-100.0
2025,09,Abarth,Private,0,1,-1,-100.0
2025,09,Abarth,RAC,0,0,0,
2025,10,Abarth,Corporate,0,0,0,
2025,10,Abarth,Private,0,1,-1,-100.0
2025,10,Abarth,RAC,0,0,0,
2025,11,Abarth,Corporate,0,0,0,
2025,11,Abarth,Private,0,1,-1,-100.0
2025,11,Abarth,RAC,0,0,0,
2025,12,Abarth,Corporate,0,0,0,
2025,12,Abarth,Private,0,3,-3,-100.0
2025,12,Abarth,RAC,0,0,0,
2023,01,Aiways,Corporate,0,1,-1,-100.0
2023,01,Aiways,Private,0,2,-2,-100.0
2023,01,Aiways,RAC,0,0,0,
2023,02,Aiways,Corporate,0,2,-2,-100.0
2023,02,Aiways,Private,0,0,0,
2023,02,Aiways,RAC,0,0,0,
2023,03,Aiways,Corporate,0,5,-5,-100.0
2023,03,Aiways,Private,0,1,-1,-100.0
2023,03,Aiways,RAC,0,0,0,
2023,05,Aiways,Corporate,0,0,0,
2023,05,Aiways,Private,0,2,-2,-100.0
2023,05,Aiways,RAC,0,0,0,
2023,10,Aiways,Corporate,0,46,-46,-100.0
2023,10,Aiways,Private,0,0,0,
2023,10,Aiways,RAC,0,0,0,
2023,11,Aiways,Corporate,0,0,0,
2023,11,Aiways,Private,0,1,-1,-100.0
2023,11,Aiways,RAC,0,0,0,
2023,12,Aiways,Corporate,0,0,0,
2023,12,Aiways,Private,0,1,-1,-100.0
2023,12,Aiways,RAC,0,0,0,
2024,06,Aiways,Corporate,0,22,-22,-100.0
2024,06,Aiways,Private,0,1,-1,-100.0
2024,06,Aiways,RAC,0,0,0,
2023,01,Alfa Romeo,Corporate,135,127,8,6.3
2023,01,Alfa Romeo,Private,29,28,1,3.57
2023,01,Alfa Romeo,RAC,2,10,-8,-80.0
2023,02,Alfa Romeo,Corporate,191,192,-1,-0.52
2023,02,Alfa Romeo,Private,21,15,6,40.0
2023,02,Alfa Romeo,RAC,37,42,-5,-11.9
2023,03,Alfa Romeo,Corporate,182,298,-116,-38.93
2023,03,Alfa Romeo,Private,45,40,5,12.5
2023,03,Alfa Romeo,RAC,214,102,112,109.8
2023,04,Alfa Romeo,Corporate,174,164,10,6.1
2023,04,Alfa Romeo,Private,17,14,3,21.43
2023,04,Alfa Romeo,RAC,245,258,-13,-5.04
2023,05,Alfa Romeo,Corporate,106,171,-65,-38.01
2023,05,Alfa Romeo,Private,14,11,3,27.27
2023,05,Alfa Romeo,RAC,123,59,64,108.47
2023,06,Alfa Romeo,Corporate,179,190,-11,-5.79
2023,06,Alfa Romeo,Private,15,12,3,25.0
