marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
3 CARROCEROS,Corporate,0,351,0,0,351,351
3 CARROCEROS,Private,0,31,0,0,31,31
3 CARROCEROS,RAC,0,39,0,0,39,39
A.A. AIRBUS,Corporate,0,107,0,0,107,107
A.A. AIRBUS,Private,0,1,0,0,1,1
A.A. AIRBUS,RAC,0,190,0,0,190,190
A.E.M SCOUT,Private,0,1,0,0,1,1
A.R. PICHEL SA,Corporate,0,1,0,0,1,1
A.R. PICHEL SA,Private,0,2,0,0,2,2
ABARTH,Corporate,0,51,248,-248,-197,51
ABARTH,Private,0,55,233,-233,-178,55
ABARTH,RAC,0,0,160,-160,-160,0
ACROSS,Corporate,0,1,0,0,1,1
ACROSS,Private,0,18,0,0,18,18
ACROSS,RAC,0,19,0,0,19,19
ACTIVITY,Corporate,0,4,0,0,4,4
ACTIVITY,Private,0,3,0,0,3,3
ACTIVITY,RAC,0,12,0,0,12,12
ACURA,Corporate,0,10,0,0,10,10
ACURA,Private,0,1,0,0,1,1
ADDAX MOTORS,Corporate,0,1,0,0,1,1
ADRIA,Corporate,0,47,0,0,47,47
ADRIA,Private,0,640,0,0,640,640
ADRIA,RAC,0,153,0,0,153,153
ADRIA MOBIL,Private,0,2,0,0,2,2
AEON,RAC,0,2,0,0,2,2
AGUINAGA,Corporate,0,40,0,0,40,40
AGUINAGA,Private,0,2,0,0,2,2
AIWAYS,Corporate,0,76,76,-76,0,76
AIWAYS,Private,0,8,8,-8,0,8
AIWAYS,RAC,0,0,0,0,0,0
ALBA,RAC,0,1,0,0,1,1
ALFA ROMEO,Corporate,5227,5438,5439,-212,-1,211
ALFA ROMEO,Private,947,736,924,23,-188,-211
ALFA ROMEO,RAC,3030,3030,2836,194,194,0
ALFABUS,Corporate,0,35,0,0,35,35
ALFABUS,RAC,0,10,0,0,10,10
ALFOZ,Corporate,0,21,0,0,21,21
ALFOZ,Private,0,2,0,0,2,2
ALFOZ,RAC,0,1,0,0,1,1
ALKE,Corporate,0,0,23,-23,-23,0
ALKE,Private,0,0,0,0,0,0
ALKE,RAC,0,0,1,-1,-1,0
ALKE',Corporate,0,12,0,0,12,12
ALKE',RAC,0,1,0,0,1,1
ALLIED,Corporate,0,1,0,0,1,1
ALLIED VEHICLES LTD,Corporate,0,24,0,0,24,24
ALLIED VEHICLES LTD,Private,0,73,0,0,73,73
ALLIED VEHICLES LTD,RAC,0,1,0,0,1,1
ALMANSA,Corporate,0,4,0,0,4,4
ALMANSA,Private,0,2,0,0,2,2
ALMANSA,RAC,0,1,0,0,1,1
ALONSO,Corporate,0,2,0,0,2,2
ALONSO,Private,0,1,0,0,1,1
ALPINA,Corporate,0,1,0,0,1,1
ALPINA,Private,0,1,0,0,1,1
ALPINE,Corporate,0,306,295,-295,11,306
ALPINE,Private,0,227,212,-212,15,227
ALPINE,RAC,0,18,18,-18,0,18
ALQUIBER QUALITY,Corporate,0,377,0,0,377,377
ALQUIBER QUALITY,RAC,0,60,0,0,60,60
"ALQUIBER QUALITY, S.A.",Corporate,0,183,0,0,183,183
"ALQUIBER QUALITY, S.A.",Private,0,1,0,0,1,1
"ALQUIBER QUALITY, S.A.",RAC,0,171,0,0,171,171
ALTAS AUTO,Corporate,0,7,0,0,7,7
AMELINE,Corporate,0,29,0,0,29,29
AMELINE,Private,0,6,0,0,6,6
AMELINE,RAC,0,2,0,0,2,2
ANGEL BRUGUERA FONT,Corporate,0,8,0,0,8,8
ANTOLI,Corporate,0,15,0,0,15,15
ANTONIO CARRARO,Private,0,1,0,0,1,1
ANTONIO JURADO GONZALEZ,Corporate,0,26,0,0,26,26
ANTONIO JURADO GONZALEZ,Private,0,1,0,0,1,1
API CZ,Private,0,1,0,0,1,1
ARASUR,Private,0,2,0,0,2,2
ARB ARBUCIES,Corporate,0,6,0,0,6,6
ARB ARBUCIES,Private,0,6,0,0,6,6
ARCADIA,RAC,0,1,0,0,1,1
ARCFOX,Corporate,0,2,2,-2,0,2
ARCFOX,Private,0,0,0,0,0,0
ARCFOX,RAC,0,0,0,0,0,0
ARES,Corporate,0,118,0,0,118,118
ARGO,Corporate,0,2,0,0,2,2
ARGO,Private,0,2,0,0,2,2
ASTIKAR,Corporate,0,2,0,0,2,2
ASTIZ,Corporate,0,2,0,0,2,2
ASTON MARTIN,Corporate,0,101,97,-97,4,101
ASTON MARTIN,Private,0,69,62,-62,7,69
ASTON MARTIN,RAC,0,8,9,-9,-1,8
ATALAYA,Corporate,0,10,0,0,10,10
ATALAYA,RAC,0,50,0,0,50,50
ATIS,Corporate,0,5,0,0,5,5
ATL,Corporate,0,3,0,0,3,3
ATM,Corporate,0,4,0,0,4,4
ATM,Private,0,2,0,0,2,2
ATZ,Corporate,0,1,0,0,1,1
ATZ,Private,0,1,0,0,1,1
AUCAR-TRAILER,Private,0,2,0,0,2,2
AUDI,Corporate,63610,61261,61259,2351,2,-2349
AUDI,Private,35818,34700,35549,269,-849,-1118
AUDI,RAC,21442,24909,24003,-2561,906,3467
AUSA,Corporate,0,5,0,0,5,5
AUTAL,Corporate,0,21,0,0,21,21
AUTAL,Private,0,2,0,0,2,2
AUTOBALERMA,Corporate,0,1,0,0,1,1
AUTOBALERMA,RAC,0,1,0,0,1,1
AUTOMOBILES PEUGEOT,Corporate,0,1,0,0,1,1
AUTOMOBILES PEUGEOT,Private,0,8,0,0,8,8
AUTOMOBILES PEUGEOT,RAC,0,2,0,0,2,2
AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,0,83,0,0,83,83
AUTOMOBILI LAMBORGHINI S.P.A.,Private,0,48,0,0,48,48
AUTOMOBILI LAMBORGHINI S.P.A.,RAC,0,27,0,0,27,27
AUTOSTAR,Private,0,1,0,0,1,1
AVEURO,Private,0,1,0,0,1,1
AYATS,Corporate,0,2,0,0,2,2
AYATS,RAC,0,5,0,0,5,5
B-STYLE & FLEX-I-TRANS,Private,0,1,0,0,1,1
BAHIA,Corporate,0,1,0,0,1,1
BAHIA V.I.,Corporate,0,55,0,0,55,55
BAHIA V.I.,Private,0,23,0,0,23,23
BAHIA V.I.,RAC,0,8,0,0,8,8
BAIC,Corporate,0,23,23,-23,0,23
BAIC,Private,0,7,7,-7,0,7
BAIC,RAC,0,2,2,-2,0,2
BALEAR DE CARROSSERIES,Corporate,0,31,0,0,31,31
BALEAR DE CARROSSERIES,Private,0,2,0,0,2,2
BALEAR DE CARROSSERIES,RAC,0,1,0,0,1,1
BALLESTAS GANDIA,Corporate,0,3,0,0,3,3
BALLESTAS REUS,Corporate,0,25,0,0,25,25
BALLESTAS REUS,Private,0,4,0,0,4,4
BARBANY,Corporate,0,216,0,0,216,216
BARBANY,Private,0,62,0,0,62,62
BARBANY,RAC,0,74,0,0,74,74
BASCULANTES FUSEMUR,Corporate,0,1,0,0,1,1
BASREAL,Corporate,0,3,0,0,3,3
BASREAL,Private,0,1,0,0,1,1
BASREAL,RAC,0,1,0,0,1,1
BAVARIA,Private,0,5,0,0,5,5
BAW,Corporate,0,4,0,0,4,4
BAW,Private,0,2,0,0,2,2
BAYCAR,Corporate,0,30,0,0,30,30
BAYCAR,Private,0,3,0,0,3,3
BAYCAR,RAC,0,1,0,0,1,1
BEMAR,Corporate,0,45,0,0,45,45
BEMAR,Private,0,4,0,0,4,4
BEMAR,RAC,0,3,0,0,3,3
BENIMAR,Corporate,0,59,0,0,59,59
BENIMAR,Private,0,1430,0,0,1430,1430
BENIMAR,RAC,0,617,0,0,617,617
BENTLEY,Corporate,0,97,90,-90,7,97
BENTLEY,Private,0,112,112,-112,0,112
BENTLEY,RAC,0,1,8,-8,-7,1
BERGADA,Corporate,0,5,0,0,5,5
BERGADA,Private,0,8,0,0,8,8
BERGADANA,Corporate,0,421,0,0,421,421
BERGADANA,Private,0,440,0,0,440,440
BERGADANA,RAC,0,6,0,0,6,6
BESTUNE,Corporate,0,0,23,-23,-23,0
BESTUNE,Private,0,0,58,-58,-58,0
BESTUNE,RAC,0,0,8,-8,-8,0
BEULAS,Corporate,0,23,0,0,23,23
BEULAS,RAC,0,14,0,0,14,14
BLUCAMP,Private,0,10,0,0,10,10
BLUCAMP,RAC,0,36,0,0,36,36
BMW,Corporate,76500,76877,76836,-336,41,377
BMW,Private,36799,36422,35870,929,552,-377
BMW,RAC,13169,13169,13190,-21,-21,0
BOBCAT,Corporate,0,1,0,0,1,1
BOMBARDIER,Corporate,0,21,0,0,21,21
BOMBARDIER,Private,0,21,0,0,21,21
BOMBARDIER REC PROD INC,Corporate,0,8,0,0,8,8
BOMBARDIER REC PROD INC,Private,0,30,0,0,30,30
BORRA,Corporate,0,5,0,0,5,5
BORRA,Private,0,2,0,0,2,2
BOSCHUNG,Corporate,0,9,0,0,9,9
BRAVIA,Corporate,0,2,0,0,2,2
BRAVIA,Private,0,7,0,0,7,7
BRAVIA,RAC,0,1,0,0,1,1
BRAVO,Corporate,0,10,0,0,10,10
BRAVO,Private,0,2,0,0,2,2
BRAVO,RAC,0,11,0,0,11,11
BRETCHA,Corporate,0,7,0,0,7,7
BRETCHA,Private,0,1,0,0,1,1
BRETCHA,RAC,0,3,0,0,3,3
BRP,Corporate,0,248,0,0,248,248
BRP,Private,0,240,0,0,240,240
BRP,RAC,0,147,0,0,147,147
BUCHER,Corporate,0,6,0,0,6,6
BUERSTNER,Corporate,0,1,0,0,1,1
BUERSTNER,Private,0,1,0,0,1,1
BUGATTI,Private,0,1,0,0,1,1
BUGGYCAR,Corporate,0,2,0,0,2,2
BUICK,Corporate,0,2,0,0,2,2
BULLFUEGO,Corporate,0,7,0,0,7,7
BUNKERVAN,Corporate,0,22,0,0,22,22
BUNKERVAN,Private,0,33,0,0,33,33
BUNKERVAN,RAC,0,7,0,0,7,7
BURSTNER,Private,0,3,0,0,3,3
BURSTNER,RAC,0,1,0,0,1,1
BURSTNER GMBH,Corporate,0,2,0,0,2,2
BURSTNER GMBH,Private,0,89,0,0,89,89
BURSTNER GMBH,RAC,0,28,0,0,28,28
BUS-PRESTIGE,Corporate,0,1,0,0,1,1
BYD,Corporate,7282,7445,7190,92,255,163
BYD,Private,22460,22297,22486,-26,-189,-163
BYD,RAC,1883,1883,1915,-32,-32,0
C.I.,Corporate,0,1,0,0,1,1
C.I.,Private,0,17,0,0,17,17
C.I.,RAC,0,21,0,0,21,21
C.M.,Corporate,0,2,0,0,2,2
C.T.E.,Corporate,0,2,0,0,2,2
C.T.E.,RAC,0,2,0,0,2,2
CACESA,Corporate,0,12,0,0,12,12
CACESA,RAC,0,1,0,0,1,1
CADILLAC,Corporate,0,9,5,-5,4,9
CADILLAC,Private,0,2,0,0,2,2
CADILLAC,RAC,0,0,0,0,0,0
CAETANO,Corporate,0,17,0,0,17,17
CAFRAN,Corporate,0,24,0,0,24,24
CAFRAN,Private,0,2,0,0,2,2
CAFRISE,Corporate,0,97,0,0,97,97
CAFRISE,Private,0,18,0,0,18,18
CAFRISE,RAC,0,21,0,0,21,21
CAJISA,Corporate,0,9,0,0,9,9
CAJISA,Private,0,1,0,0,1,1
CAJISA,RAC,0,219,0,0,219,219
CALLAU,Corporate,0,17,0,0,17,17
CALLAU,Private,0,3,0,0,3,3
CALVO,Corporate,0,7,0,0,7,7
CALZADA,Corporate,0,10,0,0,10,10
CALZADA,Private,0,3,0,0,3,3
CAMARA,Corporate,0,1,0,0,1,1
CAMPEREVE,Private,0,1,0,0,1,1
CAN AM,Corporate,0,3,0,0,3,3
CAN AM,RAC,0,4,0,0,4,4
CAPRON,Corporate,0,15,0,0,15,15
CAPRON,Private,0,307,0,0,307,307
CAPRON,RAC,0,305,0,0,305,305
CAPRON GMBH,Corporate,0,11,0,0,11,11
CAPRON GMBH,Private,0,151,0,0,151,151
CAPRON GMBH,RAC,0,83,0,0,83,83
CAR RAFAEL MIRALLES,Corporate,0,1,0,0,1,1
CAR-BUS.NET,Corporate,0,77,0,0,77,77
CAR-BUS.NET,RAC,0,1,0,0,1,1
CARAVANS INTERNACIONAL,RAC,0,1,0,0,1,1
CARBODIES,Private,0,2,0,0,2,2
CARFRIGO,Corporate,0,1,0,0,1,1
CARGAN,Corporate,0,6,0,0,6,6
CARGAN,RAC,0,1,0,0,1,1
CARHAGO,Private,0,1,0,0,1,1
CARHAGO,RAC,0,1,0,0,1,1
CARPOL,Private,0,3,0,0,3,3
CARRO,Corporate,0,1,0,0,1,1
CARROC. RAFAEL MIRALLES,Corporate,0,17,0,0,17,17
CARROC. RAFAEL MIRALLES,RAC,0,1,0,0,1,1
CARROCER.FRIGOR.SEVILLA,Corporate,0,104,0,0,104,104
CARROCER.FRIGOR.SEVILLA,Private,0,10,0,0,10,10
