anyo,mes,marca,modelo,canal,fuel_type,segmento,subseg,hp,body_type,count
2023,03,3 CARROCEROS,,Corporate,ICE,,,,,2
2023,03,3 CARROCEROS,,Private,ICE,,,,,2
2023,03,3 CARROCEROS,,RAC,ICE,,,,,3
2023,03,ACROSS,,Private,ICE,,,,,2
2023,03,ACTIVITY,,Private,ICE,,,,,2
2023,03,ADRIA,,Corporate,ICE,,,,,2
2023,03,ADRIA,,Private,ICE,,,,,25
2023,03,ADRIA,,RAC,ICE,,,,,9
2023,03,AGUINAGA,,Corporate,ICE,,,,,1
2023,03,AIWAYS,U5,Corporate,BEV,UKL2,REST,Standard,SAV,5
2023,03,AIWAYS,U5,Private,BEV,UKL2,REST,Standard,SAV,1
2023,03,ALFA ROMEO,,Private,ICE,,,,,1
2023,03,ALFA ROMEO,GIULIA,Corporate,ICE,KKL,REST,Standard,SEDAN,8
2023,03,ALFA ROMEO,GIULIA,Private,ICE,KKL,REST,Standard,SEDAN,1
2023,03,ALFA ROMEO,STELVIO,Corporate,ICE,KKL,REST,Standard,SAV,107
2023,03,ALFA ROMEO,STELVIO,Private,ICE,KKL,REST,Standard,SAV,4
2023,03,ALFA ROMEO,STELVIO,RAC,ICE,KKL,REST,Standard,SAV,79
2023,03,ALFA ROMEO,TONALE,Corporate,ICE,UKL2,REST,Standard,SAV,65
2023,03,ALFA ROMEO,TONALE,Corporate,PHEV,UKL2,REST,Standard,SAV,10
2023,03,ALFA ROMEO,TONALE,Private,ICE,UKL2,REST,Standard,SAV,27
2023,03,ALFA ROMEO,TONALE,Private,PHEV,UKL2,REST,Standard,SAV,3
2023,03,ALFA ROMEO,TONALE,RAC,ICE,UKL2,REST,Standard,SAV,131
2023,03,ALFA ROMEO,TONALE,RAC,PHEV,UKL2,REST,Standard,SAV,4
2023,03,ALFOZ,,Corporate,ICE,,,,,1
2023,03,ALLIED VEHICLES LTD,,Private,ICE,,,,,1
2023,03,ALPINE,,Corporate,ICE,,,,,2
2023,03,ALPINE,,Private,ICE,,,,,1
2023,03,"ALQUIBER QUALITY, S.A.",,Corporate,ICE,,,,,19
2023,03,"ALQUIBER QUALITY, S.A.",,RAC,ICE,,,,,5
2023,03,AMELINE,,Corporate,ICE,,,,,1
2023,03,ARB ARBUCIES,,Corporate,ICE,,,,,1
2023,03,ARES,,Corporate,BEV,,,,,6
2023,03,ASTIKAR,,Corporate,ICE,,,,,1
2023,03,ASTON MARTIN,DB11,Private,ICE,GKL+,FOCUS SEGMENT,Standard,COUPE,1
2023,03,ATALAYA,,RAC,ICE,,,,,3
2023,03,AUCAR-TRAILER,,Private,ICE,,,,,1
2023,03,AUDI,,Corporate,BEV,,,,,95
2023,03,AUDI,,Corporate,ICE,,,,,50
2023,03,AUDI,,Private,BEV,,,,,79
2023,03,AUDI,,Private,ICE,,,,,21
2023,03,AUDI,,RAC,ICE,,,,,1
2023,03,AUDI,A1,Corporate,ICE,UKL1,FOCUS SEGMENT,Standard,HACH 5P,137
2023,03,AUDI,A1,Private,ICE,UKL1,FOCUS SEGMENT,Standard,HACH 5P,116
2023,03,AUDI,A1,RAC,ICE,UKL1,FOCUS SEGMENT,Standard,HACH 5P,415
2023,03,AUDI,A3,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,359
2023,03,AUDI,A3,Corporate,PHEV,UKL2,FOCUS SEGMENT,Standard,HACH 5P,17
2023,03,AUDI,A3,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,199
2023,03,AUDI,A3,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,HACH 5P,7
2023,03,AUDI,A3,RAC,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,141
2023,03,AUDI,A4,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,76
2023,03,AUDI,A4,Private,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,20
2023,03,AUDI,A4,RAC,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,21
2023,03,AUDI,A4 ALLROAD,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,ESTATE,7
2023,03,AUDI,A4 ALLROAD,Private,ICE,KKL,FOCUS SEGMENT,Standard,ESTATE,2
2023,03,AUDI,A4 ALLROAD,RAC,ICE,KKL,FOCUS SEGMENT,Standard,ESTATE,7
2023,03,AUDI,A5,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,41
2023,03,AUDI,A5,Private,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,35
2023,03,AUDI,A5,RAC,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,9
