anyo,mes,marca,canal,fuel_type,count
2025,01,3 CARROCEROS,Corporate,ICE,9
2025,01,3 CARROCEROS,Private,ICE,1
2025,01,3 CARROCEROS,RAC,ICE,1
2025,01,A.A. AIRBUS,Corporate,ICE,1
2025,01,A.A. AIRBUS,RAC,ICE,4
2025,01,ADRIA,Corporate,ICE,2
2025,01,ADRIA,Private,ICE,17
2025,01,AGUINAGA,Corporate,ICE,3
2025,01,ALFA ROMEO,Corporate,BEV,1
2025,01,ALFA ROMEO,Corporate,ICE,287
2025,01,ALFA ROMEO,Corporate,PHEV,1
2025,01,ALFA ROMEO,Private,BEV,2
2025,01,ALFA ROMEO,Private,ICE,25
2025,01,ALFA ROMEO,RAC,ICE,19
2025,01,ALLIED VEHICLES LTD,Private,ICE,2
2025,01,ALPINE,Corporate,BEV,11
2025,01,ALPINE,Corporate,ICE,2
2025,01,ALPINE,Private,BEV,1
2025,01,ALPINE,Private,ICE,2
2025,01,ALQUIBER QUALITY,Corporate,ICE,1
2025,01,ALQUIBER QUALITY,RAC,ICE,1
2025,01,AMELINE,Corporate,ICE,1
2025,01,ANTOLI,Corporate,ICE,1
2025,01,ARASUR,Private,ICE,1
2025,01,ARGO,Corporate,ICE,1
2025,01,ASTON MARTIN,Corporate,ICE,8
2025,01,ASTON MARTIN,Private,ICE,5
2025,01,AUDI,Corporate,BEV,109
2025,01,AUDI,Corporate,ICE,1126
2025,01,AUDI,Corporate,PHEV,65
2025,01,AUDI,Private,BEV,34
2025,01,AUDI,Private,ICE,723
2025,01,AUDI,Private,PHEV,42
2025,01,AUDI,RAC,ICE,617
2025,01,AUDI,RAC,PHEV,3
2025,01,AUSA,Corporate,ICE,1
2025,01,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,ICE,1
2025,01,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,PHEV,1
2025,01,AUTOMOBILI LAMBORGHINI S.P.A.,Private,PHEV,1
2025,01,AYATS,RAC,BEV,1
2025,01,BAHIA V.I.,Corporate,ICE,2
2025,01,BALEAR DE CARROSSERIES,Corporate,ICE,1
2025,01,BARBANY,Corporate,ICE,5
2025,01,BARBANY,RAC,ICE,1
2025,01,BENIMAR,Corporate,ICE,3
2025,01,BENIMAR,Private,ICE,40
2025,01,BENIMAR,RAC,ICE,19
2025,01,BENTLEY,Corporate,ICE,2
2025,01,BENTLEY,Corporate,PHEV,3
2025,01,BENTLEY,Private,ICE,1
2025,01,BENTLEY,Private,PHEV,6
2025,01,BERGADANA,RAC,ICE,1
2025,01,BEULAS,Corporate,ICE,1
2025,01,BMW,Corporate,BEV,134
2025,01,BMW,Corporate,ICE,1295
2025,01,BMW,Corporate,PHEV,266
2025,01,BMW,Private,BEV,84
2025,01,BMW,Private,ICE,629
2025,01,BMW,Private,PHEV,79
2025,01,BMW,RAC,BEV,5
2025,01,BMW,RAC,ICE,31
2025,01,BMW,RAC,PHEV,1
2025,01,BOMBARDIER REC PROD INC,Private,ICE,1
2025,01,BRAVIA,RAC,ICE,1
2025,01,BRP,Corporate,ICE,9
2025,01,BRP,Private,ICE,8
2025,01,BURSTNER GMBH,Private,ICE,2
2025,01,BUS-PRESTIGE,Corporate,ICE,1
2025,01,BYD,Corporate,BEV,141
2025,01,BYD,Corporate,PHEV,70
2025,01,BYD,Private,BEV,615
2025,01,BYD,Private,PHEV,318
2025,01,BYD,RAC,BEV,40
2025,01,CAFRISE,Corporate,ICE,3
2025,01,CAFRISE,Private,ICE,1
2025,01,CAJISA,Private,ICE,1
2025,01,CAJISA,RAC,ICE,7
2025,01,CALZADA,Corporate,ICE,2
2025,01,CALZADA,Private,ICE,1
2025,01,CAN AM,Corporate,ICE,1
2025,01,CAPRON,Corporate,ICE,1
2025,01,CAPRON,Private,ICE,3
2025,01,CAPRON GMBH,Corporate,ICE,1
2025,01,CAPRON GMBH,Private,ICE,4
2025,01,CAR-BUS.NET,Corporate,ICE,6
2025,01,CARROCER.FRIGOR.SEVILLA,Corporate,ICE,2
2025,01,CARROCERA CASTROSUA SA,Corporate,ICE,21
2025,01,CARROCERIAS CITY,Corporate,ICE,1
2025,01,CARROCERIAS CITY,RAC,ICE,3
2025,01,CARROCERIAS CONRADO,Corporate,ICE,1
2025,01,CARROCERIAS CONRADO,Private,ICE,1
2025,01,CARROCERIAS CREVILLENTE,Corporate,ICE,3
