anyo,mes,marca,canal,count
2025,04,3 CARROCEROS,Corporate,5
2025,04,3 CARROCEROS,Private,4
2025,04,A.A. AIRBUS,Corporate,1
2025,04,A.A. AIRBUS,RAC,9
2025,04,ABARTH,Private,2
2025,04,ACROSS,RAC,1
2025,04,ADRIA,Corporate,3
2025,04,ADRIA,Private,25
2025,04,ADRIA,RAC,5
2025,04,ALFA ROMEO,Corporate,89
2025,04,ALFA ROMEO,Private,39
2025,04,ALFA ROMEO,RAC,168
2025,04,ALLIED VEHICLES LTD,Private,1
2025,04,ALONSO,Private,1
2025,04,ALPINE,Corporate,20
2025,04,ALPINE,Private,16
2025,04,ALQUIBER QUALITY,Corporate,9
2025,04,ALQUIBER QUALITY,RAC,4
2025,04,ALTAS AUTO,Corporate,1
2025,04,AMELINE,Corporate,1
2025,04,ANTONIO JURADO GONZALEZ,Corporate,1
2025,04,ARB ARBUCIES,Corporate,1
2025,04,ARES,Corporate,1
2025,04,ARGO,Corporate,1
2025,04,ASTON MARTIN,Corporate,4
2025,04,ASTON MARTIN,Private,3
2025,04,ATALAYA,Corporate,2
2025,04,ATALAYA,RAC,1
2025,04,AUDI,Corporate,1496
2025,04,AUDI,Private,1046
2025,04,AUDI,RAC,1109
2025,04,AUTAL,Corporate,2
2025,04,AUTOMOBILES PEUGEOT,Corporate,1
2025,04,AUTOMOBILES PEUGEOT,RAC,1
2025,04,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,4
2025,04,AUTOMOBILI LAMBORGHINI S.P.A.,Private,1
2025,04,AUTOMOBILI LAMBORGHINI S.P.A.,RAC,1
2025,04,BAHIA V.I.,Corporate,3
2025,04,BAHIA V.I.,Private,1
2025,04,BALEAR DE CARROSSERIES,Corporate,1
2025,04,BALLESTAS REUS,Corporate,2
2025,04,BARBANY,Corporate,2
2025,04,BARBANY,Private,1
2025,04,BARBANY,RAC,2
2025,04,BASREAL,Private,1
2025,04,BEMAR,Corporate,2
2025,04,BENIMAR,Private,61
2025,04,BENIMAR,RAC,49
2025,04,BENTLEY,Corporate,1
2025,04,BENTLEY,Private,4
2025,04,BERGADANA,Private,2
2025,04,BEULAS,Corporate,1
2025,04,BLUCAMP,RAC,3
2025,04,BMW,Corporate,1904
2025,04,BMW,Private,931
2025,04,BMW,RAC,1079
2025,04,BOMBARDIER,Corporate,1
2025,04,BRAVIA,Corporate,1
2025,04,BRAVO,RAC,1
2025,04,BRP,Corporate,7
2025,04,BRP,Private,13
2025,04,BRP,RAC,4
2025,04,BUNKERVAN,Private,1
2025,04,BURSTNER GMBH,Private,5
2025,04,BYD,Corporate,214
2025,04,BYD,Private,871
2025,04,BYD,RAC,456
2025,04,C.I.,Private,1
2025,04,C.I.,RAC,2
2025,04,CAFRISE,Corporate,6
2025,04,CAJISA,Corporate,1
2025,04,CAJISA,RAC,14
2025,04,CAN AM,RAC,1
2025,04,CAPRON,Private,12
2025,04,CAPRON,RAC,26
2025,04,CAPRON GMBH,Private,13
2025,04,CAPRON GMBH,RAC,6
2025,04,CAR-BUS.NET,Corporate,3
2025,04,CARROCER.FRIGOR.SEVILLA,Corporate,2
2025,04,CARROCERA CASTROSUA SA,Corporate,16
2025,04,CARROCERIA LLUCH ALBERT,Corporate,1
2025,04,CARROCERIAS CITY,Corporate,1
2025,04,CARROCERIAS CORRAL,Corporate,1
2025,04,CARROCERIAS CREVILLENTE,Corporate,2
2025,04,CARROCERIAS CREVILLENTE,Private,1
2025,04,CARROCERIAS DAFER,Corporate,1
2025,04,CARROCERIAS DEL VALLE,Corporate,1
2025,04,CARROCERIAS DEL VALLE,Private,1
2025,04,CARROCERIAS EL GALLO,Corporate,5
2025,04,CARROCERIAS FRIGORIFICAS SEVIL,Corporate,4
2025,04,CARROCERIAS FRIGORIFICAS SEVIL,Private,1
2025,04,CARROCERIAS JANKAR,Corporate,2
2025,04,CARROCERIAS JEREZ,Corporate,5
2025,04,CARROCERIAS JEREZ,RAC,2
2025,04,CARROCERIAS MINDA,Corporate,8
2025,04,CARROCERIAS MINDA,Private,2
2025,04,CARROCERIAS SALAMANCA,Corporate,1
2025,04,CARROCERIAS SALAMANCA,RAC,1
2025,04,CARROCERIAS SANCA,Corporate,8
2025,04,CARROCERIAS SANCA,RAC,1
2025,04,CARROCERIAS SANCA SA,Corporate,8
2025,04,CARROCERIAS SANCA SA,Private,1
2025,04,CARROCERIAS SANCA SA,RAC,3
2025,04,"CARROCERIAS SANCA, S.A.",Corporate,13
2025,04,"CARROCERIAS SANCA, S.A.",Private,4
2025,04,"CARROCERIAS SANCA, S.A.",RAC,1
2025,04,CARROCERIAS SEVILLA,Corporate,15
2025,04,CARROCERIAS SEVILLA,RAC,3
2025,04,CARROCERIAS VILLFER,Private,1
2025,04,CARROSSERIES TOLOSA,Corporate,1
2025,04,CARROZADOS TECAI,Corporate,6
2025,04,CARTHAGO,Private,3
2025,04,CAYVOL,Corporate,5
2025,04,CAYVOL,RAC,1
2025,04,CENNTRO,Corporate,3
2025,04,CENNTRO,Private,3
2025,04,CERRAJERIA AURELIO,Corporate,1
2025,04,CFMOTO,Corporate,15
2025,04,CFMOTO,Private,32
2025,04,CFMOTO,RAC,2
2025,04,CHALLENGER,Private,27
2025,04,CHAPINSA,RAC,1
2025,04,CHAPISTERIA V.I.,Corporate,1
2025,04,CHEVROLET,Private,1
2025,04,CI,RAC,4
2025,04,CIBAD,Corporate,1
2025,04,CIBAD,RAC,1
2025,04,CIC SPAIN,Corporate,1
2025,04,CIF,Corporate,1
2025,04,CITROEN,Corporate,2412
2025,04,CITROEN,Private,1343
2025,04,CITROEN,RAC,1169
2025,04,COCAR,Corporate,1
2025,04,COCAR,RAC,1
2025,04,COINPOL,Corporate,8
2025,04,COINPOL,Private,1
2025,04,COLD CAR,Corporate,3
2025,04,COMPOCARR,RAC,1
2025,04,COMPOSITES REFORZADOS,Corporate,1
2025,04,CONGRUAL,Corporate,2
2025,04,COOLGADES,Corporate,6
2025,04,COOLGADES,Private,1
2025,04,CORVUS,Corporate,1
2025,04,COSMEA ESPINEDO,Corporate,1
2025,04,COVALCA,Corporate,1
2025,04,COVALCA,Private,1
2025,04,CRASTIR,Corporate,1
2025,04,CUPRA,Corporate,741
2025,04,CUPRA,Private,687
2025,04,CUPRA,RAC,766
2025,04,DACIA,Corporate,797
2025,04,DACIA,Private,3494
2025,04,DACIA,RAC,791
2025,04,DAIMLER,Corporate,1
2025,04,DETHLEFFS,Corporate,1
2025,04,DETHLEFFS,Private,6
2025,04,DETHLEFFS,RAC,8
2025,04,DFSK,Corporate,37
2025,04,DFSK,Private,26
2025,04,DFSK,RAC,6
2025,04,DIGAL,Corporate,7
2025,04,DIGAL,Private,1
2025,04,DIVISEGUR CATALUNYA,Corporate,43
2025,04,DONGFENG,Corporate,5
2025,04,DONGFENG,Private,14
2025,04,DONOSO,Corporate,2
2025,04,DR,Corporate,11
2025,04,DR,Private,49
2025,04,DR,RAC,6
2025,04,DS,Corporate,110
2025,04,DS,Private,24
2025,04,DS,RAC,106
2025,04,DSK,Corporate,2
2025,04,E-TUK FACTORY,Corporate,2
2025,04,E-TUK FACTORY,RAC,1
2025,04,EBRO,Corporate,187
2025,04,EBRO,Private,413
2025,04,EBRO,RAC,279
2025,04,ECOGAM,Corporate,1
2025,04,EDWARD DAVIES COMMERCIALS LTD,Corporate,1
2025,04,ELNAGH,Corporate,1
2025,04,ELNAGH,Private,12
2025,04,ELNAGH,RAC,7
2025,04,EQUIPFRED,Corporate,4
2025,04,EQUIPFRED,Private,2
2025,04,ERJOMA,Corporate,1
2025,04,ERKE,Corporate,123
2025,04,ERROBITRAK,Corporate,3
2025,04,ESCALANTE,Corporate,1
2025,04,ESCARDA,Private,1
2025,04,ETESIA,Corporate,1
2025,04,ETRUSCO,Private,6
2025,04,ETRUSCO,RAC,2
2025,04,EUROCARROCERA,Corporate,36
2025,04,EVO,Corporate,18
2025,04,EVO,Private,67
2025,04,EVO,RAC,2
2025,04,FAW,Corporate,4
2025,04,FAW,Private,9
2025,04,FENDT,Corporate,1
2025,04,FENIKS,Corporate,3
2025,04,FERRARI,Corporate,3
2025,04,FERRARI,Private,5
2025,04,FIAT,Corporate,443
2025,04,FIAT,Private,307
2025,04,FIAT,RAC,1089
2025,04,FOIMA,Corporate,4
2025,04,FORD,Corporate,2463
2025,04,FORD,Private,1659
2025,04,FORD,RAC,751
2025,04,FOTON,Corporate,7
2025,04,FOTON,Private,3
2025,04,FRANGU,Corporate,1
2025,04,FROILAN,Corporate,1
2025,04,FURCAR,Corporate,5
2025,04,FURGOKARAVANING,Private,3
2025,04,FUSO,Corporate,7
2025,04,GARCIA BLAZQUEZ  MORENO,Corporate,2
2025,04,GARCIA BLAZQUEZ MORENO,Corporate,1
2025,04,GEYCODIESEL,RAC,4
2025,04,GICALLA,Corporate,2
2025,04,GIOTTILINE,Private,22
2025,04,GIOTTILINE,RAC,17
2025,04,GIOTTLINE,RAC,3
2025,04,GMC,Corporate,1
2025,04,GMOKE,Corporate,3
2025,04,GORBEA,Corporate,1
2025,04,GOUPIL,Corporate,12
2025,04,GRAU,Corporate,9
2025,04,GRAU,RAC,1
2025,04,GRUAUTO,Corporate,5
2025,04,GSE,Corporate,1
2025,04,HARLEY-DAVIDSON,Private,3
2025,04,HERCOV,Corporate,1
2025,04,HERCOV,Private,1
2025,04,HERRATOR,Corporate,1
2025,04,HIDRAULICOS JOMAR,Corporate,1
2025,04,HIDROMAYORAL,Corporate,1
2025,04,HIGER,Corporate,2
2025,04,HONDA,Corporate,118
2025,04,HONDA,Private,281
2025,04,HURTAN,Private,1
2025,04,HYMER,Private,5
2025,04,HYMER,RAC,3
2025,04,HYUNDAI,Corporate,1114
2025,04,HYUNDAI,Private,2486
2025,04,HYUNDAI,RAC,4285
2025,04,IBERICA DE ISOTERMIZ,Corporate,2
2025,04,IBERICA DE ISOTERMIZ,RAC,1
2025,04,IGLUVAN,Corporate,25
2025,04,IGLUVAN,Private,4
2025,04,IGLUVAN,RAC,3
2025,04,ILUSION,RAC,5
2025,04,INCASE,Corporate,3
2025,04,INDCAR,Corporate,4
2025,04,INDUSAUTO,Corporate,1
2025,04,INDUSAUTO,Private,2
2025,04,INEOS,Corporate,11
2025,04,IRIZAR,Corporate,21
2025,04,IRIZAR,RAC,3
2025,04,IRIZAR E-MOBILITY,Corporate,27
2025,04,IRIZAR E-MOBILITY,Private,1
2025,04,ISUZU,Corporate,58
2025,04,ISUZU,Private,15
2025,04,ISUZU,RAC,4
2025,04,ITINEO,Private,5
2025,04,ITINEO,RAC,6
2025,04,IVECO,Corporate,275
2025,04,IVECO,Private,18
2025,04,IVECO,RAC,243
2025,04,IVECO BUS,Corporate,17
2025,04,JAECOO,Corporate,91
2025,04,JAECOO,Private,482
2025,04,JAECOO,RAC,128
2025,04,JAGUAR,Corporate,5
2025,04,JAGUAR,Private,1
2025,04,JEANJE,RAC,14
2025,04,JEEP,Corporate,400
2025,04,JEEP,Private,248
2025,04,JEEP,RAC,367
2025,04,JIMECA,Corporate,4
2025,04,JOHN DEERE,Corporate,4
2025,04,JOSE REYES CARROCERO,Corporate,1
2025,04,JOSE REYES CARROCEROS,Private,1
2025,04,JUAN SUAREZ,Corporate,6
2025,04,JUAN SUAREZ,Private,1
2025,04,JULIA CAMPER,Private,3
2025,04,JULIAN HERMOSA HERRERO,Private,1
2025,04,KARSAN,Corporate,6
2025,04,KG MOBILITY,Corporate,125
2025,04,KG MOBILITY,Private,174
2025,04,KG MOBILITY,RAC,49
2025,04,KIA,Corporate,1210
2025,04,KIA,Private,2511
2025,04,KIA,RAC,2532
2025,04,KING LONG,Corporate,5
2025,04,KING LONG,RAC,2
2025,04,KIOTI,Corporate,1
2025,04,KNAUS,Private,8
2025,04,KNAUS,RAC,2
2025,04,KYC,Corporate,1
2025,04,LAIKA CARAVANS SPA,Private,1
2025,04,LAIKA CARAVANS SPA,RAC,1
2025,04,LAMBERET,Corporate,1
2025,04,LANCIA,Corporate,24
2025,04,LANCIA,Private,7
