anyo,mes,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,05,212,,Corporate,ICE,Diesel,,,,,10
2026,05,212,,Corporate,ICE,Gasolina,,,,,13
2026,05,212,,Private,ICE,Diesel,,,,,14
2026,05,212,,Private,ICE,Gasolina,,,,,16
2026,05,212,,RAC,ICE,Diesel,,,,,1
2026,05,3 CARROCEROS,,Corporate,ICE,Diesel,,,,,16
2026,05,3 CARROCEROS,,Corporate,ICE,Gas Licuado con petroleo (GLP),,,,,1
2026,05,3 CARROCEROS,,Private,ICE,Diesel,,,,,2
2026,05,A.A. AIRBUS,,Corporate,ICE,Diesel,,,,,52
2026,05,A.A. AIRBUS,,RAC,ICE,Diesel,,,,,5
2026,05,ABARTH,,Private,BEV,Electrico,,,,,1
2026,05,ADRIA,,Corporate,ICE,Diesel,,,,,1
2026,05,ADRIA,,Private,ICE,Diesel,,,,,36
2026,05,ADRIA,,RAC,ICE,Diesel,,,,,9
2026,05,ALFA ROMEO,JUNIOR,Corporate,BEV,Electrico,UKL1,REST,Standard,SAV,26
2026,05,ALFA ROMEO,JUNIOR,Corporate,ICE,Electrico,UKL1,REST,Standard,SAV,64
2026,05,ALFA ROMEO,JUNIOR,Private,BEV,Electrico,UKL1,REST,Standard,SAV,3
2026,05,ALFA ROMEO,JUNIOR,Private,ICE,Electrico,UKL1,REST,Standard,SAV,17
2026,05,ALFA ROMEO,JUNIOR,RAC,ICE,Electrico,UKL1,REST,Standard,SAV,91
2026,05,ALFA ROMEO,STELVIO,Corporate,ICE,Diesel,KKL,REST,Standard,SAV,8
2026,05,ALFA ROMEO,TONALE,Corporate,ICE,Diesel,UKL2,REST,Standard,SAV,25
2026,05,ALFA ROMEO,TONALE,Corporate,PHEV,Diesel,UKL2,REST,Standard,SAV,3
2026,05,ALFA ROMEO,TONALE,Private,PHEV,Diesel,UKL2,REST,Standard,SAV,2
2026,05,ALFOZ,,Corporate,ICE,Diesel,,,,,1
2026,05,ALKE,,Corporate,BEV,Electrico,,,,,5
2026,05,ALLIED VEHICLES LTD,,Corporate,ICE,Diesel,,,,,1
2026,05,ALLIED VEHICLES LTD,,Private,ICE,Diesel,,,,,2
2026,05,ALMANSA,,Corporate,ICE,Diesel,,,,,1
2026,05,ALPINE,,Corporate,BEV,Electrico,,,,,10
2026,05,ALPINE,,Corporate,ICE,Gasolina,,,,,1
2026,05,ALPINE,,Private,BEV,Electrico,,,,,42
2026,05,ALPINE,,Private,ICE,Gasolina,,,,,6
2026,05,ALQUIBER QUALITY,,Corporate,ICE,Diesel,,,,,14
2026,05,ALQUIBER QUALITY,,RAC,ICE,Diesel,,,,,1
2026,05,ALTAS AUTO,,Corporate,ICE,Diesel,,,,,1
2026,05,ANTONIO JURADO GONZALEZ,,Corporate,ICE,Diesel,,,,,1
2026,05,ASTON MARTIN,,Corporate,ICE,Gasolina,,,,,1
2026,05,ASTON MARTIN,DB12,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,CABRIO,1
2026,05,ASTON MARTIN,VANTAGE,Corporate,ICE,Gasolina,GKL,FOCUS SEGMENT,Standard,COUPE,1
2026,05,ATALAYA,,Corporate,ICE,Diesel,,,,,1
2026,05,ATALAYA,,RAC,ICE,Diesel,,,,,3
2026,05,ATM,,Corporate,ICE,Diesel,,,,,1
2026,05,AUDI,,Corporate,BEV,Electrico,,,,,1
2026,05,AUDI,,Corporate,ICE,Diesel,,,,,1
2026,05,AUDI,,Corporate,ICE,Gasolina,,,,,1
2026,05,AUDI,A1,Corporate,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,153
2026,05,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,174
2026,05,AUDI,A1,RAC,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,302
2026,05,AUDI,A3,Corporate,ICE,Diesel,UKL2,FOCUS SEGMENT,Standard,HACH 5P,220
2026,05,AUDI,A3,Corporate,PHEV,Diesel,UKL2,FOCUS SEGMENT,Standard,HACH 5P,71
2026,05,AUDI,A3,Private,ICE,Diesel,UKL2,FOCUS SEGMENT,Standard,HACH 5P,108
