anyo,mes,marca,canal,fuel_type,count
2026,06,212,Corporate,ICE,18
2026,06,212,Private,ICE,14
2026,06,3 CARROCEROS,Corporate,ICE,22
2026,06,3 CARROCEROS,Private,ICE,1
2026,06,3 CARROCEROS,RAC,ICE,1
2026,06,A.A. AIRBUS,Corporate,ICE,49
2026,06,A.A. AIRBUS,RAC,ICE,6
2026,06,ABARTH,Private,BEV,2
2026,06,ADRIA,Corporate,ICE,2
2026,06,ADRIA,Private,ICE,42
2026,06,ADRIA,RAC,ICE,4
2026,06,AGUINAGA,Corporate,ICE,1
2026,06,AION,Corporate,BEV,15
2026,06,ALFA ROMEO,Corporate,BEV,4
2026,06,ALFA ROMEO,Corporate,ICE,153
2026,06,ALFA ROMEO,Corporate,PHEV,1
2026,06,ALFA ROMEO,Private,BEV,1
2026,06,ALFA ROMEO,Private,ICE,20
2026,06,ALFA ROMEO,RAC,ICE,66
2026,06,ALLIED VEHICLES LTD,Corporate,ICE,4
2026,06,ALLIED VEHICLES LTD,Private,ICE,7
2026,06,ALMANSA,Corporate,ICE,1
2026,06,ALONSO,Corporate,ICE,1
2026,06,ALPINE,Corporate,BEV,15
2026,06,ALPINE,Private,BEV,61
2026,06,ALPINE,Private,ICE,3
2026,06,ALPINE,RAC,BEV,5
2026,06,ALQUIBER QUALITY,Corporate,ICE,36
2026,06,ALTAS AUTO,Corporate,ICE,1
2026,06,AMELINE,Corporate,ICE,6
2026,06,AMELINE,RAC,ICE,1
2026,06,ANGEL BRUGUERA FONT,Corporate,ICE,1
2026,06,ANTOLI,Corporate,ICE,1
2026,06,ARB ARBUCIES,Corporate,ICE,1
2026,06,ARES,Corporate,BEV,5
2026,06,ASTON MARTIN,Corporate,ICE,3
2026,06,ASTON MARTIN,Private,ICE,3
2026,06,ATALAYA,RAC,ICE,2
2026,06,AUDI,Corporate,BEV,74
2026,06,AUDI,Corporate,ICE,1282
2026,06,AUDI,Corporate,PHEV,468
2026,06,AUDI,Private,BEV,108
2026,06,AUDI,Private,ICE,734
2026,06,AUDI,Private,PHEV,261
2026,06,AUDI,RAC,BEV,38
2026,06,AUDI,RAC,ICE,692
2026,06,AUDI,RAC,PHEV,375
2026,06,AUTOBALERMA,Corporate,ICE,2
2026,06,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,PHEV,4
2026,06,AUTOMOBILI LAMBORGHINI S.P.A.,Private,PHEV,9
2026,06,AUTOMOBILI LAMBORGHINI S.P.A.,RAC,PHEV,1
2026,06,AYATS,Corporate,ICE,1
2026,06,BAHIA V.I.,Corporate,ICE,2
2026,06,BAHIA V.I.,RAC,ICE,1
2026,06,BAIC,Corporate,ICE,5
2026,06,BAIC,Private,ICE,3
2026,06,BAIC,RAC,ICE,2
2026,06,BALEAR DE CARROSSERIES,Corporate,ICE,3
2026,06,BALLESTAS REUS,Corporate,ICE,4
2026,06,BAOJUN,Corporate,PHEV,3
2026,06,BAOJUN,Private,BEV,1
2026,06,BAOJUN,Private,PHEV,5
2026,06,BARBANY,Corporate,ICE,8
2026,06,BARBANY,Private,ICE,1
2026,06,BARBANY,RAC,ICE,1
2026,06,BASREAL,Corporate,ICE,1
2026,06,BAYCAR,Corporate,ICE,1
2026,06,BEMAR,Corporate,ICE,2
2026,06,BEMAR,Private,ICE,1
2026,06,BENIMAR,Corporate,ICE,10
2026,06,BENIMAR,Private,ICE,74
2026,06,BENIMAR,RAC,ICE,25
2026,06,BENTLEY,Corporate,PHEV,2
2026,06,BENTLEY,Private,PHEV,4
2026,06,BENTU,RAC,BEV,18
2026,06,BERGADA,Private,ICE,1
2026,06,BERGADANA,Corporate,ICE,1
2026,06,BERGADANA,Private,ICE,2
2026,06,BMW,Corporate,BEV,328
2026,06,BMW,Corporate,ICE,2185
2026,06,BMW,Corporate,PHEV,530
2026,06,BMW,Private,BEV,220
2026,06,BMW,Private,ICE,640
2026,06,BMW,Private,PHEV,130
2026,06,BMW,RAC,BEV,112
2026,06,BMW,RAC,ICE,1044
