anyo,mes,dia,marca,canal,count
2026,06,01,212,Corporate,4
2026,06,01,212,Private,1
2026,06,01,3 CARROCEROS,Corporate,1
2026,06,01,A.A. AIRBUS,Corporate,2
2026,06,01,ADRIA,Private,4
2026,06,01,ALFA ROMEO,RAC,8
2026,06,01,ALQUIBER QUALITY,Corporate,1
2026,06,01,ANTOLI,Corporate,1
2026,06,01,AUDI,Corporate,13
2026,06,01,AUDI,Private,10
2026,06,01,AUDI,RAC,4
2026,06,01,BARBANY,Corporate,2
2026,06,01,BENIMAR,Private,4
2026,06,01,BENIMAR,RAC,1
2026,06,01,BMW,Corporate,24
2026,06,01,BMW,Private,7
2026,06,01,BYD,Corporate,14
2026,06,01,BYD,Private,28
2026,06,01,C.I.,Private,1
2026,06,01,CAPRON,Corporate,1
2026,06,01,CAPRON,Private,2
2026,06,01,CAPRON,RAC,2
2026,06,01,CARROCERIAS CREVILLENTE,RAC,1
2026,06,01,CARROCERIAS SANCA SA,Corporate,2
2026,06,01,CARROCERIAS SEVILLA,Corporate,2
2026,06,01,CFMOTO,Corporate,1
2026,06,01,CFMOTO,Private,3
2026,06,01,CHALLENGER,Private,1
2026,06,01,CHAPINSA,Corporate,1
2026,06,01,CHRYSLER,Corporate,1
2026,06,01,CHT,Corporate,1
2026,06,01,CI,RAC,1
2026,06,01,CIBAD,RAC,3
2026,06,01,CITROEN,Corporate,21
2026,06,01,CITROEN,Private,18
2026,06,01,CITROEN,RAC,2
2026,06,01,CODETRANS,Corporate,1
2026,06,01,CRASTIR,Corporate,1
2026,06,01,CUPRA,Corporate,29
2026,06,01,CUPRA,Private,9
2026,06,01,CUPRA,RAC,22
2026,06,01,DACIA,Corporate,18
2026,06,01,DACIA,Private,40
2026,06,01,DACIA,RAC,1
2026,06,01,DEEPAL,Corporate,2
2026,06,01,DEEPAL,Private,14
2026,06,01,DFSK,Private,1
2026,06,01,DR,Private,1
2026,06,01,DS,Corporate,2
2026,06,01,DS,Private,1
2026,06,01,DS AUTOMOBILES,Corporate,1
2026,06,01,EBRO,Corporate,2
2026,06,01,EBRO,Private,9
2026,06,01,ELNAGH,Private,1
2026,06,01,ELNAGH,RAC,1
2026,06,01,ERKE,Corporate,4
2026,06,01,FENIKS,Corporate,2
2026,06,01,FIAT,Corporate,10
2026,06,01,FIAT,Private,2
2026,06,01,FIAT,RAC,27
2026,06,01,FOIMA,Corporate,2
2026,06,01,FORD,Corporate,85
2026,06,01,FORD,Private,15
2026,06,01,FORD,RAC,18
2026,06,01,FOTON,Private,1
2026,06,01,FUSO,Corporate,1
2026,06,01,GOMEZ,Corporate,2
2026,06,01,GOUPIL,Corporate,1
2026,06,01,GRAU,Corporate,2
2026,06,01,HALCON,Corporate,1
2026,06,01,HERCOV,Corporate,1
2026,06,01,HIGER,Corporate,1
2026,06,01,HONDA,Private,3
2026,06,01,HYUNDAI,Corporate,6
2026,06,01,HYUNDAI,Private,15
2026,06,01,HYUNDAI,RAC,1
2026,06,01,IGLUVAN,Corporate,2
2026,06,01,ISUZU,Corporate,10
2026,06,01,ISUZU,RAC,1
2026,06,01,IVECO,Corporate,10
2026,06,01,IVECO,Private,2
2026,06,01,IVECO,RAC,13
2026,06,01,IVECO BUS,Corporate,1
2026,06,01,JAECOO,Corporate,1
2026,06,01,JAECOO,Private,20
2026,06,01,JEEP,Corporate,3
2026,06,01,JEEP,Private,2
2026,06,01,JEEP,RAC,16
2026,06,01,KG MOBILITY,Private,2
2026,06,01,KIA,Corporate,51
2026,06,01,KIA,Private,86
2026,06,01,KIA,RAC,134
2026,06,01,LAND ROVER,Corporate,4
2026,06,01,LAND ROVER,Private,2
2026,06,01,LEAPMOTOR,Corporate,1
2026,06,01,LEAPMOTOR,Private,5
2026,06,01,LEXUS,Corporate,7
2026,06,01,LEXUS,Private,22
2026,06,01,LIDERKIT,Corporate,1
2026,06,01,LIDERKIT,RAC,2
2026,06,01,LIGIER,Corporate,1
2026,06,01,LIGIER,Private,2
2026,06,01,LINHAI,Private,1
2026,06,01,LIVAN,Private,1
2026,06,01,LYNK & CO,Corporate,4
2026,06,01,LYNK & CO,Private,3
2026,06,01,MAN,Corporate,7
2026,06,01,MAZDA,Corporate,8
2026,06,01,MAZDA,Private,18
2026,06,01,MC LOUIS,RAC,1
2026,06,01,MCLOUIS,Private,1
2026,06,01,MEBAUTO,Corporate,1
2026,06,01,MERCEDES BENZ,Corporate,1
2026,06,01,MERCEDES-BENZ,Corporate,113
2026,06,01,MERCEDES-BENZ,Private,37
2026,06,01,MERCEDES-BENZ,RAC,4
2026,06,01,MERCEDES-V,Corporate,6
2026,06,01,MERCEDES-V,RAC,6
2026,06,01,MG,Corporate,4
2026,06,01,MG,Private,13
2026,06,01,MINI,Corporate,5
2026,06,01,MINI,Private,14
2026,06,01,MITSUBISHI,Corporate,1
2026,06,01,MITSUBISHI,Private,5
2026,06,01,NISSAN,Corporate,36
2026,06,01,NISSAN,Private,16
2026,06,01,NISSAN,RAC,20
2026,06,01,OMODA,Corporate,7
2026,06,01,OMODA,Private,13
2026,06,01,ONTIYENT,Corporate,1
2026,06,01,OPEL,Corporate,53
2026,06,01,OPEL,Private,3
2026,06,01,OPEL,RAC,117
2026,06,01,PANAMA,Private,2
2026,06,01,PEUGEOT,Corporate,42
2026,06,01,PEUGEOT,Private,12
2026,06,01,PEUGEOT,RAC,1
2026,06,01,POLARIS,Corporate,1
2026,06,01,PORSCHE,Corporate,2
2026,06,01,PORSCHE,Private,2
2026,06,01,PORSCHE,RAC,1
2026,06,01,RECAPOL,Corporate,3
2026,06,01,RENAULT,Corporate,85
2026,06,01,RENAULT,Private,14
2026,06,01,RENAULT,RAC,4
2026,06,01,RODRIGUEZ LOPEZ AUTO,Private,28
2026,06,01,ROLLER TEAM,Private,1
2026,06,01,ROLLER TEAM,RAC,2
2026,06,01,SEAT,Corporate,69
2026,06,01,SEAT,Private,19
2026,06,01,SEAT,RAC,71
2026,06,01,"SEMICARFRAN,S.L",Corporate,1
2026,06,01,"SEMICARFRAN,S.L",Private,1
2026,06,01,SERVI CAR,Corporate,1
2026,06,01,SILENCE,Corporate,1
2026,06,01,SILENCE,Private,1
2026,06,01,SIN MARCA,Corporate,1
2026,06,01,SIN MARCA,Private,1
2026,06,01,SKODA,Corporate,27
2026,06,01,SKODA,Private,6
2026,06,01,SKODA,RAC,2
2026,06,01,SMART,Corporate,4
2026,06,01,SMART,Private,2
2026,06,01,SOCAGE,Corporate,1
