anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,05,3 CARROCEROS,,Corporate,ICE,Diesel,,,Standard,,7
2026,06,05,A.A. AIRBUS,,Corporate,ICE,Diesel,,,Standard,,1
2026,06,05,ADRIA,,Private,ICE,Diesel,,,Standard,,1
2026,06,05,ALFA ROMEO,JUNIOR,Corporate,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,05,ALFA ROMEO,TONALE,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,2
2026,06,05,ALPINE,,Private,BEV,Electrico,,,Standard,,2
2026,06,05,ASTON MARTIN,,Private,ICE,Gasolina,,,Standard,,1
2026,06,05,AUDI,A1,Corporate,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,2
2026,06,05,AUDI,A1,Private,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,4
2026,06,05,AUDI,A1,RAC,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,22
2026,06,05,AUDI,A3,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,4
2026,06,05,AUDI,A3,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2026,06,05,AUDI,A3,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,22
2026,06,05,AUDI,A3,RAC,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,HACH 5P,17
2026,06,05,AUDI,A5,Corporate,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SEDAN,2
2026,06,05,AUDI,A5,Corporate,PHEV,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SEDAN,2
2026,06,05,AUDI,A5,Private,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SEDAN,2
2026,06,05,AUDI,A6,Private,ICE,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SEDAN,1
2026,06,05,AUDI,A6,RAC,BEV,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SEDAN,2
2026,06,05,AUDI,A6,RAC,PHEV,Gasolina/Electrico Enchufable,5.MKL,FOCUS SEGMENT,Standard,SEDAN,1
2026,06,05,AUDI,Q2,Corporate,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q2,Private,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,SAV,5
2026,06,05,AUDI,Q2,RAC,ICE,Gasolina,3.UKL2,FOCUS SEGMENT,Standard,SAV,5
2026,06,05,AUDI,Q3,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,AUDI,Q3,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,AUDI,Q3,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q3,RAC,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q3 SPORTBACK,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,4
2026,06,05,AUDI,Q3 SPORTBACK,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,5
2026,06,05,AUDI,Q3 SPORTBACK,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,AUDI,Q3 SPORTBACK,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,AUDI,Q3 SPORTBACK,RAC,PHEV,Gasolina/Electrico Enchufable,3.UKL2,FOCUS SEGMENT,Standard,SAV,3
2026,06,05,AUDI,Q4 SPORTBACK E-TRON,Private,BEV,Electrico,3.UKL2,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,AUDI,Q5,Corporate,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,AUDI,Q5,Corporate,PHEV,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,6
2026,06,05,AUDI,Q5,Private,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q5,Private,PHEV,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,05,AUDI,Q5 SPORTBACK,Corporate,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,M Performance,SAV,1
2026,06,05,AUDI,Q5 SPORTBACK,Corporate,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,9
2026,06,05,AUDI,Q5 SPORTBACK,Corporate,PHEV,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,05,AUDI,Q5 SPORTBACK,Private,ICE,Gasolina/Electrico Enchufable,4.KKL,FOCUS SEGMENT,Standard,SAV,4
