anyo,mes,dia,marca,canal,fuel_type,count
2026,06,11,212,Private,ICE,3
2026,06,11,3 CARROCEROS,Corporate,ICE,2
2026,06,11,A.A. AIRBUS,Corporate,ICE,2
2026,06,11,ADRIA,Corporate,ICE,1
2026,06,11,ADRIA,Private,ICE,5
2026,06,11,ADRIA,RAC,ICE,1
2026,06,11,AION,Corporate,BEV,4
2026,06,11,ALFA ROMEO,Corporate,BEV,1
2026,06,11,ALFA ROMEO,Corporate,ICE,7
2026,06,11,ALFA ROMEO,Private,ICE,1
2026,06,11,ALPINE,Private,BEV,2
2026,06,11,ARB ARBUCIES,Corporate,ICE,1
2026,06,11,AUDI,Corporate,BEV,1
2026,06,11,AUDI,Corporate,ICE,74
2026,06,11,AUDI,Corporate,PHEV,20
2026,06,11,AUDI,Private,BEV,2
2026,06,11,AUDI,Private,ICE,44
2026,06,11,AUDI,Private,PHEV,12
2026,06,11,AUDI,RAC,PHEV,2
2026,06,11,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,PHEV,1
2026,06,11,BAHIA V.I.,Corporate,ICE,1
2026,06,11,BENIMAR,Private,ICE,6
2026,06,11,BENIMAR,RAC,ICE,1
2026,06,11,BENTLEY,Private,PHEV,1
2026,06,11,BMW,Corporate,BEV,20
2026,06,11,BMW,Corporate,ICE,118
2026,06,11,BMW,Corporate,PHEV,42
2026,06,11,BMW,Private,BEV,7
2026,06,11,BMW,Private,ICE,19
2026,06,11,BMW,Private,PHEV,6
2026,06,11,BMW,RAC,BEV,1
2026,06,11,BMW,RAC,PHEV,1
2026,06,11,BYD,Corporate,BEV,3
2026,06,11,BYD,Corporate,PHEV,11
2026,06,11,BYD,Private,BEV,38
2026,06,11,BYD,Private,PHEV,56
2026,06,11,BYD,RAC,PHEV,60
2026,06,11,CAPRON,Private,ICE,1
2026,06,11,CARROCERIAS SANCA SA,RAC,ICE,1
2026,06,11,CARROCERIAS SEVILLA,Corporate,ICE,2
2026,06,11,CARROZADOS TECAI,Corporate,ICE,1
2026,06,11,CAYVOL,Corporate,ICE,1
2026,06,11,CFMOTO,Corporate,ICE,1
2026,06,11,CFMOTO,Private,ICE,3
2026,06,11,CHALLENGER,Corporate,ICE,1
2026,06,11,CHALLENGER,Private,ICE,5
2026,06,11,CHAPINSA,Corporate,ICE,1
2026,06,11,CHAPISTERIA V.I.,Corporate,ICE,1
2026,06,11,CITROEN,Corporate,BEV,20
2026,06,11,CITROEN,Corporate,ICE,59
2026,06,11,CITROEN,Private,BEV,20
2026,06,11,CITROEN,Private,ICE,48
2026,06,11,CUPRA,Corporate,BEV,13
2026,06,11,CUPRA,Corporate,ICE,12
2026,06,11,CUPRA,Corporate,PHEV,7
2026,06,11,CUPRA,Private,BEV,7
2026,06,11,CUPRA,Private,ICE,17
2026,06,11,CUPRA,Private,PHEV,7
2026,06,11,CUPRA,RAC,ICE,36
2026,06,11,CUPRA,RAC,PHEV,9
2026,06,11,DACIA,Corporate,BEV,1
2026,06,11,DACIA,Corporate,ICE,41
2026,06,11,DACIA,Private,BEV,1
2026,06,11,DACIA,Private,ICE,235
2026,06,11,DACIA,RAC,ICE,1
2026,06,11,DEEPAL,Corporate,BEV,2
2026,06,11,DEEPAL,Private,BEV,17
2026,06,11,DETHLEFFS,Private,ICE,1
2026,06,11,DIGAL,Corporate,ICE,1
2026,06,11,DONGFENG,Corporate,BEV,1
2026,06,11,DONGFENG,Private,BEV,1
2026,06,11,DR,Corporate,ICE,1
2026,06,11,DR,Private,ICE,1
2026,06,11,DR,RAC,ICE,5
2026,06,11,DS,Corporate,ICE,10
2026,06,11,DS,Private,ICE,3
2026,06,11,DS,Private,PHEV,1
2026,06,11,EBRO,Corporate,ICE,4
2026,06,11,EBRO,Corporate,PHEV,8
2026,06,11,EBRO,Private,ICE,46
2026,06,11,EBRO,Private,PHEV,21
2026,06,11,EBRO,RAC,ICE,1
2026,06,11,ELNAGH,Private,ICE,1
2026,06,11,ELNAGH,RAC,ICE,1
2026,06,11,EVO,Corporate,ICE,1
2026,06,11,EVO,Private,ICE,4
2026,06,11,EVO,RAC,ICE,2
2026,06,11,FERRARI,Private,PHEV,1
2026,06,11,FIAT,Corporate,ICE,21
2026,06,11,FIAT,Private,BEV,4
2026,06,11,FIAT,Private,ICE,9
2026,06,11,FIAT,RAC,ICE,9
2026,06,11,FORD,Corporate,BEV,6
2026,06,11,FORD,Corporate,ICE,59
2026,06,11,FORD,Corporate,PHEV,33
2026,06,11,FORD,Private,BEV,5
2026,06,11,FORD,Private,ICE,23
2026,06,11,FORD,Private,PHEV,26
2026,06,11,FORD,RAC,ICE,2
2026,06,11,FORD,RAC,PHEV,5
2026,06,11,FOTON,Corporate,ICE,2
2026,06,11,FOTON,Private,ICE,2
2026,06,11,FRANGU,Corporate,ICE,2
2026,06,11,GEELY,Private,BEV,1
2026,06,11,GEELY,Private,PHEV,7
2026,06,11,GIOTTILINE,RAC,ICE,1
2026,06,11,GOUPIL,Corporate,BEV,8
2026,06,11,GRAU,Corporate,BEV,2
2026,06,11,GRUAUTO,Corporate,ICE,1
2026,06,11,HICAVAL,Corporate,ICE,1
