anyo,mes,cod_prov,provincia,canal,fuel_type,count
2023,03,00,Desconocida,Private,BEV,1
2023,03,00,Desconocida,Private,ICE,19
2023,03,01,Álava,Corporate,BEV,14
2023,03,01,Álava,Corporate,ICE,129
2023,03,01,Álava,Corporate,PHEV,16
2023,03,01,Álava,Private,BEV,15
2023,03,01,Álava,Private,ICE,238
2023,03,01,Álava,Private,PHEV,12
2023,03,01,Álava,RAC,ICE,10
2023,03,01,Álava,RAC,PHEV,4
2023,03,02,Albacete,Corporate,BEV,16
2023,03,02,Albacete,Corporate,ICE,214
2023,03,02,Albacete,Corporate,PHEV,11
2023,03,02,Albacete,Private,BEV,8
2023,03,02,Albacete,Private,ICE,222
2023,03,02,Albacete,Private,PHEV,7
2023,03,02,Albacete,RAC,BEV,2
2023,03,02,Albacete,RAC,ICE,3
2023,03,03,Alicante,Corporate,BEV,91
2023,03,03,Alicante,Corporate,ICE,1108
2023,03,03,Alicante,Corporate,PHEV,75
2023,03,03,Alicante,Private,BEV,112
2023,03,03,Alicante,Private,ICE,1603
2023,03,03,Alicante,Private,PHEV,63
2023,03,03,Alicante,RAC,BEV,1
2023,03,03,Alicante,RAC,ICE,3252
2023,03,03,Alicante,RAC,PHEV,11
2023,03,04,Almería,Corporate,BEV,12
2023,03,04,Almería,Corporate,ICE,210
2023,03,04,Almería,Corporate,PHEV,16
2023,03,04,Almería,Private,BEV,21
2023,03,04,Almería,Private,ICE,539
2023,03,04,Almería,Private,PHEV,18
2023,03,04,Almería,RAC,ICE,4
2023,03,05,Ávila,Corporate,BEV,7
2023,03,05,Ávila,Corporate,ICE,50
2023,03,05,Ávila,Corporate,PHEV,5
2023,03,05,Ávila,Private,BEV,7
2023,03,05,Ávila,Private,ICE,93
2023,03,05,Ávila,Private,PHEV,4
2023,03,06,Badajoz,Corporate,BEV,27
2023,03,06,Badajoz,Corporate,ICE,171
2023,03,06,Badajoz,Corporate,PHEV,4
2023,03,06,Badajoz,Private,BEV,14
2023,03,06,Badajoz,Private,ICE,324
2023,03,06,Badajoz,Private,PHEV,4
2023,03,06,Badajoz,RAC,BEV,1
2023,03,06,Badajoz,RAC,ICE,4
2023,03,07,Baleares,Corporate,BEV,87
2023,03,07,Baleares,Corporate,ICE,492
2023,03,07,Baleares,Corporate,PHEV,24
2023,03,07,Baleares,Private,BEV,75
2023,03,07,Baleares,Private,ICE,989
2023,03,07,Baleares,Private,PHEV,19
2023,03,07,Baleares,RAC,BEV,7
2023,03,07,Baleares,RAC,ICE,923
2023,03,07,Baleares,RAC,PHEV,1
2023,03,08,Barcelona,Corporate,BEV,325
2023,03,08,Barcelona,Corporate,ICE,2686
2023,03,08,Barcelona,Corporate,PHEV,137
2023,03,08,Barcelona,Private,BEV,281
2023,03,08,Barcelona,Private,ICE,4864
2023,03,08,Barcelona,Private,PHEV,234
2023,03,08,Barcelona,RAC,BEV,11
2023,03,08,Barcelona,RAC,ICE,468
2023,03,08,Barcelona,RAC,PHEV,31
2023,03,09,Burgos,Corporate,BEV,7
2023,03,09,Burgos,Corporate,ICE,97
2023,03,09,Burgos,Corporate,PHEV,10
2023,03,09,Burgos,Private,BEV,10
2023,03,09,Burgos,Private,ICE,291
2023,03,09,Burgos,Private,PHEV,6
2023,03,09,Burgos,RAC,ICE,4
2023,03,10,Cáceres,Corporate,BEV,3
2023,03,10,Cáceres,Corporate,ICE,77
2023,03,10,Cáceres,Corporate,PHEV,1
2023,03,10,Cáceres,Private,BEV,8
2023,03,10,Cáceres,Private,ICE,212
2023,03,10,Cáceres,Private,PHEV,5
2023,03,10,Cáceres,RAC,ICE,37
2023,03,11,Cádiz,Corporate,BEV,24
2023,03,11,Cádiz,Corporate,ICE,322
2023,03,11,Cádiz,Corporate,PHEV,21
2023,03,11,Cádiz,Private,BEV,27
2023,03,11,Cádiz,Private,ICE,1024
2023,03,11,Cádiz,Private,PHEV,21
2023,03,11,Cádiz,RAC,ICE,3
2023,03,12,Castellón,Corporate,BEV,23
2023,03,12,Castellón,Corporate,ICE,263
2023,03,12,Castellón,Corporate,PHEV,12
2023,03,12,Castellón,Private,BEV,22
2023,03,12,Castellón,Private,ICE,403
2023,03,12,Castellón,Private,PHEV,13
2023,03,12,Castellón,RAC,ICE,203
2023,03,12,Castellón,RAC,PHEV,9
2023,03,13,Ciudad Real,Corporate,BEV,10
2023,03,13,Ciudad Real,Corporate,ICE,105
2023,03,13,Ciudad Real,Corporate,PHEV,9
2023,03,13,Ciudad Real,Private,BEV,5
2023,03,13,Ciudad Real,Private,ICE,261
2023,03,13,Ciudad Real,Private,PHEV,8
2023,03,13,Ciudad Real,RAC,ICE,8
2023,03,14,Córdoba,Corporate,BEV,22
2023,03,14,Córdoba,Corporate,ICE,243
2023,03,14,Córdoba,Corporate,PHEV,55
2023,03,14,Córdoba,Private,BEV,15
2023,03,14,Córdoba,Private,ICE,428
2023,03,14,Córdoba,Private,PHEV,8
2023,03,14,Córdoba,RAC,ICE,13
2023,03,15,A Coruña,Corporate,BEV,14
2023,03,15,A Coruña,Corporate,ICE,260
2023,03,15,A Coruña,Corporate,PHEV,20
2023,03,15,A Coruña,Private,BEV,24
2023,03,15,A Coruña,Private,ICE,614
2023,03,15,A Coruña,Private,PHEV,29
2023,03,15,A Coruña,RAC,BEV,1
2023,03,15,A Coruña,RAC,ICE,26
2023,03,15,A Coruña,RAC,PHEV,1
2023,03,16,Cuenca,Corporate,ICE,41
2023,03,16,Cuenca,Corporate,PHEV,3
2023,03,16,Cuenca,Private,BEV,3
2023,03,16,Cuenca,Private,ICE,110
2023,03,16,Cuenca,Private,PHEV,8
2023,03,16,Cuenca,RAC,ICE,1
2023,03,17,Girona,Corporate,BEV,30
2023,03,17,Girona,Corporate,ICE,260
2023,03,17,Girona,Corporate,PHEV,23
2023,03,17,Girona,Private,BEV,58
2023,03,17,Girona,Private,ICE,788
2023,03,17,Girona,Private,PHEV,25
2023,03,17,Girona,RAC,BEV,4
2023,03,17,Girona,RAC,ICE,13
2023,03,18,Granada,Corporate,BEV,8
2023,03,18,Granada,Corporate,ICE,193
2023,03,18,Granada,Corporate,PHEV,5
2023,03,18,Granada,Private,BEV,21
2023,03,18,Granada,Private,ICE,575
2023,03,18,Granada,Private,PHEV,24
2023,03,18,Granada,RAC,ICE,16
2023,03,19,Guadalajara,Corporate,BEV,8
2023,03,19,Guadalajara,Corporate,ICE,53
2023,03,19,Guadalajara,Corporate,PHEV,7
2023,03,19,Guadalajara,Private,BEV,25
2023,03,19,Guadalajara,Private,ICE,191
2023,03,19,Guadalajara,Private,PHEV,8
2023,03,19,Guadalajara,RAC,ICE,4
2023,03,20,Gipuzkoa,Corporate,BEV,29
2023,03,20,Gipuzkoa,Corporate,ICE,191
2023,03,20,Gipuzkoa,Corporate,PHEV,19
2023,03,20,Gipuzkoa,Private,BEV,35
2023,03,20,Gipuzkoa,Private,ICE,462
2023,03,20,Gipuzkoa,Private,PHEV,28
2023,03,20,Gipuzkoa,RAC,ICE,29
2023,03,20,Gipuzkoa,RAC,PHEV,8
2023,03,21,Huelva,Corporate,BEV,11
2023,03,21,Huelva,Corporate,ICE,90
2023,03,21,Huelva,Corporate,PHEV,5
2023,03,21,Huelva,Private,BEV,10
2023,03,21,Huelva,Private,ICE,319
2023,03,21,Huelva,Private,PHEV,13
2023,03,22,Huesca,Corporate,BEV,8
2023,03,22,Huesca,Corporate,ICE,76
2023,03,22,Huesca,Corporate,PHEV,4
2023,03,22,Huesca,Private,BEV,5
2023,03,22,Huesca,Private,ICE,171
2023,03,22,Huesca,Private,PHEV,2
2023,03,22,Huesca,RAC,ICE,11
2023,03,23,Jaén,Corporate,BEV,8
2023,03,23,Jaén,Corporate,ICE,90
2023,03,23,Jaén,Corporate,PHEV,7
2023,03,23,Jaén,Private,BEV,8
2023,03,23,Jaén,Private,ICE,293
2023,03,23,Jaén,Private,PHEV,11
2023,03,23,Jaén,RAC,ICE,2
2023,03,24,León,Corporate,BEV,13
2023,03,24,León,Corporate,ICE,101
2023,03,24,León,Corporate,PHEV,8
2023,03,24,León,Private,BEV,10
2023,03,24,León,Private,ICE,310
2023,03,24,León,Private,PHEV,12
2023,03,24,León,RAC,ICE,24
2023,03,24,León,RAC,PHEV,2
2023,03,25,Lleida,Corporate,BEV,27
2023,03,25,Lleida,Corporate,ICE,237
2023,03,25,Lleida,Corporate,PHEV,21
2023,03,25,Lleida,Private,BEV,12
2023,03,25,Lleida,Private,ICE,350
2023,03,25,Lleida,Private,PHEV,23
2023,03,25,Lleida,RAC,ICE,13
2023,03,25,Lleida,RAC,PHEV,1
2023,03,26,La Rioja,Corporate,BEV,12
2023,03,26,La Rioja,Corporate,ICE,108
2023,03,26,La Rioja,Corporate,PHEV,5
2023,03,26,La Rioja,Private,BEV,14
2023,03,26,La Rioja,Private,ICE,166
2023,03,26,La Rioja,Private,PHEV,9
2023,03,26,La Rioja,RAC,ICE,3
2023,03,26,La Rioja,RAC,PHEV,1
2023,03,27,Lugo,Corporate,BEV,7
2023,03,27,Lugo,Corporate,ICE,143
2023,03,27,Lugo,Corporate,PHEV,12
2023,03,27,Lugo,Private,BEV,7
2023,03,27,Lugo,Private,ICE,183
2023,03,27,Lugo,Private,PHEV,15
2023,03,27,Lugo,RAC,ICE,4
2023,03,28,Madrid,Corporate,BEV,1478
2023,03,28,Madrid,Corporate,ICE,26432
2023,03,28,Madrid,Corporate,PHEV,2529
2023,03,28,Madrid,Private,BEV,455
2023,03,28,Madrid,Private,ICE,6014
2023,03,28,Madrid,Private,PHEV,446
2023,03,28,Madrid,RAC,BEV,224
2023,03,28,Madrid,RAC,ICE,17242
2023,03,28,Madrid,RAC,PHEV,661
2023,03,29,Málaga,Corporate,BEV,40
2023,03,29,Málaga,Corporate,ICE,616
2023,03,29,Málaga,Corporate,PHEV,49
2023,03,29,Málaga,Private,BEV,89
2023,03,29,Málaga,Private,ICE,1269
2023,03,29,Málaga,Private,PHEV,56
2023,03,29,Málaga,RAC,BEV,2
2023,03,29,Málaga,RAC,ICE,415
2023,03,29,Málaga,RAC,PHEV,52
2023,03,30,Murcia,Corporate,BEV,49
2023,03,30,Murcia,Corporate,ICE,461
2023,03,30,Murcia,Corporate,PHEV,30
2023,03,30,Murcia,Private,BEV,50
2023,03,30,Murcia,Private,ICE,974
2023,03,30,Murcia,Private,PHEV,37
2023,03,30,Murcia,RAC,ICE,57
2023,03,31,Navarra,Corporate,BEV,25
2023,03,31,Navarra,Corporate,ICE,226
2023,03,31,Navarra,Corporate,PHEV,13
2023,03,31,Navarra,Private,BEV,59
2023,03,31,Navarra,Private,ICE,423
2023,03,31,Navarra,Private,PHEV,30
2023,03,31,Navarra,RAC,ICE,5
2023,03,32,Ourense,Corporate,BEV,11
2023,03,32,Ourense,Corporate,ICE,78
2023,03,32,Ourense,Corporate,PHEV,12
2023,03,32,Ourense,Private,BEV,8
2023,03,32,Ourense,Private,ICE,176
2023,03,32,Ourense,Private,PHEV,5
2023,03,32,Ourense,RAC,ICE,2
2023,03,33,Asturias,Corporate,BEV,14
2023,03,33,Asturias,Corporate,ICE,276
2023,03,33,Asturias,Corporate,PHEV,23
2023,03,33,Asturias,Private,BEV,19
2023,03,33,Asturias,Private,ICE,634
2023,03,33,Asturias,Private,PHEV,14
2023,03,33,Asturias,RAC,BEV,7
2023,03,33,Asturias,RAC,ICE,64
2023,03,34,Palencia,Corporate,BEV,4
2023,03,34,Palencia,Corporate,ICE,26
2023,03,34,Palencia,Corporate,PHEV,3
2023,03,34,Palencia,Private,BEV,2
2023,03,34,Palencia,Private,ICE,89
2023,03,34,Palencia,Private,PHEV,3
2023,03,34,Palencia,RAC,ICE,6
2023,03,35,Las Palmas,Corporate,BEV,115
2023,03,35,Las Palmas,Corporate,ICE,988
2023,03,35,Las Palmas,Corporate,PHEV,59
2023,03,35,Las Palmas,Private,BEV,77
