anyo,mes,marca,cod_prov,provincia,canal,fuel_type,count
2026,02,BMW,00,Desconocida,Private,ICE,1
2026,02,CUPRA,00,Desconocida,Private,ICE,1
2026,02,VOLKSWAGEN,00,Desconocida,Private,ICE,1
2026,02,VOLKSWAGEN,00,Desconocida,Private,PHEV,1
2026,02,ADRIA,01,Álava,Private,ICE,1
2026,02,ADRIA,01,Álava,RAC,ICE,1
2026,02,ALFA ROMEO,01,Álava,Private,ICE,1
2026,02,ALPINE,01,Álava,Private,ICE,1
2026,02,AUDI,01,Álava,Corporate,ICE,2
2026,02,AUDI,01,Álava,Corporate,PHEV,1
2026,02,AUDI,01,Álava,Private,BEV,2
2026,02,AUDI,01,Álava,Private,ICE,3
2026,02,BENIMAR,01,Álava,Corporate,ICE,2
2026,02,BENIMAR,01,Álava,Private,ICE,3
2026,02,BMW,01,Álava,Corporate,ICE,3
2026,02,BMW,01,Álava,Private,BEV,1
2026,02,BMW,01,Álava,Private,ICE,2
2026,02,BMW,01,Álava,Private,PHEV,1
2026,02,BYD,01,Álava,Corporate,BEV,1
2026,02,BYD,01,Álava,Corporate,PHEV,1
2026,02,BYD,01,Álava,Private,BEV,4
2026,02,BYD,01,Álava,Private,PHEV,6
2026,02,CARROCERIAS EL GALLO,01,Álava,Corporate,ICE,1
2026,02,CARROCERIAS OKA,01,Álava,Corporate,ICE,1
2026,02,CITROEN,01,Álava,Corporate,BEV,1
2026,02,CITROEN,01,Álava,Corporate,ICE,50
2026,02,CITROEN,01,Álava,Private,BEV,1
2026,02,CITROEN,01,Álava,Private,ICE,5
2026,02,CUPRA,01,Álava,Corporate,BEV,1
2026,02,CUPRA,01,Álava,Corporate,ICE,3
2026,02,CUPRA,01,Álava,Private,ICE,1
2026,02,DACIA,01,Álava,Corporate,ICE,2
2026,02,DACIA,01,Álava,Private,BEV,1
2026,02,DACIA,01,Álava,Private,ICE,21
2026,02,DFSK,01,Álava,Corporate,BEV,1
2026,02,DR,01,Álava,Private,ICE,1
2026,02,EBRO,01,Álava,Private,ICE,4
2026,02,EBRO,01,Álava,Private,PHEV,4
2026,02,EVO,01,Álava,Private,ICE,1
2026,02,FIAT,01,Álava,Corporate,BEV,1
2026,02,FIAT,01,Álava,Corporate,ICE,3
2026,02,FORD,01,Álava,Corporate,BEV,2
2026,02,FORD,01,Álava,Corporate,ICE,8
2026,02,FORD,01,Álava,Corporate,PHEV,7
2026,02,FORD,01,Álava,Private,BEV,1
2026,02,FORD,01,Álava,Private,ICE,5
2026,02,FORD,01,Álava,Private,PHEV,1
2026,02,GIOTTILINE,01,Álava,Private,ICE,1
2026,02,HONDA,01,Álava,Corporate,ICE,1
2026,02,HONDA,01,Álava,Private,ICE,1
2026,02,HYUNDAI,01,Álava,Corporate,BEV,1
2026,02,HYUNDAI,01,Álava,Corporate,ICE,1
2026,02,HYUNDAI,01,Álava,Corporate,PHEV,1
2026,02,HYUNDAI,01,Álava,Private,BEV,4
2026,02,HYUNDAI,01,Álava,Private,ICE,21
2026,02,HYUNDAI,01,Álava,Private,PHEV,1
2026,02,IVECO,01,Álava,Corporate,ICE,1
2026,02,JAECOO,01,Álava,Corporate,PHEV,1
2026,02,JAECOO,01,Álava,Private,ICE,7
2026,02,JAECOO,01,Álava,Private,PHEV,4
2026,02,JEEP,01,Álava,Corporate,ICE,1
2026,02,JEEP,01,Álava,Private,ICE,1
2026,02,KG MOBILITY,01,Álava,Corporate,ICE,1
2026,02,KIA,01,Álava,Corporate,BEV,2
2026,02,KIA,01,Álava,Corporate,ICE,1
2026,02,KIA,01,Álava,Private,BEV,7
2026,02,KIA,01,Álava,Private,ICE,15
2026,02,KNAUS,01,Álava,Private,ICE,1
2026,02,LEAPMOTOR,01,Álava,Corporate,BEV,2
2026,02,LEAPMOTOR,01,Álava,Private,BEV,1
2026,02,MAXUS,01,Álava,Private,ICE,1
2026,02,MAZDA,01,Álava,Private,ICE,8
2026,02,MERCEDES,01,Álava,Corporate,BEV,1
2026,02,MERCEDES,01,Álava,Corporate,ICE,3
2026,02,MERCEDES,01,Álava,Corporate,PHEV,1
2026,02,MERCEDES,01,Álava,Private,BEV,1
2026,02,MERCEDES,01,Álava,Private,ICE,9
2026,02,MERCEDES-COMMERCIAL,01,Álava,Corporate,ICE,1
2026,02,MERCEDES-V,01,Álava,Corporate,ICE,1
2026,02,MERCEDES-V,01,Álava,Private,ICE,1
2026,02,MG,01,Álava,Private,ICE,10
2026,02,MINI,01,Álava,Private,BEV,1
2026,02,MINI,01,Álava,Private,ICE,2
2026,02,MOBILVETTA DESIGN,01,Álava,Private,ICE,1
2026,02,NISSAN,01,Álava,Corporate,ICE,3
2026,02,NISSAN,01,Álava,Private,ICE,12
2026,02,OMODA,01,Álava,Corporate,ICE,3
2026,02,OMODA,01,Álava,Corporate,PHEV,1
2026,02,OMODA,01,Álava,Private,BEV,4
2026,02,OMODA,01,Álava,Private,ICE,14
2026,02,OMODA,01,Álava,Private,PHEV,2
2026,02,OPEL,01,Álava,Corporate,ICE,16
2026,02,OPEL,01,Álava,Private,ICE,1
2026,02,PEUGEOT,01,Álava,Corporate,ICE,11
2026,02,PEUGEOT,01,Álava,Private,BEV,1
2026,02,PEUGEOT,01,Álava,Private,ICE,7
2026,02,PEUGEOT,01,Álava,Private,PHEV,1
2026,02,POLESTAR,01,Álava,Private,BEV,1
2026,02,PORSCHE,01,Álava,Corporate,BEV,1
2026,02,PORSCHE,01,Álava,Private,BEV,1
2026,02,RENAULT,01,Álava,Corporate,ICE,4
2026,02,RENAULT,01,Álava,Private,BEV,2
2026,02,RENAULT,01,Álava,Private,ICE,11
2026,02,RENAULT,01,Álava,Private,PHEV,1
2026,02,SEAT,01,Álava,Corporate,ICE,8
2026,02,SEAT,01,Álava,Private,ICE,3
2026,02,SIN MARCA,01,Álava,Corporate,ICE,3
2026,02,SKODA,01,Álava,Corporate,BEV,2
2026,02,SKODA,01,Álava,Corporate,ICE,4
2026,02,SKODA,01,Álava,Private,BEV,1
2026,02,SKODA,01,Álava,Private,ICE,3
2026,02,SKODA,01,Álava,Private,PHEV,1
2026,02,SUN LIVING,01,Álava,RAC,ICE,1
2026,02,SUZUKI,01,Álava,Private,ICE,6
2026,02,TESLA,01,Álava,Corporate,BEV,2
2026,02,TESLA,01,Álava,Private,BEV,4
2026,02,TOYOTA,01,Álava,Corporate,BEV,1
2026,02,TOYOTA,01,Álava,Corporate,ICE,8
2026,02,TOYOTA,01,Álava,Corporate,PHEV,2
2026,02,TOYOTA,01,Álava,Private,BEV,2
2026,02,TOYOTA,01,Álava,Private,ICE,32
2026,02,TOYOTA,01,Álava,Private,PHEV,4
2026,02,VOLKSWAGEN,01,Álava,Corporate,ICE,8
2026,02,VOLKSWAGEN,01,Álava,Private,ICE,7
2026,02,VOLKSWAGEN,01,Álava,Private,PHEV,3
2026,02,VOLVO,01,Álava,Corporate,ICE,2
2026,02,VOLVO,01,Álava,Private,BEV,1
2026,02,VOLVO,01,Álava,Private,ICE,3
2026,02,AUDI,02,Albacete,Corporate,ICE,4
2026,02,AUDI,02,Albacete,Corporate,PHEV,4
2026,02,AUDI,02,Albacete,Private,ICE,10
2026,02,AUDI,02,Albacete,Private,PHEV,1
2026,02,BENIMAR,02,Albacete,Private,ICE,2
2026,02,BMW,02,Albacete,Corporate,ICE,3
2026,02,BMW,02,Albacete,Corporate,PHEV,1
2026,02,BMW,02,Albacete,Private,BEV,1
2026,02,BMW,02,Albacete,Private,ICE,4
2026,02,BYD,02,Albacete,Corporate,PHEV,1
2026,02,BYD,02,Albacete,Private,BEV,1
2026,02,BYD,02,Albacete,Private,PHEV,1
2026,02,CITROEN,02,Albacete,Corporate,ICE,1
2026,02,CITROEN,02,Albacete,Private,ICE,12
2026,02,COLD CAR,02,Albacete,Corporate,ICE,1
2026,02,CUPRA,02,Albacete,Corporate,ICE,1
2026,02,CUPRA,02,Albacete,Corporate,PHEV,2
2026,02,CUPRA,02,Albacete,Private,ICE,1
2026,02,DACIA,02,Albacete,Corporate,ICE,2
2026,02,DACIA,02,Albacete,Private,BEV,3
