anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,03,01,Álava,Private,BEV,2
2026,06,03,01,Álava,Private,ICE,9
2026,06,03,01,Álava,Private,PHEV,2
2026,06,03,02,Albacete,Corporate,BEV,1
2026,06,03,02,Albacete,Corporate,ICE,4
2026,06,03,02,Albacete,Corporate,PHEV,1
2026,06,03,02,Albacete,Private,BEV,3
2026,06,03,02,Albacete,Private,ICE,15
2026,06,03,03,Alicante,Corporate,BEV,4
2026,06,03,03,Alicante,Corporate,ICE,10
2026,06,03,03,Alicante,Corporate,PHEV,3
2026,06,03,03,Alicante,Private,BEV,20
2026,06,03,03,Alicante,Private,ICE,45
2026,06,03,03,Alicante,Private,PHEV,9
2026,06,03,03,Alicante,RAC,ICE,122
2026,06,03,04,Almería,Corporate,ICE,8
2026,06,03,04,Almería,Corporate,PHEV,2
2026,06,03,04,Almería,Private,BEV,2
2026,06,03,04,Almería,Private,ICE,15
2026,06,03,04,Almería,Private,PHEV,2
2026,06,03,05,Ávila,Private,ICE,4
2026,06,03,05,Ávila,Private,PHEV,1
2026,06,03,06,Badajoz,Corporate,BEV,1
2026,06,03,06,Badajoz,Corporate,ICE,1
2026,06,03,06,Badajoz,Private,BEV,2
2026,06,03,06,Badajoz,Private,ICE,15
2026,06,03,06,Badajoz,Private,PHEV,1
2026,06,03,07,Baleares,Corporate,BEV,3
2026,06,03,07,Baleares,Corporate,ICE,9
2026,06,03,07,Baleares,Corporate,PHEV,2
2026,06,03,07,Baleares,Private,BEV,11
2026,06,03,07,Baleares,Private,ICE,34
2026,06,03,07,Baleares,Private,PHEV,2
2026,06,03,07,Baleares,RAC,ICE,40
2026,06,03,07,Baleares,RAC,PHEV,7
2026,06,03,08,Barcelona,Corporate,BEV,8
2026,06,03,08,Barcelona,Corporate,ICE,49
2026,06,03,08,Barcelona,Corporate,PHEV,9
2026,06,03,08,Barcelona,Private,BEV,44
2026,06,03,08,Barcelona,Private,ICE,138
2026,06,03,08,Barcelona,Private,PHEV,18
2026,06,03,08,Barcelona,RAC,BEV,1
2026,06,03,08,Barcelona,RAC,ICE,20
2026,06,03,09,Burgos,Corporate,BEV,2
2026,06,03,09,Burgos,Corporate,ICE,2
2026,06,03,09,Burgos,Private,BEV,2
2026,06,03,09,Burgos,Private,ICE,9
2026,06,03,09,Burgos,Private,PHEV,1
2026,06,03,10,Cáceres,Corporate,ICE,1
2026,06,03,10,Cáceres,Private,BEV,1
