anyo,mes,dia,marca,cod_prov,provincia,canal,fuel_type,count
2026,06,15,CUPRA,01,Álava,Private,ICE,1
2026,06,15,JAECOO,01,Álava,Private,PHEV,1
2026,06,15,LEAPMOTOR,01,Álava,Private,BEV,1
2026,06,15,MG,01,Álava,Private,PHEV,1
2026,06,15,OMODA,01,Álava,Private,ICE,2
2026,06,15,PEUGEOT,01,Álava,Corporate,ICE,1
2026,06,15,TESLA,01,Álava,Private,BEV,4
2026,06,15,TOYOTA,01,Álava,Private,BEV,1
2026,06,15,VOLKSWAGEN,01,Álava,Corporate,BEV,1
2026,06,15,ZAGO AUTOMOTIVE,01,Álava,Corporate,ICE,3
2026,06,15,FORD,02,Albacete,Corporate,ICE,1
2026,06,15,IVECO,02,Albacete,Corporate,ICE,1
2026,06,15,KIA,02,Albacete,Private,BEV,1
2026,06,15,KIA,02,Albacete,Private,ICE,1
2026,06,15,MITSUBISHI,02,Albacete,Private,ICE,1
2026,06,15,PEUGEOT,02,Albacete,Private,ICE,1
2026,06,15,REHATRANS,02,Albacete,Corporate,ICE,1
2026,06,15,RENAULT,02,Albacete,Private,BEV,1
2026,06,15,SEAT,02,Albacete,Private,ICE,1
2026,06,15,VOLVO,02,Albacete,Private,ICE,1
2026,06,15,ADRIA,03,Alicante,Private,ICE,1
2026,06,15,ATALAYA,03,Alicante,RAC,ICE,1
2026,06,15,AUDI,03,Alicante,Corporate,BEV,1
2026,06,15,AUDI,03,Alicante,Private,ICE,2
2026,06,15,BMW,03,Alicante,Corporate,ICE,1
2026,06,15,BMW,03,Alicante,Corporate,PHEV,1
2026,06,15,BMW,03,Alicante,Private,BEV,2
2026,06,15,BMW,03,Alicante,Private,ICE,1
2026,06,15,BYD,03,Alicante,Corporate,BEV,1
2026,06,15,BYD,03,Alicante,Corporate,PHEV,1
2026,06,15,BYD,03,Alicante,Private,BEV,4
2026,06,15,BYD,03,Alicante,Private,PHEV,5
2026,06,15,CITROEN,03,Alicante,Private,BEV,1
2026,06,15,CUPRA,03,Alicante,Corporate,BEV,1
2026,06,15,DACIA,03,Alicante,Private,ICE,16
2026,06,15,DACIA,03,Alicante,RAC,ICE,13
2026,06,15,DEEPAL,03,Alicante,Private,BEV,2
2026,06,15,EBRO,03,Alicante,Private,ICE,3
2026,06,15,FIAT,03,Alicante,Private,BEV,1
2026,06,15,FIAT,03,Alicante,RAC,BEV,2
2026,06,15,FIAT,03,Alicante,RAC,ICE,8
2026,06,15,FORD,03,Alicante,Corporate,ICE,1
2026,06,15,FORD,03,Alicante,Corporate,PHEV,2
2026,06,15,FORD,03,Alicante,Private,ICE,4
2026,06,15,FORD,03,Alicante,Private,PHEV,1
2026,06,15,GOUPIL,03,Alicante,Corporate,BEV,2
2026,06,15,HYUNDAI,03,Alicante,Private,BEV,1
2026,06,15,HYUNDAI,03,Alicante,Private,ICE,3
2026,06,15,JAECOO,03,Alicante,Private,ICE,1
2026,06,15,JEEP,03,Alicante,RAC,ICE,21
2026,06,15,KIA,03,Alicante,Private,BEV,1
2026,06,15,KIA,03,Alicante,Private,ICE,4
2026,06,15,LIGIER,03,Alicante,Private,ICE,1
2026,06,15,LUIS GARCIA,03,Alicante,Private,ICE,1
2026,06,15,LYNK & CO,03,Alicante,Private,BEV,1
2026,06,15,MAZDA,03,Alicante,Corporate,PHEV,1
2026,06,15,MERCEDES-BENZ,03,Alicante,Corporate,ICE,1
2026,06,15,MERCEDES-BENZ,03,Alicante,Private,ICE,1
2026,06,15,MERCEDES-V,03,Alicante,Corporate,ICE,1
2026,06,15,MG,03,Alicante,Private,ICE,5
2026,06,15,MINI,03,Alicante,Private,ICE,1
2026,06,15,MITSUBISHI,03,Alicante,Corporate,PHEV,1
2026,06,15,NISSAN,03,Alicante,Corporate,ICE,2
2026,06,15,NISSAN,03,Alicante,Private,BEV,1
2026,06,15,OPEL,03,Alicante,Private,ICE,4
2026,06,15,PEUGEOT,03,Alicante,Private,BEV,1
2026,06,15,PORSCHE,03,Alicante,Private,ICE,1
2026,06,15,RENAULT,03,Alicante,Corporate,ICE,2
2026,06,15,RENAULT,03,Alicante,Private,BEV,1
2026,06,15,RENAULT,03,Alicante,Private,ICE,4
2026,06,15,SEAT,03,Alicante,Private,ICE,1
2026,06,15,SILENCE,03,Alicante,Private,BEV,1
2026,06,15,SKODA,03,Alicante,Private,ICE,1
2026,06,15,SUZUKI,03,Alicante,Private,ICE,1
2026,06,15,TESLA,03,Alicante,Corporate,BEV,2
2026,06,15,TESLA,03,Alicante,Private,BEV,8
2026,06,15,TOYOTA,03,Alicante,Corporate,ICE,2
2026,06,15,TOYOTA,03,Alicante,Corporate,PHEV,1
2026,06,15,TOYOTA,03,Alicante,Private,ICE,5
2026,06,15,VOLKSWAGEN,03,Alicante,Private,ICE,3
2026,06,15,AUDI,04,Almería,Private,ICE,2
2026,06,15,CODETRANS,04,Almería,Corporate,ICE,1
2026,06,15,DACIA,04,Almería,Private,ICE,7
2026,06,15,EBRO,04,Almería,Private,ICE,1
2026,06,15,FORD,04,Almería,Corporate,ICE,1
2026,06,15,HYUNDAI,04,Almería,Private,ICE,3
2026,06,15,KIA,04,Almería,Private,ICE,2
2026,06,15,MERCEDES-BENZ,04,Almería,Private,ICE,1
2026,06,15,MG,04,Almería,Private,ICE,1
2026,06,15,MG,04,Almería,Private,PHEV,1
2026,06,15,MINI,04,Almería,Private,BEV,1
2026,06,15,OMODA,04,Almería,Private,ICE,1
2026,06,15,OMODA,04,Almería,Private,PHEV,1
2026,06,15,PEUGEOT,04,Almería,Corporate,ICE,2
2026,06,15,PEUGEOT,04,Almería,Private,ICE,1
2026,06,15,POSSL,04,Almería,Private,ICE,1
2026,06,15,RENAULT,04,Almería,Private,ICE,2
2026,06,15,TESLA,04,Almería,Private,BEV,1
2026,06,15,TOYOTA,04,Almería,Private,BEV,1
2026,06,15,TOYOTA,04,Almería,Private,ICE,2
2026,06,15,VOLVO,04,Almería,Corporate,BEV,1
2026,06,15,JEEP,05,Ávila,Private,PHEV,1
2026,06,15,MG,05,Ávila,Private,ICE,1
2026,06,15,MINI,05,Ávila,Corporate,BEV,1
2026,06,15,TESLA,05,Ávila,Private,BEV,1
2026,06,15,AUDI,06,Badajoz,Corporate,PHEV,1
2026,06,15,CITROEN,06,Badajoz,Private,BEV,1
2026,06,15,CITROEN,06,Badajoz,Private,ICE,1
2026,06,15,DACIA,06,Badajoz,Private,ICE,2
2026,06,15,FORD,06,Badajoz,Corporate,BEV,1
2026,06,15,FORD,06,Badajoz,Corporate,PHEV,1
2026,06,15,FOTON,06,Badajoz,Corporate,ICE,1
2026,06,15,HYUNDAI,06,Badajoz,Private,BEV,1
2026,06,15,JAECOO,06,Badajoz,Private,PHEV,1
2026,06,15,MAZDA,06,Badajoz,Private,PHEV,1
2026,06,15,MERCEDES-BENZ,06,Badajoz,Corporate,ICE,1
2026,06,15,MINI,06,Badajoz,Corporate,BEV,1
2026,06,15,RENAULT,06,Badajoz,Corporate,ICE,1
2026,06,15,TESLA,06,Badajoz,Corporate,BEV,2
2026,06,15,TESLA,06,Badajoz,Private,BEV,1
2026,06,15,TOYOTA,06,Badajoz,Corporate,PHEV,1
2026,06,15,AUDI,07,Baleares,Private,ICE,1
2026,06,15,AUDI,07,Baleares,RAC,ICE,8
2026,06,15,BMW,07,Baleares,Corporate,ICE,7
2026,06,15,BMW,07,Baleares,Private,ICE,1
2026,06,15,BYD,07,Baleares,Corporate,BEV,1
2026,06,15,BYD,07,Baleares,Private,BEV,1
2026,06,15,CITROEN,07,Baleares,Corporate,ICE,1
2026,06,15,CITROEN,07,Baleares,Private,BEV,2
2026,06,15,DACIA,07,Baleares,Private,ICE,4
2026,06,15,DEEPAL,07,Baleares,Private,BEV,1
2026,06,15,EBRO,07,Baleares,Private,ICE,2
2026,06,15,EVO,07,Baleares,Private,ICE,1
