Provincia,Municipio,Zona,Id_Concesin,Concesin,Grupo
A CORUNA,Abegondo,D4,100304,Novomóvil,Agrelo
A CORUNA,Ames,D4,100346,Amiocar,Agrelo
A CORUNA,Ares,D4,100304,Novomóvil,Agrelo
A CORUNA,Arteixo,D4,100304,Novomóvil,Agrelo
A CORUNA,Arzua,D4,100346,Amiocar,Agrelo
A CORUNA,Bana (A),D4,100346,Amiocar,Agrelo
A CORUNA,Bergondo,D4,100304,Novomóvil,Agrelo
A CORUNA,Betanzos,D4,100304,Novomóvil,Agrelo
A CORUNA,Boimorto,D4,100346,Amiocar,Agrelo
A CORUNA,Boiro,D4,100346,Amiocar,Agrelo
A CORUNA,Boqueixon,D4,100346,Amiocar,Agrelo
A CORUNA,Brion,D4,100346,Amiocar,Agrelo
A CORUNA,Cabana de Bergantinos,D4,100304,Novomóvil,Agrelo
A CORUNA,Cabanas,D4,100304,Novomóvil,Agrelo
A CORUNA,Camarinas,D4,100304,Novomóvil,Agrelo
A CORUNA,Cambre,D4,100304,Novomóvil,Agrelo
A CORUNA,Capela (A),D4,100304,Novomóvil,Agrelo
A CORUNA,Carballo,D4,100304,Novomóvil,Agrelo
A CORUNA,Carnota,D4,100346,Amiocar,Agrelo
A CORUNA,Carral,D4,100304,Novomóvil,Agrelo
A CORUNA,Cedeira,D4,100304,Novomóvil,Agrelo
A CORUNA,Cee,D4,100346,Amiocar,Agrelo
A CORUNA,Cerceda,D4,100304,Novomóvil,Agrelo
A CORUNA,Cerdido,D4,100304,Novomóvil,Agrelo
A CORUNA,Coiros,D4,100304,Novomóvil,Agrelo
A CORUNA,Corcubion,D4,100346,Amiocar,Agrelo
A CORUNA,Coristanco,D4,100304,Novomóvil,Agrelo
A CORUNA,Coruna (A),D4,100304,Novomóvil,Agrelo
A CORUNA,Culleredo,D4,100304,Novomóvil,Agrelo
A CORUNA,Curtis,D4,100304,Novomóvil,Agrelo
A CORUNA,Dodro,D4,100346,Amiocar,Agrelo
A CORUNA,Dumbria,D4,100346,Amiocar,Agrelo
A CORUNA,Fene,D4,100304,Novomóvil,Agrelo
A CORUNA,Ferrol,D4,100304,Novomóvil,Agrelo
A CORUNA,Fisterra,D4,100346,Amiocar,Agrelo
A CORUNA,Irixoa,D4,100304,Novomóvil,Agrelo
A CORUNA,Laracha (A),D4,100304,Novomóvil,Agrelo
A CORUNA,Laxe,D4,100304,Novomóvil,Agrelo
A CORUNA,Lousame,D4,100346,Amiocar,Agrelo
A CORUNA,Manon,D4,100304,Novomóvil,Agrelo
A CORUNA,Mazaricos,D4,100346,Amiocar,Agrelo
A CORUNA,Melide,D4,100346,Amiocar,Agrelo
A CORUNA,Mesia,D4,100304,Novomóvil,Agrelo
A CORUNA,Mino,D4,100304,Novomóvil,Agrelo
A CORUNA,Mugardos,D4,100304,Novomóvil,Agrelo
A CORUNA,Muros,D4,100346,Amiocar,Agrelo
A CORUNA,Muxia,D4,100346,Amiocar,Agrelo
A CORUNA,Naron,D4,100304,Novomóvil,Agrelo
A CORUNA,Neda,D4,100304,Novomóvil,Agrelo
A CORUNA,Negreira,D4,100346,Amiocar,Agrelo
A CORUNA,Noia,D4,100346,Amiocar,Agrelo
A CORUNA,Oleiros,D4,100304,Novomóvil,Agrelo
A CORUNA,Ordes,D4,100346,Amiocar,Agrelo
A CORUNA,Oroso,D4,100346,Amiocar,Agrelo
A CORUNA,Ortigueira,D4,100304,Novomóvil,Agrelo
A CORUNA,Outes,D4,100346,Amiocar,Agrelo
A CORUNA,Oza-Cesuras,D4,100304,Novomóvil,Agrelo
A CORUNA,Paderne,D4,100304,Novomóvil,Agrelo
A CORUNA,Padron,D4,100346,Amiocar,Agrelo
A CORUNA,Pobra do Caraminal (A),D4,100346,Amiocar,Agrelo
A CORUNA,Ponteceso,D4,100304,Novomóvil,Agrelo
A CORUNA,Pontedeume,D4,100304,Novomóvil,Agrelo
A CORUNA,Pontes de Garcia Rodriguez (As),D4,100304,Novomóvil,Agrelo
A CORUNA,Porto do Son,D4,100346,Amiocar,Agrelo
A CORUNA,Rianxo,D4,100346,Amiocar,Agrelo
A CORUNA,Ribeira,D4,100346,Amiocar,Agrelo
A CORUNA,Rois,D4,100346,Amiocar,Agrelo
A CORUNA,Sada,D4,100304,Novomóvil,Agrelo
A CORUNA,San Sadurnino,D4,100304,Novomóvil,Agrelo
A CORUNA,Santa Comba,D4,100346,Amiocar,Agrelo
A CORUNA,Santiago de Compostela,D4,100346,Amiocar,Agrelo
A CORUNA,Santiso,D4,100346,Amiocar,Agrelo
A CORUNA,Somozas (As),D4,100304,Novomóvil,Agrelo
A CORUNA,Teo,D4,100346,Amiocar,Agrelo
A CORUNA,Tordoia,D4,100304,Novomóvil,Agrelo
A CORUNA,Touro,D4,100346,Amiocar,Agrelo
A CORUNA,Trazo,D4,100346,Amiocar,Agrelo
A CORUNA,Val do Dubra,D4,100346,Amiocar,Agrelo
A CORUNA,Valdovino,D4,100304,Novomóvil,Agrelo
A CORUNA,Vedra,D4,100346,Amiocar,Agrelo
A CORUNA,Vilarmaior,D4,100304,Novomóvil,Agrelo
A CORUNA,Vilasantar,D4,100304,Novomóvil,Agrelo
A CORUNA,Vimianzo,D4,100304,Novomóvil,Agrelo
A CORUNA,Zas,D4,100346,Amiocar,Agrelo
ALAVA,Alegria-Dulantzi,D5,100190,Burgocar,Resnova
ALAVA,Amurrio,D5,100190,Burgocar,Resnova
ALAVA,Aramaio,D5,100190,Burgocar,Resnova
ALAVA,Arraia-Maeztu,D5,100190,Burgocar,Resnova
ALAVA,Ayala/Aiara,D5,100190,Burgocar,Resnova
ALAVA,Banos de Ebro/Manueta,D5,100190,Burgocar,Resnova
ALAVA,Campezo/Kanpezu,D5,100190,Burgocar,Resnova
ALAVA,Elburgo/Burgelu,D5,100190,Burgocar,Resnova
ALAVA,Harana/Valle de Arana,D5,100190,Burgocar,Resnova
ALAVA,Iruna Oka/Iruna de Oca,D5,100190,Burgocar,Resnova
ALAVA,Laguardia,D5,100190,Burgocar,Resnova
ALAVA,Lanciego/Lantziego,D5,100190,Burgocar,Resnova
ALAVA,Lantaron,D5,100190,Burgocar,Resnova
ALAVA,Laudio/Llodio,D5,100190,Burgocar,Resnova
ALAVA,Legutiano,D5,100190,Burgocar,Resnova
ALAVA,Moreda de Alava,D5,100190,Burgocar,Resnova
ALAVA,Oyon-Oion,D5,100190,Burgocar,Resnova
ALAVA,Ribera Alta,D5,100190,Burgocar,Resnova
ALAVA,Ribera Baja/Erribera Beitia,D5,100190,Burgocar,Resnova
ALAVA,Salvatierra/Agurain,D5,100190,Burgocar,Resnova
ALAVA,Urkabustaiz,D5,100190,Burgocar,Resnova
ALAVA,Valdegovia/Gaubea,D5,100190,Burgocar,Resnova
ALAVA,Vitoria-Gasteiz,D5,100190,Burgocar,Resnova
ALAVA,Yecora/Iekora,D5,100190,Burgocar,Resnova
ALAVA,Zigoitia,D5,100190,Burgocar,Resnova
ALAVA,Zuia,D5,100190,Burgocar,Resnova
ALBACETE,Abengibre,D3,100764,Albamoción,Albamoción
ALBACETE,Albacete,D3,100764,Albamoción,Albamoción
ALBACETE,Alborea,D3,100764,Albamoción,Albamoción
ALBACETE,Alcala del Jucar,D3,100764,Albamoción,Albamoción
ALBACETE,Almansa,D3,100764,Albamoción,Albamoción
ALBACETE,Ayna,D3,100764,Albamoción,Albamoción
ALBACETE,Balazote,D3,100764,Albamoción,Albamoción
ALBACETE,Barrax,D3,100764,Albamoción,Albamoción
ALBACETE,Bogarra,D3,100764,Albamoción,Albamoción
ALBACETE,Bonete,D3,100764,Albamoción,Albamoción
ALBACETE,Bonillo (El),D3,100764,Albamoción,Albamoción
ALBACETE,Casas de Ves,D3,100764,Albamoción,Albamoción
ALBACETE,Casas-Ibanez,D3,100764,Albamoción,Albamoción
ALBACETE,Ferez,D3,100764,Albamoción,Albamoción
ALBACETE,Hellin,D3,100764,Albamoción,Albamoción
ALBACETE,Higueruela,D3,100764,Albamoción,Albamoción
ALBACETE,Lezuza,D3,100764,Albamoción,Albamoción
ALBACETE,Madrigueras,D3,100764,Albamoción,Albamoción
ALBACETE,Montealegre del Castillo,D3,100764,Albamoción,Albamoción
ALBACETE,Nerpio,D3,100764,Albamoción,Albamoción
ALBACETE,Pozo Canada,D3,100764,Albamoción,Albamoción
ALBACETE,Pozohondo,D3,100764,Albamoción,Albamoción
ALBACETE,Riopar,D3,100764,Albamoción,Albamoción
ALBACETE,Roda (La),D3,100764,Albamoción,Albamoción
ALBACETE,San Pedro,D3,100764,Albamoción,Albamoción
ALBACETE,Tarazona de la Mancha,D3,100764,Albamoción,Albamoción
ALBACETE,Tobarra,D3,100764,Albamoción,Albamoción
ALBACETE,Valdeganga,D3,100764,Albamoción,Albamoción
ALBACETE,Villamalea,D3,100764,Albamoción,Albamoción
ALBACETE,Villapalacios,D3,100764,Albamoción,Albamoción
ALBACETE,Villarrobledo,D3,100764,Albamoción,Albamoción
ALBACETE,Viveros,D3,100764,Albamoción,Albamoción
ALICANTE,Adsubia,D8,100062,Fersán,Benigar
ALICANTE,Agost,D8,100062,Fersán,Benigar
ALICANTE,Agres,D8,100468,Movibegar,Benigar
ALICANTE,Albatera,D8,100206,Hispamovil,Benigar
ALICANTE,Alcoy/Alcoi,D8,100468,Movibegar,Benigar
ALICANTE,Alfas del Pi (l'),D8,100062,Fersán,Benigar
ALICANTE,Algorfa,D8,100206,Hispamovil,Benigar
ALICANTE,Alguena,D8,100468,Movibegar,Benigar
ALICANTE,Alicante/Alacant,D8,100468,Movibegar,Benigar
ALICANTE,Almoradi,D8,100206,Hispamovil,Benigar
ALICANTE,Almudaina,D8,100468,Movibegar,Benigar
ALICANTE,Altea,D8,100062,Fersán,Benigar
ALICANTE,Aspe,D8,100206,Hispamovil,Benigar
ALICANTE,Banyeres de Mariola,D8,100468,Movibegar,Benigar
ALICANTE,Benejuzar,D8,100206,Hispamovil,Benigar
ALICANTE,Benferri,D8,100206,Hispamovil,Benigar
ALICANTE,Beniarbeig,D8,100062,Fersán,Benigar
ALICANTE,Benidoleig,D8,100062,Fersán,Benigar
ALICANTE,Benidorm,D8,100062,Fersán,Benigar
ALICANTE,Benifato,D8,100062,Fersán,Benigar
ALICANTE,Benijofar,D8,100206,Hispamovil,Benigar
ALICANTE,Benilloba,D8,100468,Movibegar,Benigar
ALICANTE,Benissa,D8,100062,Fersán,Benigar
ALICANTE,Benitachell/Poble Nou de Benitatxell (el),D8,100062,Fersán,Benigar
ALICANTE,Biar,D8,100468,Movibegar,Benigar
ALICANTE,Bigastro,D8,100206,Hispamovil,Benigar
ALICANTE,Busot,D8,100062,Fersán,Benigar
ALICANTE,Callosa de Segura,D8,100206,Hispamovil,Benigar
ALICANTE,Calpe/Calp,D8,100062,Fersán,Benigar
ALICANTE,Campello (el),D8,100062,Fersán,Benigar
ALICANTE,Canada,D8,100468,Movibegar,Benigar
ALICANTE,Castalla,D8,100468,Movibegar,Benigar
ALICANTE,Castell de Guadalest (el),D8,100062,Fersán,Benigar
ALICANTE,Catral,D8,100206,Hispamovil,Benigar
ALICANTE,Cocentaina,D8,100468,Movibegar,Benigar
ALICANTE,Cox,D8,100206,Hispamovil,Benigar
ALICANTE,Crevillent,D8,100206,Hispamovil,Benigar
ALICANTE,Daya Nueva,D8,100206,Hispamovil,Benigar
ALICANTE,Daya Vieja,D8,100206,Hispamovil,Benigar
ALICANTE,Denia,D8,100062,Fersán,Benigar
ALICANTE,Dolores,D8,100206,Hispamovil,Benigar
ALICANTE,Elche/Elx,D8,100206,Hispamovil,Benigar
ALICANTE,Elda,D8,100468,Movibegar,Benigar
ALICANTE,Finestrat,D8,100062,Fersán,Benigar
ALICANTE,Fondo de les Neus (el)/Hondon de las Nieves,D8,100468,Movibegar,Benigar
ALICANTE,Gaianes,D8,100468,Movibegar,Benigar
ALICANTE,Gata de Gorgos,D8,100062,Fersán,Benigar
ALICANTE,Granja de Rocamora,D8,100206,Hispamovil,Benigar
ALICANTE,Guardamar del Segura,D8,100206,Hispamovil,Benigar
ALICANTE,Ibi,D8,100468,Movibegar,Benigar
ALICANTE,Jacarilla,D8,100206,Hispamovil,Benigar
ALICANTE,Javea/Xabia,D8,100062,Fersán,Benigar
ALICANTE,Jijona/Xixona,D8,100062,Fersán,Benigar
ALICANTE,Lliber,D8,100062,Fersán,Benigar
ALICANTE,Monforte del Cid,D8,100468,Movibegar,Benigar
ALICANTE,Monovar/Monover,D8,100468,Movibegar,Benigar
ALICANTE,Montesinos (Los),D8,100206,Hispamovil,Benigar
ALICANTE,Murla,D8,100062,Fersán,Benigar
ALICANTE,Muro de Alcoy,D8,100468,Movibegar,Benigar
ALICANTE,Mutxamel,D8,100062,Fersán,Benigar
ALICANTE,Novelda,D8,100468,Movibegar,Benigar
ALICANTE,Nucia (la),D8,100062,Fersán,Benigar
ALICANTE,Ondara,D8,100062,Fersán,Benigar
ALICANTE,Onil,D8,100468,Movibegar,Benigar
ALICANTE,Orba,D8,100062,Fersán,Benigar
ALICANTE,Orihuela,D8,100206,Hispamovil,Benigar
ALICANTE,Pedreguer,D8,100062,Fersán,Benigar
ALICANTE,Pego,D8,100062,Fersán,Benigar
ALICANTE,Petrer,D8,100468,Movibegar,Benigar
ALICANTE,Pilar de la Horadada,D8,100206,Hispamovil,Benigar
ALICANTE,Pinos (el)/Pinoso,D8,100468,Movibegar,Benigar
ALICANTE,Planes,D8,100468,Movibegar,Benigar
ALICANTE,Poblets (els),D8,100062,Fersán,Benigar
ALICANTE,Polop,D8,100062,Fersán,Benigar
ALICANTE,Rafal,D8,100206,Hispamovil,Benigar
ALICANTE,Rafol d'Almunia (El),D8,100062,Fersán,Benigar
ALICANTE,Redovan,D8,100206,Hispamovil,Benigar
ALICANTE,Relleu,D8,100468,Movibegar,Benigar
ALICANTE,Rojales,D8,100206,Hispamovil,Benigar
ALICANTE,Romana (la),D8,100468,Movibegar,Benigar
ALICANTE,Sagra,D8,100062,Fersán,Benigar
ALICANTE,Salinas,D8,100468,Movibegar,Benigar
ALICANTE,San Fulgencio,D8,100206,Hispamovil,Benigar
ALICANTE,San Isidro,D8,100206,Hispamovil,Benigar
ALICANTE,San Miguel de Salinas,D8,100206,Hispamovil,Benigar
ALICANTE,San Vicente del Raspeig/Sant Vicent del Raspeig,D8,100062,Fersán,Benigar
ALICANTE,Sant Joan d'Alacant,D8,100062,Fersán,Benigar
ALICANTE,Santa Pola,D8,100206,Hispamovil,Benigar
ALICANTE,Sax,D8,100468,Movibegar,Benigar
ALICANTE,Teulada,D8,100062,Fersán,Benigar
ALICANTE,Tibi,D8,100062,Fersán,Benigar
ALICANTE,Torremanzanas/Torre de les Macanes (la),D8,100468,Movibegar,Benigar
ALICANTE,Torrevieja,D8,100206,Hispamovil,Benigar
ALICANTE,Vall de Gallinera,D8,100468,Movibegar,Benigar
ALICANTE,Verger (el),D8,100062,Fersán,Benigar
ALICANTE,Villajoyosa/Vila Joiosa (la),D8,100062,Fersán,Benigar
ALICANTE,Villena,D8,100468,Movibegar,Benigar
ALICANTE,Xalo,D8,100062,Fersán,Benigar
ALMERIA,Abla,D9,100813,Automotor Costa,SAFA
ALMERIA,Adra,D9,100813,Automotor Costa,SAFA
ALMERIA,Albox,D9,100813,Automotor Costa,SAFA
ALMERIA,Alcontar,D9,100813,Automotor Costa,SAFA
ALMERIA,Alhabia,D9,100813,Automotor Costa,SAFA
ALMERIA,Alhama de Almeria,D9,100813,Automotor Costa,SAFA
ALMERIA,Almeria,D9,100813,Automotor Costa,SAFA
ALMERIA,Antas,D9,100813,Automotor Costa,SAFA
