dealer_id,dealer_code,dealer_name,sales_installations,source_kind,source_confidence
100002,100002,bertolín,2,bmw_buno_internal,internal
100015,100015,grünblau motor,1,bmw_buno_internal,internal
100062,100062,fersán,5,bmw_buno_internal,internal
100120,100120,autogal,1,bmw_buno_internal,internal
100146,100146,lugauto,1,bmw_buno_internal,internal
100155,100155,autosa,1,bmw_buno_internal,internal
100190,100190,burgocar,2,bmw_buno_internal,internal
100206,100206,hispamovil,3,bmw_buno_internal,internal
100213,100213,movilnorte,2,bmw_buno_internal,internal
100304,100304,novomóvil,1,bmw_buno_internal,internal
100307,100307,avilcar,3,bmw_buno_internal,internal
100311,100311,marcos a. valencia,2,bmw_buno_internal,internal
100319,100319,vehinter,3,bmw_buno_internal,internal
100323,100323,caetano cuzco,3,bmw_buno_internal,internal
100344,100344,san pablo motor,2,bmw_buno_internal,internal
100346,100346,amiocar,1,bmw_buno_internal,internal
100348,100348,augusta aragón,1,bmw_buno_internal,internal
100349,100349,autopremier,2,bmw_buno_internal,internal
100379,100379,triocar,2,bmw_buno_internal,internal
100380:ceres-motor,100380,ceres motor,1,bmw_buno_internal,internal
100380:mandel-motor,100380,mandel motor,1,bmw_buno_internal,internal
100389,100389,canaauto,1,bmw_buno_internal,internal
100392,100392,pyrénées motors,1,bmw_buno_internal,internal
100393,100393,marcos a. murcia,3,bmw_buno_internal,internal
100394,100394,maberauto,1,bmw_buno_internal,internal
100410,100410,celtamotor,3,bmw_buno_internal,internal
100418,100418,fuenteolid,1,bmw_buno_internal,internal
100422,100422,san rafael motor,1,bmw_buno_internal,internal
100454,100454,autoram,1,bmw_buno_internal,internal
100468,100468,movibegar,2,bmw_buno_internal,internal
100549,100549,carteya motor,1,bmw_buno_internal,internal
100571,100571,tormes motor,1,bmw_buno_internal,internal
100572,100572,ibericar bcn,4,bmw_buno_internal,internal
100584,100584,pruna motor,2,bmw_buno_internal,internal
100585,100585,cabrero motorsport,1,bmw_buno_internal,internal
100586,100586,automotor,3,bmw_buno_internal,internal
100589,100589,ilbira motor,1,bmw_buno_internal,internal
100597,100597,autoberón,1,bmw_buno_internal,internal
100726,100726,enekuri motor,1,bmw_buno_internal,internal
100727,100727,unicars ponent,1,bmw_buno_internal,internal
100728,100728,oliva motor,1,bmw_buno_internal,internal
100730,100730,adler motor,2,bmw_buno_internal,internal
100734,100734,proa premium,3,bmw_buno_internal,internal
100738,100738,marmotor,1,bmw_buno_internal,internal
100739,100739,bernesga,2,bmw_buno_internal,internal
100764,100764,albamoción,2,bmw_buno_internal,internal
100765,100765,martin lizaga,1,bmw_buno_internal,internal
100813,100813,automotor costa,2,bmw_buno_internal,internal
100817,100817,oliva motor girona,3,bmw_buno_internal,internal
100819,100819,motri motor,1,bmw_buno_internal,internal
100873,100873,bymycar madrid,1,bmw_buno_internal,internal
100881,100881,movitransa,2,bmw_buno_internal,internal
100909,100909,quadis munich,6,bmw_buno_internal,internal
100917,100917,momentumnorte,3,bmw_buno_internal,internal
