brand,model,seg,sub,hp,body,fuel_detail
# Decisiones propias de clasificacion (maxima prioridad, sobreescribe todo).
# seg: UKL0/UKL1/UKL2/KKL/MKL/SKL/GKL/GKL+ | sub: FOCUS SEGMENT o REST
# hp: Standard/M/M Performance/JCW | body: SAV/SEDAN/ESTATE/HACH 5P/COUPE...
# Ejemplo: XPENG,G6,UKL2,FOCUS SEGMENT,Standard,SAV,Electrico
MAZDA,6E,MKL,REST,Standard,SEDAN,Electrico
PEUGEOT,E-2008 ALLURE ELECTRICO,UKL1,REST,Standard,SAV,Electrico
PEUGEOT,E-208,UKL1,REST,Standard,HACH 5P,Electrico
ALPINE,A110,KKL,REST,Standard,COUPE,Gasolina
ALPINE,A290,UKL1,REST,Standard,HACH 5P,Electrico
ALPINE,A390,KKL,REST,Standard,SEDAN,Electrico
TOYOTA,GR YARIS,UKL1,REST,Standard,HACH 3P,Gasolina
EVO,EVO 4,UKL1,REST,Standard,SAV,Gasolina
SUZUKI,E VITARA,UKL2,REST,Standard,SAV,Electrico
REHATRANS,CRAFTER,SKL,REST,Standard,TRANSPORTER,
REHATRANS,CRAFTER PMR,SKL,REST,Standard,TRANSPORTER,
DR,EVO,UKL1,REST,Standard,SAV,Gasolina
ABARTH,600E,UKL1,REST,Standard,SAV,Electrico
ASTON MARTIN,DBX707,GKL+,FOCUS SEGMENT,Standard,SAV,Gasolina
GWM,ORA 5 SUV,UKL2,REST,Standard,SAV,Electrico
GWM,ORA 5,UKL2,REST,Standard,SAV,Electrico
CIRELLI,CIRELLI 1,KKL,REST,Standard,SAV,Gasolina
YOOUDOOO,2 PRO,UKL2,REST,Standard,SAV,Gasolina
LEPAS,L8,MKL,REST,Standard,SAV,PHEV
ROLLS-ROYCE,BLACK EDGE CULLINAN,GKL+,FOCUS SEGMENT,Standard,SAV,Gasolina
ROLLS-ROYCE,BLACK BADGE CULLINAN,GKL+,FOCUS SEGMENT,Standard,SAV,Gasolina
ROLLS-ROYCE,CULLINAN,GKL+,FOCUS SEGMENT,Standard,SAV,Gasolina
ROLLS-ROYCE,WRAITH,GKL+,FOCUS SEGMENT,Standard,COUPE,Gasolina
ROLLS-ROYCE,BLAXK BADGE SPECTRE,GKL+,FOCUS SEGMENT,Standard,COUPE,Electrico
ROLLS-ROYCE,BLACK BADGE SPECTRE,GKL+,FOCUS SEGMENT,Standard,COUPE,Electrico
ROLLS-ROYCE,SPECTRE,GKL+,FOCUS SEGMENT,Standard,COUPE,Electrico
ROLLS-ROYCE,GHOST,GKL+,FOCUS SEGMENT,Standard,SEDAN,Gasolina
ROLLS-ROYCE,PHANTOM,GKL+,FOCUS SEGMENT,Standard,SEDAN,Gasolina
ROLLS-ROYCE,DAWN,GKL+,FOCUS SEGMENT,Standard,CABRIO,Gasolina
XPENG,P7+,KKL,FOCUS SEGMENT,Standard,SEDAN,Electrico
FERRARI,FERRARI F80,GKL+,FOCUS SEGMENT,Standard,COUPE,Gasolina
FERRARI,F80,GKL+,FOCUS SEGMENT,Standard,COUPE,Gasolina
FERRARI,FERRARI 849 TESTAROSSA,GKL+,FOCUS SEGMENT,Standard,COUPE,PHEV
FERRARI,849 TESTAROSSA,GKL+,FOCUS SEGMENT,Standard,COUPE,PHEV
