Provincia,Municipio,Concesin,Id_Concesin,Puntos_de_Venta,Id_Punto_de_Venta,Vol_historico
A CORUNA,Abegondo,Novomovil,100304.0,Novomovil (Ppal),100304.0,6.0
A CORUNA,Ames,Amiocar,100346.0,Amiocar,100346.0,21.0
A CORUNA,Ares,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,5.0
A CORUNA,Arteixo,Novomovil,100304.0,Novomovil (Ppal),100304.0,22.0
A CORUNA,Arzua,Amiocar,100346.0,Amiocar,100346.0,3.0
A CORUNA,Bana (A),Amiocar,100346.0,Amiocar,100346.0,6.0
A CORUNA,Bergondo,Novomovil,100304.0,Novomovil (Ppal),100304.0,22.0
A CORUNA,Betanzos,Novomovil,100304.0,Novomovil (Ppal),100304.0,19.0
A CORUNA,Boimorto,Amiocar,100346.0,Amiocar,100346.0,3.0
A CORUNA,Boiro,Amiocar,100346.0,Amiocar,100346.0,10.0
A CORUNA,Boqueixon,Amiocar,100346.0,Amiocar,100346.0,8.0
A CORUNA,Brion,Amiocar,100346.0,Amiocar,100346.0,14.0
A CORUNA,Cabana de Bergantinos,Novomovil,100304.0,Novomovil (Ppal),100304.0,4.0
A CORUNA,Cabanas,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,5.0
A CORUNA,Camarinas,Novomovil,100304.0,Novomovil (Ppal),100304.0,3.0
A CORUNA,Cambre,Novomovil,100304.0,Novomovil (Ppal),100304.0,44.0
A CORUNA,Capela (A),Novomovil,100304.0,Novomovil (El Ferrol),101304.0,1.0
A CORUNA,Carballo,Novomovil,100304.0,Novomovil (Ppal),100304.0,19.0
A CORUNA,Carnota,Amiocar,100346.0,Amiocar,100346.0,4.0
A CORUNA,Carral,Novomovil,100304.0,Novomovil (Ppal),100304.0,9.0
A CORUNA,Cedeira,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,2.0
A CORUNA,Cee,Amiocar,100346.0,Amiocar,100346.0,7.0
A CORUNA,Cerceda,Novomovil,100304.0,Novomovil (Ppal),100304.0,5.0
A CORUNA,Cerdido,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,2.0
A CORUNA,Coiros,Novomovil,100304.0,Novomovil (Ppal),100304.0,5.0
A CORUNA,Corcubion,Amiocar,100346.0,Amiocar,100346.0,2.0
A CORUNA,Coristanco,Novomovil,100304.0,Novomovil (Ppal),100304.0,6.0
A CORUNA,Coruna (A),Novomovil,100304.0,Novomovil (Ppal),100304.0,294.0
A CORUNA,Culleredo,Novomovil,100304.0,Novomovil (Ppal),100304.0,38.0
A CORUNA,Curtis,Novomovil,100304.0,Novomovil (Ppal),100304.0,4.0
A CORUNA,Dodro,Amiocar,100346.0,Amiocar,100346.0,1.0
A CORUNA,Dumbria,Amiocar,100346.0,Amiocar,100346.0,5.0
A CORUNA,Fene,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,9.0
A CORUNA,Ferrol,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,36.0
A CORUNA,Fisterra,Amiocar,100346.0,Amiocar,100346.0,2.0
A CORUNA,Irixoa,Novomovil,100304.0,Novomovil (Ppal),100304.0,4.0
A CORUNA,Laracha (A),Novomovil,100304.0,Novomovil (Ppal),100304.0,7.0
A CORUNA,Laxe,Novomovil,100304.0,Novomovil (Ppal),100304.0,1.0
A CORUNA,Lousame,Amiocar,100346.0,Amiocar,100346.0,1.0
A CORUNA,Manon,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,4.0
A CORUNA,Mazaricos,Amiocar,100346.0,Amiocar,100346.0,8.0
A CORUNA,Melide,Amiocar,100346.0,Amiocar,100346.0,7.0
A CORUNA,Mesia,Novomovil,100304.0,Novomovil (Ppal),100304.0,3.0
A CORUNA,Mino,Novomovil,100304.0,Novomovil (Ppal),100304.0,10.0
A CORUNA,Mugardos,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,6.0
A CORUNA,Muros,Amiocar,100346.0,Amiocar,100346.0,3.0
A CORUNA,Muxia,Amiocar,100346.0,Amiocar,100346.0,1.0
A CORUNA,Naron,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,26.0
A CORUNA,Neda,Novomovil,100304.0,Novomovil (El Ferrol),101304.0,6.0
A CORUNA,Negreira,Amiocar,100346.0,Amiocar,100346.0,3.0
A CORUNA,Noia,Amiocar,100346.0,Amiocar,100346.0,11.0
A CORUNA,Oleiros,Novomovil,100304.0,Novomovil (Ppal),100304.0,293.0
A CORUNA,Ordes,Amiocar,100346.0,Amiocar,100346.0,6.0
