brand,dealer_id,dealer_name,point_of_sale,point_of_sale_id,address,postcode,city,province,latitude,longitude,source_kind,source_confidence,source_url,retrieved_date
Abarth,osm:node:6532197460,Abarth,Abarth,osm:node:6532197460,,,,,39.6099416,2.6667936,openstreetmap_name_match,community,https://www.openstreetmap.org/node/6532197460,2026-07-21
Abarth,osm:node:6721612213,Abarth,Abarth,osm:node:6721612213,Avenida de Carlos Sainz 51,,Leganés,,40.3139987,-3.7732953,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/6721612213,2026-07-21
Abarth,osm:node:13920803512,Eslauto,Eslauto,osm:node:13920803512,,,,,42.5793018,-5.5484732,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/13920803512,2026-07-21
Abarth,osm:node:4707065797,Lamsauto,Lamsauto,osm:node:4707065797,Carrer Pol. Ind. Camí dels Frares 67,,,,41.6149446,0.6691229,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/4707065797,2026-07-21
Abarth,osm:way:174585896,Moll Autos,Moll Autos,osm:way:174585896,,,,,38.8368530,0.0864045,openstreetmap_brand_tag,community,https://www.openstreetmap.org/way/174585896,2026-07-21
Abarth,osm:relation:15839965,Eslauto,Eslauto,osm:relation:15839965,Avenida de Madrid 83,24005,León,,42.5797405,-5.5484766,openstreetmap_brand_tag,community,https://www.openstreetmap.org/relation/15839965,2026-07-21
Abarth,osm:node:13519666525,Mibec Ocasió,Mibec Ocasió,osm:node:13519666525,Polígon Industrial les Canals 8,25190,Lleida,,41.6176276,0.6810015,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/13519666525,2026-07-21
Abarth,osm:node:13519668775,Lleida Car,Lleida Car,osm:node:13519668775,Carrer d'Alcarràs 40,25191,Lleida,,41.6137299,0.6677358,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/13519668775,2026-07-21
Abarth,osm:node:2592647556,Blendio Auto Gomas,Blendio Auto Gomas,osm:node:2592647556,Avenida de Parayas,39011,Santander,,43.4498179,-3.8307536,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/2592647556,2026-07-21
Alfa Romeo,osm:node:4474061813,Alfa Romeo,Alfa Romeo,osm:node:4474061813,,,,,43.3013106,-2.9993702,openstreetmap_brand_tag,community,https://www.openstreetmap.org/node/4474061813,2026-07-21
