brand,variante,modelo,seg,concept,cn_raw
ABARTH,0AEB0000A0,500,UKL0,CABRIO,500
ABARTH,1AEB0000A0,500,UKL0,CABRIO,500
ABARTH,2AEB0000A0,600E,,,600E
ALFA ROMEO,0ADT416AA3,TONALE,UKL2,SAV,TONALE
ALFA ROMEO,0AGT415AA4,TONALE,UKL2,SAV,TONALE
ALFA ROMEO,0APA413BC6,TONALE,UKL2,SAV,TONALE
ALFA ROMEO,3AEA0000A0,JUNIOR,UKL1,SAV,ALFA ROMEO JUNIOR
ALFA ROMEO,3AEB0000A0,JUNIOR,UKL1,SAV,ALFA ROMEO JUNIOR
ALFA ROMEO,3AGT312AA3,JUNIOR,UKL1,SAV,ALFA ROMEO JUNIOR
ALFA ROMEO,3AGT312AB3,JUNIOR,UKL1,SAV,ALFA ROMEO JUNIOR
ALFA ROMEO,ACA4,GIULIA,KKL,SEDAN,GIULIA
ALFA ROMEO,AUA4,GIULIA,KKL,SEDAN,GIULIA
ALFA ROMEO,AWA2,GIULIA,KKL,SEDAN,GIULIA
ALFA ROMEO,AXA2,GIULIA,KKL,SEDAN,GIULIA QUADRIFOGLIO VERDE
ALFA ROMEO,AXA2A,STELVIO,KKL,SAV,STELVIO
ALFA ROMEO,AXS2A,STELVIO,KKL,SAV,STELVIO QUADRIFOGLIO
ALFA ROMEO,AXT2A,STELVIO,KKL,SAV,STELVIO
ALFA ROMEO,AXW1A,STELVIO,KKL,SAV,STELVIO
ALPINE,ABE,A290,UKL1,HATCH,A290
ALPINE,DF2,A110,KKL,COUPE,A110
ASTON MARTIN,A,DB12,,,DB12
ASTON MARTIN,B,DB12,,,DB12 VOLANTE
ASTON MARTIN,C,VANTAGE,,,VANTAGE
ASTON MARTIN,G,DBX707,,,DBX707
AUDI,A2DECAQ1,RS,,,RS 4 AVANT
AUDI,A2DECCQ1,RS,,,RS 4 AVANT
AUDI,A2DMKCQ1,S4 AVANT,,,S4 AVANT
AUDI,A2DMSAF1,A4,KKL,CABRIO,A4 AVANT
AUDI,A2DTNAF1,A4,KKL,CABRIO,A4 AVANT
AUDI,A2DTNBF1,A4,KKL,CABRIO,A4 AVANT
AUDI,A2DWVAQ1,S5 AVANT,,,S5 AVANT
AUDI,A2DWZAF1,A5,KKL,CABRIO,A5 AVANT
AUDI,A2DWZBF1,A5,KKL,CABRIO,A5 AVANT
AUDI,A2DYVAQ1,A5,KKL,CABRIO,A5 AVANT 220KW TFSI E
AUDI,A2DYYAF1,A5,KKL,CABRIO,A5 AVANT
AUDI,A2DYYAQ1,A5,KKL,CABRIO,A5 AVANT
AUDI,A3DYVAQ2,A6,MKL,SEDAN,A6 AVANT 220KW TFSI E
AUDI,A3DYYAF1,A6,MKL,SEDAN,AUDI A6 AVANT
AUDI,A3DYYAQ1,A6,MKL,SEDAN,AUDI A6 AVANT
AUDI,A3DYYAQ2,A6,MKL,SEDAN,AUDI A6 AVANT
AUDI,ABD7PCH1,A6,MKL,SEDAN,A6 AV E-TRON
AUDI,ABM19AQ1,A6,MKL,SEDAN,A6 AV E-TRON QUATTRO
AUDI,ABM21AH1,A6,MKL,SEDAN,A6 AV E-TRON PERFORMANCE
AUDI,ABMQ3BQ1,S6 AV E-TRON,,,S6 AV E-TRON
AUDI,ADMGHQ1,A6,MKL,SEDAN,A6 AVANT
AUDI,ADMKDQ1,S6 AVANT,,,S6 AVANT
AUDI,ADMKDQ2,S6 AVANT,,,S6 AVANT
AUDI,ADMTAQ1,A6,MKL,SEDAN,A6 AVANT
AUDI,ADRYAQ1,A6,MKL,SEDAN,A6 AVANT 50 TFSI E
AUDI,ADTPAF1,A6,MKL,SEDAN,A6 AVANT
AUDI,ADTPAQ1,A6,MKL,SEDAN,A6 AVANT
AUDI,ADYGAQ2,RS,,,RS 6 AVANT
AUDI,ADYGBQ1,RS,,,RS 6 AVANT
AUDI,ADYGBQ2,RS,,,RS 6 AVANT
AUDI,C2DTPAF1,A5,KKL,CABRIO,A5 COUPE
AUDI,CDMWAQ1,R8,GKL,COUPE,R8 COUPE
AUDI,GCZSEQ2,A8,GKL,SEDAN,A8
AUDI,GDMGKQ1,A8,GKL,SEDAN,A8
AUDI,H2DTPAQ1,A4 ALLROAD,,,A4 ALLROAD QUATTRO
AUDI,HDLZAQ1,A6 ALLROAD,,,A6 ALLROAD QUATTRO
AUDI,HDMGAQ1,A6 ALLROAD,,,A6 ALLROAD QUATTRO
AUDI,HDMGHQ1,A6 ALLROAD,,,A6 ALLROAD QUATTRO
AUDI,HDNNEQ1,A3,UKL2,HATCH,A3 ALLSTREET
AUDI,HDTPAQ1,A6 ALLROAD,,,A6 ALLROAD QUATTRO
AUDI,HDUCBF1,A3,UKL2,HATCH,A3 ALLSTREET PHEV 150
AUDI,HDUSAF1,A1,UKL1,HATCH,A1 ALLSTREET
AUDI,HDUSBF1,A1,UKL1,HATCH,A1 ALLSTREET
AUDI,HDXDBF1,A3,UKL2,HATCH,A3 ALLSTREET
AUDI,HDXPAF1,A3,UKL2,HATCH,A3 ALLSTREET
AUDI,K2DMSAF1,A5,KKL,CABRIO,A5 CABRIOLET
AUDI,K2DTNAF1,A5,KKL,CABRIO,A5 CABRIOLET
AUDI,L2DTNAF1,A4,KKL,CABRIO,A4 LIMOUSINE
AUDI,L2DTNBF1,A4,KKL,CABRIO,A4 LIMOUSINE
AUDI,L3DYVAQ2,A6,MKL,SEDAN,A6 LIM 220KW TFSI E
AUDI,L3DYYAF1,A6,MKL,SEDAN,AUDI A6 LIMOUSINE
AUDI,L3DYYAQ1,A6,MKL,SEDAN,AUDI A6 LIMOUSINE
AUDI,L3DYYAQ2,A6,MKL,SEDAN,AUDI A6 LIMOUSINE
AUDI,LCZSEQ1,A8,GKL,SEDAN,A8
AUDI,LCZSEQ2,A8,GKL,SEDAN,A8
AUDI,LDFYAF1,A3,UKL2,HATCH,A3 LIMOUSINE
AUDI,LDMGHQ1,A6,MKL,SEDAN,A6 LIMOUSINE
AUDI,LDMGKQ1,A8,GKL,SEDAN,A8
AUDI,LDMGKQ2,A8,GKL,SEDAN,A8
