Mk,Va,Ve,Cn,Ft,count
ABARTH,0AEB0000A0,0D2A0,500,electric,8
ABARTH,0AEB0000A0,0E2A000B,500,electric,9
ABARTH,1AEB0000A0,0D2A0,500,electric,1
ABARTH,1AEB0000A0,0E2A000B,500,electric,11
ABARTH,2AEB0000A0,5EAANN2N5B,600E,electric,6
ALFA ROMEO,0ADT416AA3,1DAA1C,TONALE,diesel,11
ALFA ROMEO,0ADT416AA3,1DAA1D,TONALE,diesel,2
ALFA ROMEO,0ADT416AA3,1EAA1D,TONALE,diesel,4
ALFA ROMEO,0ADT416AA3,1EAA1DB,TONALE,diesel,200
ALFA ROMEO,0ADT416AA3,1EAA1FB,TONALE,diesel,93
ALFA ROMEO,0AGT415AA4,1D4A1A,TONALE,petrol,20
ALFA ROMEO,0AGT415AA4,1EAA1BB,TONALE,petrol,11
ALFA ROMEO,0AGT415AA4,1EAA1EB,TONALE,petrol,4
ALFA ROMEO,0AGT415AA4,2BAM1BB,TONALE,petrol,1
ALFA ROMEO,0AGT415AA4,2D4A1B,TONALE,petrol,23
ALFA ROMEO,0AGT415AA4,2EAA1B,TONALE,petrol,6
ALFA ROMEO,0AGT415AA4,2EAA1BB,TONALE,petrol,52
ALFA ROMEO,0AGT415AA4,2EAA1EB,TONALE,petrol,26
ALFA ROMEO,0APA413BC6,3D4A1N,TONALE,petrol/electric,5
ALFA ROMEO,0APA413BC6,3DAA1N,TONALE,petrol/electric,2
ALFA ROMEO,0APA413BC6,3EAA1NB,TONALE,petrol/electric,41
ALFA ROMEO,0APA413BC6,6BAM1NB,TONALE,petrol/electric,1
ALFA ROMEO,3AEA0000A0,2EAANN1N5B,ALFA ROMEO JUNIOR,electric,126
ALFA ROMEO,3AEB0000A0,5EAANN2N5B,ALFA ROMEO JUNIOR,electric,7
ALFA ROMEO,3AGT312AA3,4EAANA115B,ALFA ROMEO JUNIOR,petrol,489
ALFA ROMEO,3AGT312AA3,4EAANF115B,ALFA ROMEO JUNIOR,petrol,250
ALFA ROMEO,3AGT312AA3,4EAANG115B,ALFA ROMEO JUNIOR,petrol,279
ALFA ROMEO,3AGT312AA3,4EAANM115B,ALFA ROMEO JUNIOR,petrol,209
ALFA ROMEO,3AGT312AA3,4FAANF115B,ALFA ROMEO JUNIOR,petrol,9
ALFA ROMEO,3AGT312AA3,4FAANG115B,ALFA ROMEO JUNIOR,petrol,224
ALFA ROMEO,3AGT312AA3,4FAANM115B,ALFA ROMEO JUNIOR,petrol,697
ALFA ROMEO,3AGT312AB3,4FAANF115B,ALFA ROMEO JUNIOR,petrol,33
ALFA ROMEO,ACA4,MDCA25CG,GIULIA,petrol,49
ALFA ROMEO,AUA4,MACA25CG,GIULIA,diesel,19
ALFA ROMEO,AWA2,MCCA25C,GIULIA,diesel,1
ALFA ROMEO,AWA2,MCCA25CG,GIULIA,diesel,5
ALFA ROMEO,AXA2,DHBA15LG,GIULIA QUADRIFOGLIO VERDE,petrol,4
ALFA ROMEO,AXA2,DHBA15LH,GIULIA QUADRIFOGLIO VERDE,petrol,7
ALFA ROMEO,AXA2A,MDCA1CG,STELVIO,petrol,71
ALFA ROMEO,AXA2A,MDCA2CG,STELVIO,petrol,17
ALFA ROMEO,AXS2A,DHBANLG,STELVIO QUADRIFOGLIO,petrol,1
ALFA ROMEO,AXS2A,DHBANLH,STELVIO QUADRIFOGLIO,petrol,4
ALFA ROMEO,AXT2A,MABA2C,STELVIO,diesel,3
ALFA ROMEO,AXT2A,MACA2C,STELVIO,diesel,3
ALFA ROMEO,AXT2A,MACA2CG,STELVIO,diesel,263
ALFA ROMEO,AXW1A,MCBA1C,STELVIO,diesel,2
ALFA ROMEO,AXW1A,MCCA1CG,STELVIO,diesel,10
ALPINE,ABE,J1BEA2B50000,A290,electric,257
ALPINE,ABE,J7BEA2B50000,A290,electric,114
ALPINE,DF2,AMD1WB21000E,A110,petrol,4
ALPINE,DF2,AMF1WB22000E,A110,petrol,1
ALPINE,DF2,AMF1WB220A0E,A110,petrol,13
ALPINE,DF2,AMF1WB220B0E,A110,petrol,9
ALPINE,DF2,BMF1WB230C0E,A110R,petrol,9
ALPINE,DF2,MDBUA2810001,A110,petrol,1
ALPINE,DF2,MFBUA2910001,A110,petrol,2
ALPINE,DF2,MFBUA2910A01,A110,petrol,3
ALPINE,DF2,MFBUA2910B01,A110,petrol,2
ALPINE,DF2,MFBUA2910C01,A110,petrol,1
ASTON MARTIN,A,011L2VAFI614.1,VANQUISH,petrol,2
ASTON MARTIN,A,013L2VAFI614.1,VANQUISH,petrol,3
ASTON MARTIN,A,015L2VAFI614.1,VANQUISH,petrol,1
ASTON MARTIN,A,017L2VAFI614.1,VANQUISH,petrol,1
ASTON MARTIN,A,059L4WAEM500.0,DB12,petrol,16
ASTON MARTIN,B,011L2WAEM489.0,VANTAGE ROADSTER,petrol,3
ASTON MARTIN,B,059L4WAEM500.0,DB12 VOLANTE,petrol,7
ASTON MARTIN,B,101L2C,VANTAGE S ROADSTER,petrol,1
ASTON MARTIN,C,011L2WAEM489.0,VANTAGE,petrol,16
ASTON MARTIN,G,012L5WAGL520.0,DBX707,petrol,5
