tipo,marca_dgt,empresa,nif,cnae,municipio,cod_municipio,provincia,notas
importador,TOYOTA,Toyota España SL,B80419922,4511,Alcobendas,28006,Madrid,Importador y distribuidor oficial Toyota en España
importador,TOYOTA,Toyota Logistics Services España SL,B83551267,5229,Alcobendas,28006,Madrid,Logística/distribución Toyota
importador,TOYOTA,KINTO España SL,B88456520,7711,Alcobendas,28006,Madrid,Renting/movilidad Toyota Group
importador,LEXUS,Toyota España SL,B80419922,4511,Alcobendas,28006,Madrid,Lexus distribuido también por Toyota España
importador,BMW,BMW Ibérica SA,A28713642,4511,Madrid,,Madrid,Importador y distribuidor BMW y MINI España
importador,MINI,BMW Ibérica SA,A28713642,4511,Madrid,,Madrid,MINI distribuido por BMW Ibérica
importador,MERCEDES-BENZ,Mercedes-Benz España SA,A79380465,4511,Madrid,,Madrid,Importador y distribuidor Mercedes-Benz España
importador,VOLKSWAGEN,Volkswagen Group España Distribución SA,A60198512,4511,Barcelona,,Barcelona,Importador VW/Audi/SEAT/SKODA/Porsche en España
importador,AUDI,Volkswagen Group España Distribución SA,A60198512,4511,Barcelona,,Barcelona,
importador,SKODA,Volkswagen Group España Distribución SA,A60198512,4511,Barcelona,,Barcelona,Campa VW Group en Navacerrada (28093)
importador,PORSCHE,Volkswagen Group España Distribución SA,A60198512,4511,Barcelona,,Barcelona,
importador,SEAT,SEAT SA,A28049161,2910,Martorell,08760,Barcelona,Fabricante SEAT España (Martorell)
importador,SEAT,SEAT Motor España SA,A08924599,4511,Barcelona,,Barcelona,Distribución SEAT en España
importador,CUPRA,SEAT SA,A28049161,2910,Martorell,08760,Barcelona,CUPRA es filial de SEAT SA
importador,PEUGEOT,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,Excomercial Citroën; distribuidor Peugeot/Citroën/DS/Opel/Alfa Romeo/Jeep/Fiat/Lancia
importador,CITROËN,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
importador,DS,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
importador,OPEL,Stellantis & You España SA,A28278026,4511,Madrid,,Madrid,
