BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
NISSAN-DONGFENG,NISSAN-DONGFENG TEANA,TEANA,F5TE,2088.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LAND ROVER,LAND ROVER DEFENDER,DEFENDER,LRDF,2029.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
GREAT WALL,GREAT WALL HAVAL DARGO,HAVAL DARGO,GBHD,2026.0,SUV,BASE,REST,UKL2,SAV,SAV
GUANGZHOU AUTO,GUANGZHOU AUTO XIANGWANG M8,XIANGWANG M8,GW!2,2025.0,MPV,BASE,REST,MKL,MPV,MPV
DEEPAL,DEEPAL E07,E07,3H09,2025.0,SUV,BASE,REST,MKL,SAV,SAV
GUANGZHOU AUTO,GUANGZHOU AUTO S7,S7,GW00,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ICH-X,ICH-X K3,K3,3X!!,2025.0,SUV,BASE,REST,MKL,SUV,SUV
DACIA,DACIA BIGSTER,BIGSTER,DCBG,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BUICK-SHANGHAI,BUICK-SHANGHAI GL8 LS,GL8 LS,QK!$,2025.0,MPV,BASE,REST,MKL,MPV,MPV
CITROEN,CITROEN C5 AIRCROSS,C5 AIRCROSS,CI5A,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BESTURN,BESTURN YUEYI 07,YUEYI 07,ES!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NIO,NIO ET9,ET9,7500,2025.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
AITO,AITO M8,M8,3706,2025.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
BMW,BMW 2-SERIES GRAN COUPE,2-SERIES GRAN COUPE,BM2C,2025.0,COUPE,PREMIUM,TRAD. COMP.,UKL2,SEDAN,4DR COUPE
TOYOTA,TOYOTA URBAN CRUISER,URBAN CRUISER,TO1Y,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
TIGER,TIGER SIX,SIX,$F!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
TESLA,TESLA MODEL Y,MODEL Y,TKEC,2025.0,SUV,PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
TENAX,TENAX V35,V35,$J!$,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
TENAX,TENAX C35,C35,$J!!,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AUDI,AUDI A6,A6,AU6A,2025.0,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
SKODA,SKODA ELROQ,ELROQ,SKEL,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
JETOUR,JETOUR DASHING,DASHING,5J!5,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
FERRARI,FERRARI F80,F80,FR!$,2025.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
HONDA,HONDA PASSPORT,PASSPORT,HOPP,2025.0,SUV,BASE,REST,KKL,SUV,SUV
VOLKSWAGEN,VOLKSWAGEN TIGUAN,TIGUAN,VWGS,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
VOLKSWAGEN,VOLKSWAGEN TERA,TERA,VW0D,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
VOLKSWAGEN,VOLKSWAGEN TAYRON,TAYRON,VWT0,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
FANGCHENGBAO,FANGCHENGBAO TAI 3,TAI 3,0T03,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
