BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
NISSAN-DONGFENG,TEANA,F5TE,2088.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LAND ROVER,DEFENDER,LRDF,2029.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
GREAT WALL,HAVAL DARGO,GBHD,2026.0,SUV,BASE,REST,UKL2,SAV,SAV
GUANGZHOU AUTO,XIANGWANG M8,GW!2,2025.0,MPV,BASE,REST,MKL,MPV,MPV
DEEPAL,E07,3H09,2025.0,SUV,BASE,REST,MKL,SAV,SAV
GUANGZHOU AUTO,S7,GW00,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ICH-X,K3,3X!!,2025.0,SUV,BASE,REST,MKL,SUV,SUV
DACIA,BIGSTER,DCBG,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BUICK-SHANGHAI,GL8 LS,QK!$,2025.0,MPV,BASE,REST,MKL,MPV,MPV
CITROEN,C5 AIRCROSS,CI5A,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BESTURN,YUEYI 07,ES!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NIO,ET9,7500,2025.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
AITO,M8,3706,2025.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
BMW,2-SERIES GRAN COUPE,BM2C,2025.0,COUPE,PREMIUM,TRAD. COMP.,UKL2,SEDAN,4DR COUPE
TOYOTA,URBAN CRUISER,TO1Y,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
TIGER,SIX,$F!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
TESLA,MODEL Y,TKEC,2025.0,SUV,PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
TENAX,V35,$J!$,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
TENAX,C35,$J!!,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AUDI,A6,AU6A,2025.0,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
SKODA,ELROQ,SKEL,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
JETOUR,DASHING,5J!5,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
FERRARI,F80,FR!$,2025.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
HONDA,PASSPORT,HOPP,2025.0,SUV,BASE,REST,KKL,SUV,SUV
VOLKSWAGEN,TIGUAN,VWGS,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
VOLKSWAGEN,TERA,VW0D,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
VOLKSWAGEN,TAYRON,VWT0,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
FANGCHENGBAO,TAI 3,0T03,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
SOLLERS,ARGO,0701,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOUEAST,S06,YD!@,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
HONDA-DONGFENG,S7,Q40C,2025.0,SUV,BASE,REST,MKL,SAV,SAV
DONGFENG,EC75,QD!L,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
DEEPAL,S09,3H05,2025.0,SUV,BASE,REST,GKL,SAV,SAV
HONDA-GUANGZHOU,P7,WK0D,2025.0,SUV,BASE,REST,MKL,SAV,SAV
TOYOTA-GUANGZHOU,BZ3X,WD05,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
