brand,version_dgt,model,segment,subsegment,high_perf,body_type,fuel,fuel_type
ABARTH,500E 42KWH 113KW,500,UKL0,REST,Standard,CABRIO,Electrico,BEV
ABARTH,500E 42KWH 113KW (154CV),500,UKL0,REST,Standard,HACH 3P,Electrico,BEV
ABARTH,500E 42KWH 113KW (154CV) SCORP,500,UKL0,REST,Standard,HACH 3P,Electrico,BEV
ABARTH,500E 42KWH 113KW (154CV) TURIS,500,UKL0,REST,Standard,HACH 3P,Electrico,BEV
ABARTH,500E 42KWH 113KW TURISMO LIGHT,500,UKL0,REST,Standard,CABRIO,Electrico,BEV
ABARTH,500E SCORPIONISSIMA 42KWH 113K,500,UKL0,REST,Standard,CABRIO,Electrico,BEV
ABARTH,500E TURISMO 42KWH 113KW,500,UKL0,REST,Standard,CABRIO,Electrico,BEV
ABARTH,595 1.4 16V T-JET 121KW (165CV,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,595 COMPETIZIONE 1.4 16V T-JET,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,595 ESSEESSE 1.4 16V T-JET 132,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,595 MONSTER EN YAM 1.4 16V T-J,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,595 TURISMO 1.4 16V T-JET 121K,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,595C COMPETIZIONE 1.4 16V T-JE,500,UKL0,REST,Standard,CABRIO,Gasolina,ICE
ABARTH,595C ESSEESSE 1.4 16V T-JET 13,500,UKL0,REST,Standard,CABRIO,Gasolina,ICE
ABARTH,595C MONSTER EN YA 1.4 16V T-J,500,UKL0,REST,Standard,CABRIO,Gasolina,ICE
ABARTH,595C TURISMO 1.4 16V T-JET 121,500,UKL0,REST,Standard,CABRIO,Gasolina,ICE
ABARTH,600E 175KW (240CV) SCORPIONISS,600,UKL1,REST,Standard,SAV,Electrico,BEV
ABARTH,695 1.4 16V T-JET 132KW (180CV,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,695 70TH ANN 1.4 16V T-JET 132,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,695 ESSEESSE 1.4 16V T-JET 132,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,F595 1.4 16V T-JET 121KW (165C,500,UKL0,REST,Standard,HACH 3P,Gasolina,ICE
ABARTH,F595C 1.4 16V T-JET 121KW (165,500,UKL0,REST,Standard,CABRIO,Gasolina,ICE
AIWAYS,U5 PREMIUM,U5,UKL2,REST,Standard,SAV,Electrico,BEV
AIWAYS,U5 PRIME,U5,UKL2,REST,Standard,SAV,Electrico,BEV
AIWAYS,U6 PRIME,U6,UKL2,REST,Standard,SAV,Electrico,BEV
ALFA ROMEO,1.6 JTD 120CV SUPER,GIULIETTA,UKL2,REST,Standard,HACH 5P,Diesel,ICE
ALFA ROMEO,2.0 200CV AT8 Q4 SPRINT PLUS,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 280CV AT8 Q4 TI,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 GASOLINA 200CV SPRINT AT,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 GASOLINA 280CV VELOCE AT Q,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 200CV TI AT RWD,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 206CV TI AT RWD,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV COMPETIZIONE ,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV INTENSA AWD,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV TI Q4,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV TRIBUTO ITALI,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV VELOCE AWD,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280 CV VELOCE Q4,STELVIO,KKL,REST,Standard,SAV,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280CV COMPETIZIONE A,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280CV SUPER AT AWD,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280CV TRIBUTO ITALIA,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
ALFA ROMEO,2.0 TURBO 280CV VELOCE AT AWD,GIULIA,KKL,REST,Standard,SEDAN,Gasolina,ICE
