Mk,Va,Ve,Cn
DACIA,BEV,MT6WA45M520B,SANDERO
PEUGEOT,P,HNEK-K1T500,208 5P ALLURE GASOLINA 100 SS 6 VEL. MAN
KIA,C5P11,D61AY1,NIRO
HYUNDAI,F5P42,D61CY1,KONA
OPEL,P,HNEK-Y1T500,CORSA GS 1.2T XHL MT6 S S 100 CV (74KW)
MG,AB1PA,INAM5LFPAA,MG ZS
OMODA,DPL4BL,51E34CA,OMODA5
DACIA,BES,MT5WA4LM520B,SANDERO
RENAULT,BD2,AC6WA2SA500B,CLIO
RENAULT,HE2,MT6WB25A500B,CAPTUR
KIA,C5P61,M6BDZ1,STONIC
PEUGEOT,S,HPY5-S1NN00,2008 ALLURE HYBRID 145 EDCS6
DACIA,BEV,MT6WA45M5D0B,SANDERO
SEAT,BDUSA,FM6SFM6AJ0264WE21AAE,IBIZA
MG,AB1NA,CAAA5LFPBC,MG ZS
RENAULT,BG2,MT6WA3JA520B,CLIO
HYUNDAI,F5P41,A61B11,TUCSON
BYD,MH2F1C,4AZH5E2K4SL2,BYD SEAL U DM-I
KIA,F5P41,A61B11,SPORTAGE
FORD,BGDA1FX,553DNNBFSAS,KUGA
PEUGEOT,S,HNKK-S1G500,2008 ALLURE GASOLINA 100 SS 6 VEL. MAN
NISSAN,A,A35,NISSAN QASHQAI
TESLA,H6MR,BFB1S5T1W,MODEL 3
MG,AB1OA,EABA5LFPAB,MG HS
JAECOO,DHL4BL,50E041A,JAECOO7 PHEV
RENAULT,HH2,N44WB22A500B,CAPTUR E-TECH HYBRID
TOYOTA,MXPJ11(H),MXPJ11L-BHXGBW(1F),TOYOTA YARIS CROSS
SKODA,ABDUSBX0,NFM5FM5DF0074VN3N1A1A,FABIA
TOYOTA,MXPJ11(H),MXPJ11L-BHXGBW(3E),TOYOTA YARIS CROSS
HYUNDAI,B5P51,M62CZ1,I20
HYUNDAI,F5P81,M61A11,TUCSON
DACIA,PG2,MW6WB21M500B,DUSTER
SEAT,XDUSA,FM6SFM6AJ0284WE21AAF,ARONA
RENAULT,DH2,N44WB32A500B,SYMBIOZ
NISSAN,A,A41,NISSAN QASHQAI
