Mk,Va,Cn_va
ABARTH,1AEB0000A0,500
ABARTH,2AEB0000A0,600E
ALFA ROMEO,0APA413BC6,TONALE
ALFA ROMEO,3AEA0000A0,ALFA ROMEO JUNIOR
ALFA ROMEO,3AEB0000A0,ALFA ROMEO JUNIOR
ALFA ROMEO,3AGT312AB3,ALFA ROMEO JUNIOR
ALFA ROMEO,ACA4,GIULIA
ALFA ROMEO,AUA4,GIULIA
ALFA ROMEO,AWA2,GIULIA
ALFA ROMEO,AXA2A,STELVIO
ALFA ROMEO,AXS2A,STELVIO QUADRIFOGLIO
ALFA ROMEO,AXT2A,STELVIO
ALFA ROMEO,AXW1A,STELVIO
ASTON MARTIN,C,VANTAGE
ASTON MARTIN,G,DBX707
AUDI,A2DECAQ1,RS 4 AVANT
AUDI,A2DECCQ1,RS 4 AVANT
AUDI,A2DMKCQ1,S4 AVANT
AUDI,A2DMSAF1,A4 AVANT
AUDI,A2DTNBF1,A4 AVANT
AUDI,ABM21AH1,A6 AV E-TRON PERFORMANCE
AUDI,ABMQ3BQ1,S6 AV E-TRON
AUDI,ADMGHQ1,A6 AVANT
AUDI,ADMKDQ1,S6 AVANT
AUDI,ADYGBQ1,RS 6 AVANT
AUDI,ADYGBQ2,RS 6 AVANT
AUDI,C2DTPAF1,A5 COUPE
AUDI,CDMWAQ1,R8 COUPE
AUDI,GDMGKQ1,A8
AUDI,H2DTPAQ1,A4 ALLROAD QUATTRO
AUDI,HDLZAQ1,A6 ALLROAD QUATTRO
AUDI,HDNNEQ1,A3 ALLSTREET
AUDI,HDTPAQ1,A6 ALLROAD QUATTRO
AUDI,HDUCBF1,A3 ALLSTREET PHEV 150
AUDI,K2DMSAF1,A5 CABRIOLET
AUDI,K2DTNAF1,A5 CABRIOLET
AUDI,L2DTNAF1,A4 LIMOUSINE
AUDI,L2DTNBF1,A4 LIMOUSINE
AUDI,LDFYAF1,A3 LIMOUSINE
AUDI,LDMGKQ1,A8
AUDI,LDRYAQ1,A6 50 TFSI E
AUDI,S2DECAQ1,RS 5 SPORTBACK
AUDI,S2DECCQ1,RS 5 SPORTBACK
AUDI,S2DMKCQ1,S5 SPORTBACK
AUDI,S2DMTAQ1,A5 SPORTBACK
AUDI,S2DTNAF1,A5 SPORTBACK
AUDI,S2DTPAF1,A5 SPORTBACK
AUDI,S2DTPAQ1,A5 SPORTBACK
AUDI,S2DWZBQ1,A5 LIMOUSINE
AUDI,S2DXABF1,AUDI Q5 SB
AUDI,SBD2VQ2,E-TRON GT
AUDI,SBD7PAH1,Q4 SPORTBACK 45 E-TRON
AUDI,SBD7PBQ1,Q4 SPORTBACK 45 E-TRON
AUDI,SBL1FAH1,Q4 SPORTBACK 40 E-TRON
AUDI,SBL1FH1,Q4 SPORTBACK 40 E-TRON
AUDI,SBL1IAQ1,Q8 SPORTBACK 50 E-TRON
AUDI,SBL1NAQ1,SQ6 SB E-TRON
AUDI,SBL1WQ1,RS E-TRON GT
AUDI,SBM0CAQ1,S E-TRON GT
AUDI,SBM19AQ1,A6 SB E-TRON QUATTRO
AUDI,SBM1JAQ1,Q8 SPORTBACK 55 E-TRON
AUDI,SBMD2AQ2,RS E-TRON GT PERFORMANCE
AUDI,SBMQ3AQ1,SQ8 SPORTBACK E-TRON
AUDI,SBMQ3BQ1,S6 SB E-TRON
AUDI,SBMQ3CQ1,E-TRON GT
AUDI,SBMQ3CQ2,E-TRON GT
