dealer_name,point_of_sale,address,postcode,city,province,source_url
Vera Import,"Vera Import, Almería","Ctra. Almería - Murcía, s/n, 04620, Vera, Almería",04620,Vera,Almería,https://www.audi.es/es/compra/buscador-de-concesionarios/almeria/vera-import/
Solera Motor,"Solera Motor, Càdiz","Ctra. N - IV, km 635, 11407, Jerez de la Frontera, Cádiz",11407,Jerez de la Frontera,Cádiz,https://www.audi.es/es/compra/buscador-de-concesionarios/cadiz/solera-motor/
Safamotor Córdoba,Safamotor Córdoba,"Pol. Ind. Las Quemadas, Poligono Industrial Las Quemadas, Parcelas 13 y 16, 14014 Córdoba",14014,Córdoba,Córdoba,https://www.audi.es/es/compra/buscador-de-concesionarios/cordoba/safamotor-cordoba/
Huelva Wagen,"Huelva Wagen, Huelva","Avenida las Veredas, 12-14, 21007 Huelva",21007,Huelva,Huelva,https://www.audi.es/es/compra/buscador-de-concesionarios/huelva/huelva-wagen/
Espawagen,"Espawagen, Jaén",C/ Beatriz Nuñez Nº1 Parque Empresarial “Nuevo Jaén”,23009,Jaén,Jaén,https://www.audi.es/es/compra/buscador-de-concesionarios/jaen/espawagen/
Safamotor,"Safamotor, Málaga","Avda. Velázquez, 468, 29004, Málaga, Málaga",29004,Málaga,Málaga,https://www.audi.es/es/compra/buscador-de-concesionarios/malaga/safamotor-malaga/
Avisa,"Avisa, Sevilla","Av. Averroes, 12, 41020 Sevilla",41020,Sevilla,Sevilla,https://www.audi.es/es/compra/buscador-de-concesionarios/sevilla/avisa/
Sevilla Wagen,"Sevilla Wagen, Sevilla","Ctra. Su Eminencia, 2 B, 41006, Sevilla",41006,Sevilla,Sevilla,https://www.audi.es/es/compra/buscador-de-concesionarios/sevilla/sevilla-wagen/
Gilauto,"Gilauto, Granada",Avda. Andalucía S/N 18.015 Granada,18015,Granada,Granada,https://www.audi.es/es/compra/buscador-de-concesionarios/granada/gilauto/
Huesca Import,"Huesca Import, Huesca","Avda. Pebredo 7-9 (Plataforma Logística PHLUS, 22197, Huesca",22197,Huesca,Huesca,https://www.audi.es/es/compra/buscador-de-concesionarios/huesca/huesca-import/
Teruel Automoción,"Teruel Automoción, Teruel","Ctra. Sagunto-Burgos, km 123,5, 44195 Teruel",44195,Teruel,Teruel,https://www.audi.es/es/compra/buscador-de-concesionarios/teruel/teruel-automocion/
Audi Center Zaragoza,"Audi Center Zaragoza, Zaragoza","C/ Langa del Castillo, 10, 50013, Zaragoza, Zaragoza",50013,Zaragoza,Zaragoza,https://www.audi.es/es/compra/buscador-de-concesionarios/zaragoza/audi-center-zaragoza/
Asturpersa,"Asturpersa, Asturias","Avda. De Gijón , 33, 33420, Lugonés, Asturias",33420,Lugonés,Asturias,https://www.audi.es/es/compra/buscador-de-concesionarios/asturias/asturpersa/
Audi Center Palma,"Audi Center Palma, Baleares","Camí Vell de Bunyola, 19, 07009 Palma de Mallorca",07009,Palma de Mallorca,Baleares,https://www.audi.es/es/compra/buscador-de-concesionarios/baleares/audi-center-palma/
Eivimotor,"Eivimotor, Baleares","Ctra. Aeropuerto, km 4,5, 07817, San Jordi de ses Salines, Baleares",07817,San Jordi de ses Salines,Baleares,https://www.audi.es/es/compra/buscador-de-concesionarios/baleares/eivimotor/
Hercos Parayas,"Hercos Parayas, Cantabria","C. el Castro, 24P, 39011 Santander, Cantabria",39011,Santander,Cantabria,https://www.audi.es/es/compra/buscador-de-concesionarios/cantabria/hercos-parayas/
Wagen Motors,"Wagen Motors, Albacete","Parque Empresarial Campollano C/ B, 79, 02007, Albacete, Albacete",02007,Albacete,Albacete,https://www.audi.es/es/compra/buscador-de-concesionarios/albacete/wagen-motors/
Talleres Manchegos,"Talleres Manchegos, Ciudad Real","Pol. Ind Emilio Castro, C/ Quimica, 1, 13600, Alcázar de San Juan, Ciudad Real",13600,Alcázar de San Juan,Ciudad Real,https://www.audi.es/es/compra/buscador-de-concesionarios/ciudad-real/talleres-manchegos/
Motorsan,"Motorsan, Guadalajara","Pol. Ind El Balconcillo, C/ Trafalgar, 40, 19004, Guadalajara, Guadalajara",19004,Guadalajara,Guadalajara,https://www.audi.es/es/compra/buscador-de-concesionarios/guadalajara/motorsan/
Aldauto Car,"Aldauto Car, Toledo","Ctra. Madrid -Toledo, 45280 Olias del Rey",45280,Olias del Rey,Toledo,https://www.audi.es/es/compra/buscador-de-concesionarios/toledo/aldauto-car/
Audi Center Burgos,Audi Center Burgos,"Ctra. Madrid-Irún km 234,4, 09001, Burgos, Burgos",09001,Burgos,Burgos,https://www.audi.es/es/compra/buscador-de-concesionarios/burgos/audi-center-burgos/
Telenauto,"Telenauto, León","Pol. Ind. León-Astorga, km. 4,4, 24010, Trobajo del Camino, León",24010,Trobajo del Camino,León,https://www.audi.es/es/compra/buscador-de-concesionarios/leon/telenauto/
Ural Motor,"Ural Motor, Palencia","C. Andalucía, 54, parcela 4, 34004 Palencia",34004,Palencia,Palencia,https://www.audi.es/es/compra/buscador-de-concesionarios/palencia/ural-motor/
Helmántica,"Helmántica, Salamanca","Pol. Ind Villares de la Reina, Calzada de Toro, 37-45, 37184, Villares de la Reina, Salamanca",37184,Villares de la Reina,Salamanca,https://www.audi.es/es/compra/buscador-de-concesionarios/salamanca/helmantica/
Nuñez Automoción,"Nuñez Automoción, Segovia","Avda. de Segovia, 1, 40195, Segovia, Segovia",40195,Segovia,Segovia,https://www.audi.es/es/compra/buscador-de-concesionarios/segovia/nunez-automocion/
Soria Motor,"Soria Motor, Soria","C/ Eduardo Saavedra, 44, 42004, Soria",42004,Soria,Soria,https://www.audi.es/es/compra/buscador-de-concesionarios/soria/soria-motor/
Valladolid Wagen,"Valladolid Wagen, Valladolid","Avda. de Burgos, 54, 47009, Valladolid, Valladolid",47009,Valladolid,Valladolid,https://www.audi.es/es/compra/buscador-de-concesionarios/valladolid/valladolid-wagen/
Catalunya Wagen Audi,"Audi Center BCN SUD, Barcelona","Pol. Ind. Zona Franca, Calle A, 51-61, 08040 Barcelona",08040,Barcelona,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/audi-center-bcn-sud/
Quadis Motorsol,"Quadis Motorsol, Barcelona","Ctra. Del Prat, 3, 08830, Sant Boi De Llobregat, Barcelona",08830,Sant Boi De Llobregat,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/motorsol-import/
Movento Sarsa,"Movento Sarsa, Barcelona","Carrer Jiloca 8, 08223, Terrassa, Barcelona",08223,Terrassa,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/sarsa/
Superwagen,"Superwagen, Barcelona","Ctra. de Rubí 62-64, 08174, Sant Cugat, Barcelona",08174,Sant Cugat,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/superwagen/
Vilamòbil,"Vilamòbil, Barcelona","Ronda Europa, 68, 08800, Vilanova i la Geltrú, Barcelona",08800,Vilanova i la Geltrú,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/vilamobil/
Mogauto,"Mogauto, Barcelona","Avinguda Meridiana, 85, Sant Martí, 08026 Barcelona",08026,Barcelona,Barcelona,https://www.audi.es/es/compra/buscador-de-concesionarios/barcelona/mogauto/
Autopodium,"Autopodium, Girona","Ctra. Santa Coloma de Farnés, 59, 17005, Girona, Girona",17005,Girona,Girona,https://www.audi.es/es/compra/buscador-de-concesionarios/girona/autopodium/
Dalmau Motor,"Dalmau Motor, Lleida","Avda. de l'Exèrcit, 44, 25194, Lleida, Lleida",25194,Lleida,Lleida,https://www.audi.es/es/compra/buscador-de-concesionarios/lleida/dalmau-motor/
Merkamotor,"Merkamotor, Tarragona","Ctra. C-42, Km. 10, 43500, Tortosa, Tarragona",43500,Tortosa,Tarragona,https://www.audi.es/es/compra/buscador-de-concesionarios/tarragona/merkamotor/
Vilamòbil,"Vilamòbil, Tarragona","Travessia Ctra. València-1, 2, 43006 Tarragona",43006,Tarragona,Tarragona,https://www.audi.es/es/compra/buscador-de-concesionarios/tarragona/vilamobil/
Motor Pacífico Alicante,Motor Pacífico Alicante,"Carretera N-332, Pol. N, 03350 San Juan de Alicante",03350,San Juan de Alicante,Alicante,https://www.audi.es/es/compra/buscador-de-concesionarios/alicante/motor-pacifico-alicante/
Motor Pacífico Levante,Motor Pacífico Levante,"Polígono Ind. Alcodar, Gran Vía Castell de Bairen, 28, 46701 Gandía",46701,Gandía,Alicante,https://www.audi.es/es/compra/buscador-de-concesionarios/alicante/motor-pacifico-levante/
Serramóvil,"Serramóvil, Alicante","C/ Barchell, 17, 03203, Elche, Alicante",03203,Elche,Alicante,https://www.audi.es/es/compra/buscador-de-concesionarios/alicante/serramovil/
Quadis Marzá,"Quadis Marzá, Castellón","Avda. Lairon, 60, 12006, Castellón de la Plana, Castellón",12006,Castellón de la Plana,Castellón,https://www.audi.es/es/compra/buscador-de-concesionarios/castellon/marza/
Audi Center Valencia,"Levante Wagen, Valencia","Avda. Real Monestir Sta. Mª de Poblet, 72 , 46930, Quart de Poblet, Valencia",46930,Quart de Poblet,Valencia,https://www.audi.es/es/compra/buscador-de-concesionarios/valencia/levante-wagen/
Centrowagen,"Centrowagen, Badajoz","Ctra. Madrid - Lisboa, km 399, 2, 06008, Badajoz, Badajoz",06008,Badajoz,Badajoz,https://www.audi.es/es/compra/buscador-de-concesionarios/badajoz/centrowagen/
Santano Automocion,Santano Automocion,"Calle Esquiladores, 27, 10005 Cáceres",10005,Cáceres,Cáceres,https://www.audi.es/es/compra/buscador-de-concesionarios/caceres/santano-automocion/
Arrojo,"Arrojo, La Coruña","Avda. das Mariñas, 285, 15172, Perillo – Oleiros , La Coruña",15172,Perillo – Oleiros,La Coruña,https://www.audi.es/es/compra/buscador-de-concesionarios/la-coruna/arrojo/
Bonaval Premium,"Bonaval Premium, La Coruña","Ctra. de La Coruña, km 59,200, 15705 Santiago de Compostela",15705,Santiago de Compostela,La Coruña,https://www.audi.es/es/compra/buscador-de-concesionarios/la-coruna/bonaval-premium/
Audi Center Lugo,"Audi Center Lugo, Lugo","Calle Ramón María Aller Ulloa, Polígono As Gándaras, Nº 44, 27001, Lugo",27001,Lugo,Lugo,https://www.audi.es/es/compra/buscador-de-concesionarios/lugo/audi-center-lugo/
Apersa,"Apersa, Orense","Crta De Madrid km 231 Zona Comercial Barreiros San cibrao das Viñas, 32911 Orense",32911,Orense,Orense,https://www.audi.es/es/compra/buscador-de-concesionarios/orense/apersa/
Vepersa,"Vepersa, Pontevedra","C/ Casas Novas, 26, 36164, Pontevedra, Pontevedra",36164,Pontevedra,Pontevedra,https://www.audi.es/es/compra/buscador-de-concesionarios/pontevedra/vepersa/
Audi Center Madrid Las Rozas,"Audi Center Madrid Las Rozas, Madrid","Carretera Vía Servicio Las Rozas, 101, 28231 Las Rozas, Madrid",28231,Las Rozas,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/audi-center-madrid-las-rozas/
F. Tomé,"F. Tomé, Madrid","C/ Tauro, 23, 28042, Madrid, Madrid",28042,Madrid,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/ftome/
Jarmauto,"Jarmauto, Madrid","Avda. de la Técnica nº 21, 28522, Rivas-Vaciamadrid, Madrid",28522,Rivas-Vaciamadrid,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/jarmauto/
M.Conde Premium,"M. Conde Premium, Madrid","Calle Aguacate, 45, 28044 Madrid",28044,Madrid,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/mconde-premium/
Motorsan,"Motorsan, Madrid","C. Euclides, 13, 28806 Alcalá de Henares, Madrid",28806,Alcalá de Henares,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/motorsan/
Sealco Motor,"Sealco Motor, Madrid","Calle Colombia, 1, 28922 Alcorcón",28922,Alcorcón,Madrid,https://www.audi.es/es/compra/buscador-de-concesionarios/madrid/sealco-motor/
Huertas Motor Cartagena,"Huertas Motor Cartagena, Murcia","Avda. Juan Carlos I, 92, 30310, Cartagena, Murcia",30310,Cartagena,Murcia,https://www.audi.es/es/compra/buscador-de-concesionarios/murcia/huertas-motor-cartagena/
Iruñamovil,"Iruñamovil, Navarra","Poligono Empresarial La Muga, 16, 31160, Orkoien, Navarra",31160,Orkoien,Navarra,https://www.audi.es/es/compra/buscador-de-concesionarios/navarra/irunamovil/
Tudauto,"Tudauto, Navarra","Pol. Servicios, Ctra. Tarazona, km 3, 31500 Tudela",31500,Tudela,Navarra,https://www.audi.es/es/compra/buscador-de-concesionarios/navarra/tudauto/
Alzaga,"Alzaga, Álava","C/ Alto de Armentia, 4 B, 01007, Vitoria, Álava",01007,Vitoria,Álava,https://www.audi.es/es/compra/buscador-de-concesionarios/alava/alzaga/
Autowag Tolosa,"Autowag Tolosa, Guipúzcoa","Polígono Usabal, s/n, 20400, Tolosa, Guipúzcoa",20400,Tolosa,Guipúzcoa,https://www.audi.es/es/compra/buscador-de-concesionarios/guipuzcoa/autowag-tolosa/
Menai,"Menai, Guipúzcoa","Duque de Mandas, 3, 20012 San Sebastián",20012,San Sebastián,Guipúzcoa,https://www.audi.es/es/compra/buscador-de-concesionarios/guipuzcoa/menai/
Alzaga,"Alzaga, Vizcaya","Ctra. De Bilbao-Galdacano, 48004 Bilbao",48004,Bilbao,Vizcaya,https://www.audi.es/es/compra/buscador-de-concesionarios/vizcaya/alzaga/
Leioa Wagen,"Leioa Wagen, Vizcaya","Iparragirre Etorbidea, 92, 48940 Leioa, Bizkaia",48940,Leioa,Vizcaya,https://www.audi.es/es/compra/buscador-de-concesionarios/vizcaya/leioa-wagen/
Rioja Motor,"Rioja Motor, La Rioja","Pol. Ind Las Cañas, Avda. del Puntido, 22, 26009, Logroño, La Rioja",26009,Logroño,La Rioja,https://www.audi.es/es/compra/buscador-de-concesionarios/la-rioja/rioja-motor/
