dealer_name,point_of_sale,address,postcode,city,province,source_url
Centro Porsche A Coruña,Centro Porsche A Coruña,"Avda. das Mariñas, 286",15172,Oleiros,A Coruña,https://dealer.porsche.com/es/acoruna/es-ES
Centro Porsche Alicante,Centro Porsche Alicante,"C/ Rio Júcar, 1",03007,Alicante,Alicante,https://dealer.porsche.com/es/alicante/es-ES
Centro Porsche Asturias,Centro Porsche Asturias,"Pol. Los Peñones, s/n",33420,Lugones (Siero) - Oviedo,Asturias,https://dealer.porsche.com/es/asturias/es-ES
Centro Porsche Baleares,Centro Porsche Baleares,"Camí dels reis, 166. Polígono Son Valentí",07011,Palma de Mallorca,Illes Balears,https://dealer.porsche.com/es/baleares/es-ES
Centro Porsche Barcelona,Centro Porsche Barcelona,"Botànica, 102",08908,L'Hospitalet del Llobregat,Barcelona,https://dealer.porsche.com/es/barcelona/es-ES
Centro Porsche Bilbao,Centro Porsche Bilbao,"Carretera Bilbao - San Sebastián, km 5",48960,Galdácano,Vizcaya,https://dealer.porsche.com/es/bilbao/es-ES
Centro Porsche Canarias (Gran Canaria),Centro Porsche Canarias (Gran Canaria),"C/ Eufemiano Fuentes Cabrera, 5",35014,Las Palmas de Gran Canaria,Las Palmas,https://dealer.porsche.com/es/canarias/es-ES
Centro Porsche Canarias (Tenerife),Centro Porsche Canarias (Tenerife),"C/ Cercado Chico, nº2",38108,Santa Cruz de Tenerife,Santa Cruz de Tenerife,https://dealer.porsche.com/es/canarias/es-ES
Centro Porsche Girona,Centro Porsche Girona,De Lingen S/N,17190,Salt,Girona,https://dealer.porsche.com/es/girona/es-ES
Centro Porsche Madrid Norte,Centro Porsche Madrid Norte,"Av. de Burgos, 87",28050,Madrid,Madrid,https://dealer.porsche.com/es/madridnorte/es-ES
Centro Porsche Madrid Oeste,Centro Porsche Madrid Oeste,"Pol. Ind. El Carralero II C/ de la Ciruela, 5",28220,Majadahonda,Madrid,https://dealer.porsche.com/es/madridoeste/es-ES
Centro Porsche Málaga,Centro Porsche Málaga,"Av. de Velázquez, 466",29004,Málaga,Málaga,https://dealer.porsche.com/es/malaga/es-ES
Centro Porsche Marbella,Centro Porsche Marbella,"Ctra. Cádiz, km. 175,3",29660,Puerto Banús - Marbella,Málaga,https://dealer.porsche.com/es/marbella/es-ES
Centro Porsche Murcia,Centro Porsche Murcia,"Carretera de Madrid, Km. 384",30100,Espinardo,Murcia,https://dealer.porsche.com/es/murcia/es-ES
Centro Porsche Pamplona,Centro Porsche Pamplona,"Polígono Industrial Talluntxe I, Calle A 38-40",31110,Noain,Navarra,https://dealer.porsche.com/es/pamplona/es-ES
Centro Porsche Sant Cugat,Centro Porsche Sant Cugat,"C/ Del Prat de la Ríba, 6A N2-1",08173,Sant Cugat del Vallés,Barcelona,https://dealer.porsche.com/es/santcugat/es-ES
Centro Porsche Sevilla,Centro Porsche Sevilla,Avenida Ruta de la Plata Nº 3 - Pol. Ind. Parque Plata,41900,Sevilla - Camas,Sevilla,https://dealer.porsche.com/es/sevilla/es-ES
Centro Porsche Valencia,Centro Porsche Valencia,"Avenida Comarques del País Valencia, 4-6",46930,Quart de Poblet,Valencia,https://dealer.porsche.com/es/valencia/es-ES
Centro Porsche Valladolid,Centro Porsche Valladolid,"Avenida de Burgos 54, 56",47009,Valladolid,Valladolid,https://dealer.porsche.com/es/valladolid/es-ES
Centro Porsche Vigo,Centro Porsche Vigo,"Carretera de Madrid, 152",36318,Vigo,Pontevedra,https://dealer.porsche.com/es/vigo/es-ES
Centro Porsche Zaragoza,Centro Porsche Zaragoza,"Langa del Castillo, 8",50013,Zaragoza,Zaragoza,https://dealer.porsche.com/es/zaragoza/es-ES
Porsche Showroom Barcelona,Porsche Showroom Barcelona (Exposición),"París, 123",08036,Barcelona,Barcelona,https://dealer.porsche.com/es/barcelona/es-ES
