dealer_name,point_of_sale,address,postcode,city,province,source_url
Tesla Barcelona Sarrià-Sant Gervasi,Tesla Barcelona Sarrià-Sant Gervasi,"40-42 Ronda del General Mitre",08017,Barcelona,Barcelona,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla A Coruña,Tesla A Coruña,"43 Est. Baños de Arteixo",15008,A Coruña,A Coruña,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Alicante,Tesla Center Alicante,"4 Carrer Plutón Nave 5",03007,Alicante,Alicante,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Barcelona-Sabadell,Tesla Barcelona-Sabadell,"40-44 Passeig de Sant Pau de Riu-sec",08205,Sabadell,Barcelona,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Gipuzkoa Oiartzun,Tesla Gipuzkoa Oiartzun,"4 Poligono Industrial Makarraztegi",20180,Oiartzun,Guipúzcoa,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Granada,Tesla Granada,"75 Av. de las Palmeras",18100,Armilla,Granada,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Madrid Alcobendas,Tesla Center Madrid Alcobendas,"17 Av. de la Vega",28108,Alcobendas,Madrid,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Madrid-Ríos Rosas,Tesla Madrid-Ríos Rosas,"9 Pl. de San Juan de la Cruz",28003,Madrid,Madrid,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Madrid-Rivas Vaciamadrid,Tesla Madrid-Rivas Vaciamadrid,"4 C. Marie Curie",28521,Rivas-Vaciamadrid,Madrid,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Madrid-Pozuelo,Tesla Madrid-Pozuelo,"N-VI Km. 12",28224,Pozuelo de Alarcón,Madrid,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Madrid Fuenlabrada,Tesla Center Madrid Fuenlabrada,"10 C. Almendro",28942,Fuenlabrada,Madrid,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Málaga,Tesla Center Málaga,"21 Calle Horacio Quiroga",29004,Málaga,Málaga,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Mallorca,Tesla Center Mallorca,"9 Carrer Gremi de Porgadors",07009,Palma de Mallorca,Illes Balears,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Murcia,Tesla Murcia,"Km 760 Autovía del Mediterráneo",30110,Churra,Murcia,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Sevilla,Tesla Center Sevilla,"3D C. del Motor",41007,Sevilla,Sevilla,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Tarragona - Reus,Tesla Center Tarragona - Reus,"113 Avinguda de Salou",43205,Reus,Tarragona,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Valencia,Tesla Center Valencia,"107 Av. del Mestre Rodrigo",46015,Valencia,Valencia,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Eliana,Tesla Center Eliana,"14 Calle Tuejar",46183,La Eliana,Valencia,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Vigo,Tesla Center Vigo,"138 Carretera de Camposancos",36213,Vigo,Pontevedra,https://www.tesla.com/es_es/findus/list/stores/Spain
Tesla Center Vizcaya Iurreta,Tesla Center Vizcaya Iurreta,"12 Lugar Bo. Arriandi",48215,Iurreta,Vizcaya,https://www.tesla.com/es_es/findus/list/stores/Spain
