dealer_name,point_of_sale,postcode,city,latitude,longitude,source_url
ORVECAME,ORVECAME (FUERTEVENTURA),35600,Puerto del Rosario (Fuerteventura),28.49376,-13.86704,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ORVECAME,ORVECAME (LANZAROTE),35509,Lanzarote (Canarias),28.95735,-13.59753,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ORVECAME,ORVECAME (GRAN CANARIA),35014,Las Palmas (Canarias),28.101115,-15.435397,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ORVECAME,ORVECAME (TENERIFE),38108,Santa Cruz de Tenerife (Canarias),28.44846,-16.29321,https://www.volvocars.com/es/dealers/concesionarios-talleres/
SURAUTO,SURAUTO (ALGECIRAS),11204,Algeciras (Cádiz),36.14936,-5.455299,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VYPSA,VYPSA (MARBELLA),29670,Marbella (Málaga),36.49408,-4.989595,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VYPSA,VYPSA (MÁLAGA),29004,Málaga,36.68408,-4.466397,https://www.volvocars.com/es/dealers/concesionarios-talleres/
INDACAR,INDACAR (ALMERÍA),04230,Almería,36.87271,-2.4446,https://www.volvocars.com/es/dealers/concesionarios-talleres/
SURAUTO SHERRY,SURAUTO SHERRY (JEREZ DE LA FRONTERA),11407,Jerez de la Frontera (Cádiz),36.70868,-6.113655,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ARISTA,ARISTA (GRANADA),18015,Granada,37.20083,-3.650958,https://www.volvocars.com/es/dealers/concesionarios-talleres/
SEDAUTO,SEDAUTO (CARTAGENA),30310,Cartagena (Murcia),37.62672,-1.001515,https://www.volvocars.com/es/dealers/concesionarios-talleres/
TURISMOS LA RAZA,TURISMOS LA RAZA (SEVILLA),41013,Sevilla,37.36354,-5.957602,https://www.volvocars.com/es/dealers/concesionarios-talleres/
CODIMOTOR,CODIMOTOR (SEVILLA),41007,Sevilla (Avda. Fdez. Murube),37.394719,-5.944258,https://www.volvocars.com/es/dealers/concesionarios-talleres/
CODIMOTOR,CODIMOTOR (HUELVA),21007,Huelva,37.26459,-6.924015,https://www.volvocars.com/es/dealers/concesionarios-talleres/
CASMAR JAÉN,CASMAR JAÉN (JAÉN),23009,Jaén,37.79333,-3.780664,https://www.volvocars.com/es/dealers/concesionarios-talleres/
SEDAUTO,SEDAUTO (MURCIA),30100,Murcia,38.0143,-1.1019,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VYPSA,VYPSA (CÓRDOBA),14014,Córdoba,37.90347,-4.725236,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ANKARA MOTOR,ANKARA MOTOR (ELCHE),03204,Elche (Alicante),38.25668,-0.702648,https://www.volvocars.com/es/dealers/concesionarios-talleres/
ANKARA MOTOR,ANKARA MOTOR (ALICANTE),03006,Alicante,38.34475,-0.526067,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO SWEDEN,"AUTO SWEDEN (GANDÍA, Exposición)",46701,Gandía (Valencia),38.97573,-0.183452,https://www.volvocars.com/es/dealers/concesionarios-talleres/
PROVEHIMA,PROVEHIMA (ALBACETE),02080,Albacete,39.02113,-1.887148,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VYPSA,VYPSA (CIUDAD REAL),13005,Ciudad Real,38.99125,-3.902067,https://www.volvocars.com/es/dealers/concesionarios-talleres/
MAVENSA,MAVENSA (BADAJOZ),06008,Badajoz,38.87428,-6.956491,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO SWEDEN,AUTO SWEDEN (VALENCIA),46010,Valencia (C/Aben Al Abbar),39.467,-0.35271,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VEDAT VALENCIA,VEDAT VALENCIA (VALENCIA),46015,Valencia,39.4785,-0.400003,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTOVIDAL,AUTOVIDAL (PALMA DE MALLORCA),07009,Palma de Mallorca (Baleares),39.607096,2.668225,https://www.volvocars.com/es/dealers/concesionarios-talleres/
MAVENSA,MAVENSA (CÁCERES),10001,Cáceres,39.48642,-6.418933,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VEDAT VALENCIA,VEDAT VALENCIA (CASTELLÓN),12004,Castellón,39.99184,-0.048955,https://www.volvocars.com/es/dealers/concesionarios-talleres/
