marca,modelo,fuel_type,body_type,confidence,note
Acura,INTEGRA,Gasolina,Hatchback,alta,
Acura,NSX,Gasolina,Coupe,alta,
Acura,TLX,Gasolina,Sedan,alta,
Alfa Romeo,Giulia,Gasolina,Sedan,alta,
Alfa Romeo,Stelvio,Gasolina,SUV,alta,
Alfa Romeo,TONALE,Hibrido enchufable (PHEV),SUV,alta,version PHEV es la principal en varios mercados; puede haber trim MHEV
Audi,A5 Coupe,Gasolina,Coupe,alta,
Audi,A5 Sportback,Gasolina,Hatchback,alta,
Audi,Q6 etron,Electrico (BEV),SUV,alta,nombre real Q6 e-tron
Audi,e-tron,Electrico (BEV),SUV,alta,
Audi,R8,Gasolina,Coupe,alta,
Audi,TT Coupe,Gasolina,Coupe,alta,
BMW,Serie 1 Hatch,Gasolina,Hatchback,alta,
BMW,Serie 1 Sedán,Gasolina,Sedan,alta,
BMW,i3,Electrico (BEV),Hatchback,alta,
BMW,i4,Electrico (BEV),Sedan,alta,
BMW,i5,Electrico (BEV),Sedan,alta,
BMW,i7,Electrico (BEV),Sedan,alta,
BMW,i8,Hibrido enchufable (PHEV),Coupe,alta,
BMW,iX,Electrico (BEV),SUV,alta,
BMW,iX1,Electrico (BEV),SUV,alta,INEGI lo marca De Lujo/Automoviles pero es un SUV compacto
BMW,iX2,Electrico (BEV),SUV,alta,
BMW,iX3,Electrico (BEV),SUV,alta,
BMW,X5,Gasolina,SUV,media,existe variante PHEV xDrive45e minoritaria no separable en INEGI
BMW,XM,Hibrido enchufable (PHEV),SUV,alta,INEGI lo marca De Lujo/Automoviles pero es un SUV
BMW,Z4-,Gasolina,Convertible,alta,
Bentley,Continental,Gasolina,Coupe,alta,
Bentley,Flying Spur,Gasolina,Sedan,alta,
Bentley,Bentayga,Gasolina,SUV,alta,
Bentley,Mulsanne,Gasolina,Sedan,alta,
Changan,CS55 Plus IDD,Hibrido enchufable (PHEV),SUV,alta,insignia IDD = plug-in hibrido Changan
Changan,Eado Plus IDD,Hibrido enchufable (PHEV),Sedan,alta,
Changan,Eado Plus,Gasolina,Sedan,alta,
Changan,DEEPAL S07 BEV,Electrico (BEV),SUV,alta,
Changan,DEEPAL S07 REEV,Electrico (BEV con autonomia extendida),SUV,media,range extender; motor de gasolina solo genera electricidad
Chevrolet,Volt 4 Ptas.,Hibrido enchufable (PHEV),Sedan,alta,
General Motors,Volt 4 Ptas.,Hibrido enchufable (PHEV),Sedan,alta,
General Motors,Bolt,Electrico (BEV),Hatchback,alta,
General Motors,Bolt EUV,Electrico (BEV),SUV,alta,
General Motors,Blazer EV,Electrico (BEV),SUV,alta,
General Motors,Equinox EV,Electrico (BEV),SUV,alta,
General Motors,Hummer EV Pickup,Electrico (BEV),Pickup,alta,
General Motors,Hummer EV SUV,Electrico (BEV),SUV,alta,
General Motors,Lyriq SUV,Electrico (BEV),SUV,alta,
General Motors,Optiq,Electrico (BEV),SUV,alta,Cadillac Optiq
General Motors,Spark EV 5 Ptas.,Electrico (BEV),Hatchback,alta,
Chirey,Arrizo 8,Gasolina,Sedan,media,
Chirey,Tiggo 7 Pro e+,Hibrido enchufable (PHEV),SUV,alta,insignia e+ = plug-in hibrido Chery
Chirey,Tiggo 8 Pro e+,Hibrido enchufable (PHEV),SUV,alta,
Chrysler,RAM 4000 Diesel,Diesel,Pickup,alta,
Chrysler,Challenger,Gasolina,Coupe,alta,
Chrysler,Viper,Gasolina,Coupe,alta,
Chrysler,Voyager Town&Country LTD,Gasolina,Van,alta,
Chrysler,Voyager Town&Country LX,Gasolina,Van,alta,
Chrysler,Wrangler,Gasolina,SUV,alta,
Ford Motor,E-Transit,Electrico (BEV),Van,alta,
Ford Motor,F450 Diesel,Diesel,Pickup,alta,
Ford Motor,Mustang Mach-E,Electrico (BEV),SUV,alta,
Ford Motor,Escape HEV,Gasolina,SUV,alta,hibrido no enchufable = Gasolina por convencion
Foton,HI VAN EV,Electrico (BEV),Van,alta,
Foton,S3 EV,Electrico (BEV),Pickup,alta,
Foton,TM EV,Electrico (BEV),Pickup,alta,
Foton,Tunland EV,Electrico (BEV),Pickup,alta,
Foton,VIEW EV,Electrico (BEV),Van,alta,
Foton,Wonder EV,Electrico (BEV),Pickup,media,
Geely,EX2,Electrico (BEV),SUV,alta,
Geely,EX5,Electrico (BEV),SUV,alta,
Geely,EX5 EM-i,Hibrido enchufable (PHEV),SUV,alta,insignia EM-i = plug-in hibrido Geely (similar a DM-i)
