brand,file,status,source_type,source_url,source_title,notes
Abarth,Abarth.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Abarth.png,Abarth.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Acura,Acura.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Acura%20Logo.svg,Acura Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Alfa Romeo,Alfa Romeo.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Alfa%20Romeo%20Logo.svg,Alfa Romeo Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Alpina,Alpina.png,user_provided,attached-image,C:\Users\Nacho\AppData\Local\Temp\codex-clipboard-04e800dc-9918-4bfd-aaae-caa070a63f1a.png,codex-clipboard-04e800dc-9918-4bfd-aaae-caa070a63f1a.png,Imagen de referencia aportada por el usuario
Alpine,Alpine.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Alpine.png,Alpine.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Aston Martin,Aston Martin.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Aston%20Martin%20Logo.svg,Aston Martin Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Audi,Audi.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Audi%20Logo.svg,Audi Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
BAW,BAW.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\BAW.png,BAW.png,"Sin fuente publica fiable automatica; recoloreado provisional 1F5AA6, revisar manualmente"
BMW,BMW.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/BMW%20Logo.svg,BMW Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
BYD,BYD.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/BYD%20Logo.svg,BYD Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Baojun,Baojun.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Baojun.png,Baojun.png,"Sin fuente publica fiable automatica; recoloreado provisional C9002B, revisar manualmente"
Bentley,Bentley.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Bentley%20Logo.svg,Bentley Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Bestune,Bestune.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Bestune.png,Bestune.png,"Sin fuente publica fiable automatica; recoloreado provisional C8102E, revisar manualmente"
Cadillac,Cadillac.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Cadillac%20Logo.svg,Cadillac Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Caterham,Caterham.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Caterham.png,Caterham.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
Changan,Changan.svg,public_vector,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/0/00/Changan_icon.svg,File:Changan icon.svg,Sustituye el falso positivo Changan-Mazda por el icono de Changan
Chevrolet,Chevrolet.svg,public_vector,cardog-ai/icons,https://github.com/cardog-ai/icons/blob/main/core/optimized/Chevrolet%20Logo.svg,Chevrolet Logo.svg,SVG compacto de Cardog Icons; se evita Wordmark/Horizontal para uso en badges de dashboard
Cirelli,Cirelli.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Cirelli.png,Cirelli.png,"Sin fuente publica fiable automatica; recoloreado provisional 0F172A, revisar manualmente"
Citroen,Citroen.svg,public_vector,simple-icons,https://cdn.simpleicons.org/citroen/DA291C,citroen,SVG monocromo con color de marca de Simple Icons
Cupra,Cupra.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Cupra.png,Cupra.png,"Sin fuente publica fiable automatica; recoloreado provisional 111827, revisar manualmente"
DFSK,DFSK.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\DFSK.png,DFSK.png,"Sin fuente publica fiable automatica; recoloreado provisional E30613, revisar manualmente"
DR,DR.png,public_best_effort,wikimedia-commons,https://upload.wikimedia.org/wikipedia/commons/a/a5/DR_Automobiles_logo_2020.png,File:DR Automobiles logo 2020.png,score=36; formato=bitmap
DS,DS.svg,public_vector,simple-icons,https://cdn.simpleicons.org/dsautomobiles/1D1717,dsautomobiles,SVG monocromo con color de marca de Simple Icons
Dacia,Dacia.svg,public_vector,simple-icons,https://cdn.simpleicons.org/dacia/646B52,dacia,SVG monocromo con color de marca de Simple Icons
Dongfeng,Dongfeng.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\Dongfeng.png,Dongfeng.png,"Sin fuente publica fiable automatica; recoloreado provisional DD1E25, revisar manualmente"
EVO,EVO.png,fallback_existing_shape,local-white-logo,C:\Users\Nacho\Documents\Claude\Projects\MATRICULACIONES_DASHBOARD\public\logos\EVO.png,EVO.png,"Sin fuente publica fiable automatica; recoloreado provisional D71920, revisar manualmente"
